Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2013-06-04,80.15,80.15,79.84,79.87,80.15,80.15,79.84,79.87,12300.0,0.0,1.0,1.0,0.0
2013-06-05,79.86,79.86,79.33,79.33,79.86,79.86,79.33,79.33,25400.0,0.0,1.0,1.0,0.0
2013-06-06,79.57,79.57,78.6,78.91,79.57,79.57,78.6,78.91,56800.0,0.0,1.0,1.0,0.0
2013-06-07,79.0,79.0,78.15,78.52,79.0,79.0,78.15,78.52,45900.0,0.0,1.0,1.0,0.0
2013-06-10,78.74,78.74,77.42,77.75,78.74,78.74,77.42,77.75,81000.0,0.0,1.0,1.0,0.0
2013-06-11,77.26,77.26,76.21,76.5,77.26,77.26,76.21,76.5,33500.0,0.0,1.0,1.0,0.0
2013-06-12,78.31,78.31,77.5,77.5,78.31,78.31,77.5,77.5,7300.0,0.0,1.0,1.0,0.0
2013-06-13,77.99,78.24,77.65,78.24,77.99,78.24,77.65,78.24,108500.0,0.0,1.0,1.0,0.0
2013-06-14,78.64,79.3,78.64,79.16,78.64,79.3,78.64,79.16,31100.0,0.0,1.0,1.0,0.0
2013-06-17,79.75,79.75,78.72,78.72,79.75,79.75,78.72,78.72,14500.0,0.0,1.0,1.0,0.0
2013-06-18,78.59,78.59,78.11,78.11,78.59,78.59,78.11,78.11,9600.0,0.0,1.0,1.0,0.0
2013-06-19,78.36,78.42,77.01,77.21,78.36,78.42,77.01,77.21,11300.0,0.0,1.0,1.0,0.0
2013-06-20,77.5,77.5,75.35,75.49,77.5,77.5,75.35,75.49,21400.0,0.0,1.0,1.0,0.0
2013-06-21,76.8,76.8,74.9,75.22,76.8,76.8,74.9,75.22,57800.0,0.0,1.0,1.0,0.0
2013-06-24,75.75,75.75,73.49,74.46,75.75,75.75,73.49,74.46,30200.0,0.0,1.0,1.0,0.0
2013-06-25,74.7,75.0,74.5,74.59,74.7,75.0,74.5,74.59,5300.0,0.0,1.0,1.0,0.0
2013-06-26,75.2,75.2,74.91,74.91,75.2,75.2,74.91,74.91,4100.0,0.0,1.0,1.0,0.0
2013-06-27,75.99,76.0,75.64,75.87,75.99,76.0,75.64,75.87,10700.0,0.0,1.0,1.0,0.0
2013-06-28,75.29,76.04,75.29,76.03,75.29,76.04,75.29,76.03,26400.0,0.0,1.0,1.0,0.0
2013-07-01,75.96,76.4,75.96,76.4,75.96,76.4,75.96,76.4,11500.0,0.19,1.0,1.0,0.0
2013-07-02,76.9,76.9,76.54,76.54,76.9,76.9,76.54,76.54,14900.0,0.0,1.0,1.0,0.0
2013-07-03,76.49,77.12,76.47,76.54,76.49,77.12,76.47,76.54,8600.0,0.0,1.0,1.0,0.0
2013-07-05,76.55,76.55,75.54,75.68,76.55,76.55,75.54,75.68,13400.0,0.0,1.0,1.0,0.0
2013-07-08,75.98,75.98,75.51,75.85,75.98,75.98,75.51,75.85,25000.0,0.0,1.0,1.0,0.0
2013-07-09,76.23,76.4,76.0,76.3,76.23,76.4,76.0,76.3,2800.0,0.0,1.0,1.0,0.0
2013-07-10,76.49,76.49,75.87,75.87,76.49,76.49,75.87,75.87,15100.0,0.0,1.0,1.0,0.0
2013-07-11,76.0,76.79,76.0,76.64,76.0,76.79,76.0,76.64,149000.0,0.0,1.0,1.0,0.0
2013-07-12,76.95,76.95,75.8,76.25,76.95,76.95,75.8,76.25,17000.0,0.0,1.0,1.0,0.0
2013-07-15,77.18,77.18,76.47,76.62,77.18,77.18,76.47,76.62,21800.0,0.0,1.0,1.0,0.0
2013-07-16,77.14,77.5,76.81,76.88,77.14,77.5,76.81,76.88,8300.0,0.0,1.0,1.0,0.0
2013-07-17,77.26,77.26,77.01,77.24,77.26,77.26,77.01,77.24,12000.0,0.0,1.0,1.0,0.0
2013-07-18,77.7,77.81,77.54,77.75,77.7,77.81,77.54,77.75,7800.0,0.0,1.0,1.0,0.0
2013-07-19,77.79,77.81,77.7,77.79,77.79,77.81,77.7,77.79,9200.0,0.0,1.0,1.0,0.0
2013-07-22,78.05,78.2,77.8,77.94,78.05,78.2,77.8,77.94,151700.0,0.0,1.0,1.0,0.0
2013-07-23,77.97,77.98,77.7,77.78,77.97,77.98,77.7,77.78,27700.0,0.0,1.0,1.0,0.0
2013-07-24,77.72,77.72,77.34,77.34,77.72,77.72,77.34,77.34,9400.0,0.0,1.0,1.0,0.0
2013-07-25,77.31,77.31,77.01,77.23,77.31,77.31,77.01,77.23,5800.0,0.0,1.0,1.0,0.0
2013-07-26,77.5,77.5,77.13,77.27,77.5,77.5,77.13,77.27,46500.0,0.0,1.0,1.0,0.0
2013-07-29,77.45,77.45,77.13,77.13,77.45,77.45,77.13,77.13,7000.0,0.0,1.0,1.0,0.0
2013-07-30,76.9,77.25,76.87,77.12,76.9,77.25,76.87,77.12,8200.0,0.0,1.0,1.0,0.0
2013-07-31,77.35,77.35,76.64,76.68,77.35,77.35,76.64,76.68,10000.0,0.0,1.0,1.0,0.0
2013-08-01,76.56,76.78,76.52,76.52,76.56,76.78,76.52,76.52,3600.0,0.26,1.0,1.0,0.0
2013-08-02,76.75,76.83,76.52,76.7,76.75,76.83,76.52,76.7,10100.0,0.0,1.0,1.0,0.0
2013-08-05,76.51,76.8,76.47,76.74,76.51,76.8,76.47,76.74,11400.0,0.0,1.0,1.0,0.0
2013-08-06,76.66,76.66,76.45,76.6,76.66,76.66,76.45,76.6,5900.0,0.0,1.0,1.0,0.0
2013-08-07,76.77,76.77,76.31,76.46,76.77,76.77,76.31,76.46,13100.0,0.0,1.0,1.0,0.0
2013-08-08,76.55,76.73,76.5,76.73,76.55,76.73,76.5,76.73,5400.0,0.0,1.0,1.0,0.0
2013-08-09,76.6,76.79,76.6,76.79,76.6,76.79,76.6,76.79,16200.0,0.0,1.0,1.0,0.0
2013-08-12,76.79,76.79,76.72,76.79,76.79,76.79,76.72,76.79,3100.0,0.0,1.0,1.0,0.0
2013-08-13,76.57,76.64,76.47,76.47,76.57,76.64,76.47,76.47,6000.0,0.0,1.0,1.0,0.0
2013-08-14,76.6,76.6,76.51,76.57,76.6,76.6,76.51,76.57,6100.0,0.0,1.0,1.0,0.0
2013-08-15,76.25,76.25,76.2,76.22,76.25,76.25,76.2,76.22,7600.0,0.0,1.0,1.0,0.0
2013-08-16,76.28,76.28,75.9,76.05,76.28,76.28,75.9,76.05,10400.0,0.0,1.0,1.0,0.0
2013-08-19,75.75,75.75,74.98,74.98,75.75,75.75,74.98,74.98,43600.0,0.0,1.0,1.0,0.0
2013-08-20,75.27,75.35,74.94,75.05,75.27,75.35,74.94,75.05,6100.0,0.0,1.0,1.0,0.0
2013-08-21,74.95,75.27,74.65,74.86,74.95,75.27,74.65,74.86,9100.0,0.0,1.0,1.0,0.0
2013-08-22,75.43,75.43,74.78,74.78,75.43,75.43,74.78,74.78,4300.0,0.0,1.0,1.0,0.0
2013-08-23,74.92,75.31,74.92,75.31,74.92,75.31,74.92,75.31,1800.0,0.0,1.0,1.0,0.0
2013-08-26,75.4,75.54,75.31,75.53,75.4,75.54,75.31,75.53,3200.0,0.0,1.0,1.0,0.0
2013-08-27,75.3,75.3,75.0,75.27,75.3,75.3,75.0,75.27,7500.0,0.0,1.0,1.0,0.0
2013-08-28,74.98,75.11,74.94,74.96,74.98,75.11,74.94,74.96,3800.0,0.0,1.0,1.0,0.0
2013-08-29,74.8,75.08,74.8,75.07,74.8,75.08,74.8,75.07,6200.0,0.0,1.0,1.0,0.0
2013-08-30,75.15,75.15,74.85,74.85,75.15,75.15,74.85,74.85,5200.0,0.0,1.0,1.0,0.0
2013-09-03,74.45,74.45,74.25,74.32,74.45,74.45,74.25,74.32,3700.0,0.26,1.0,1.0,0.0
2013-09-04,74.27,74.36,74.27,74.31,74.27,74.36,74.27,74.31,6300.0,0.0,1.0,1.0,0.0
2013-09-05,74.25,74.25,74.05,74.13,74.25,74.25,74.05,74.13,6000.0,0.0,1.0,1.0,0.0
2013-09-06,74.4,74.64,74.4,74.43,74.4,74.64,74.4,74.43,8800.0,0.0,1.0,1.0,0.0
2013-09-09,75.17,75.17,74.68,74.72,75.17,75.17,74.68,74.72,7700.0,0.0,1.0,1.0,0.01
2013-09-10,74.6,74.69,74.31,74.68,74.6,74.69,74.31,74.68,12700.0,0.0,1.0,1.0,-0.0
2013-09-11,74.7,75.0,74.7,74.96,74.7,75.0,74.7,74.96,9200.0,0.0,1.0,1.0,0.0
2013-09-12,75.3,75.36,75.22,75.22,75.3,75.36,75.22,75.22,15500.0,0.0,1.0,1.0,0.0
2013-09-13,75.11,75.33,75.11,75.3,75.11,75.33,75.11,75.3,11500.0,0.0,1.0,1.0,0.0
2013-09-16,75.47,76.04,75.47,75.95,75.47,76.04,75.47,75.95,6900.0,0.0,1.0,1.0,0.0
2013-09-17,76.24,76.24,75.94,76.17,76.24,76.24,75.94,76.17,15400.0,0.0,1.0,1.0,0.0
2013-09-18,76.17,76.5,76.17,76.5,76.17,76.5,76.17,76.5,5800.0,0.0,1.0,1.0,7.54
2013-09-19,76.51,77.56,76.47,77.29,76.51,77.56,76.47,77.29,33400.0,0.0,1.0,1.0,0.0
2013-09-20,77.5,77.5,76.91,77.3,77.5,77.5,76.91,77.3,6000.0,0.0,1.0,1.0,0.0
2013-09-23,77.7,77.7,77.35,77.35,77.7,77.7,77.35,77.35,11600.0,0.0,1.0,1.0,0.0
2013-09-24,77.61,77.61,76.7,77.16,77.61,77.61,76.7,77.16,15000.0,0.0,1.0,1.0,0.0
2013-09-25,77.2,77.3,77.16,77.29,77.2,77.3,77.16,77.29,2600.0,0.0,1.0,1.0,7.66
2013-09-26,77.14,77.3,76.99,77.05,77.14,77.3,76.99,77.05,8700.0,0.0,1.0,1.0,0.0
2013-09-27,76.76,76.86,76.76,76.83,76.76,76.86,76.76,76.83,11800.0,0.0,1.0,1.0,0.0
2013-09-30,76.28,76.91,76.28,76.89,76.28,76.91,76.28,76.89,13200.0,0.0,1.0,1.0,0.0
2013-10-01,76.45,76.54,76.4,76.47,76.45,76.54,76.4,76.47,8200.0,0.23,1.0,1.0,0.0
2013-10-02,76.46,76.5,76.34,76.43,76.46,76.5,76.34,76.43,7700.0,0.0,1.0,1.0,0.0
2013-10-03,76.45,76.45,76.38,76.41,76.45,76.45,76.38,76.41,5900.0,0.0,1.0,1.0,0.0
2013-10-04,76.51,76.85,76.51,76.62,76.51,76.85,76.51,76.62,5300.0,0.0,1.0,1.0,0.0
2013-10-07,77.04,77.04,76.86,76.97,77.04,77.04,76.86,76.97,3800.0,0.0,1.0,1.0,0.0
