Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2018-10-04,25.0,25.0,24.99,24.99,25.0,25.0,24.99,24.99,402200.0,0.0,1.0,1.0,
2018-10-05,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,300.0,0.0,1.0,1.0,
2018-10-08,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,0.0,0.0,1.0,1.0,
2018-10-09,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,0.0,0.0,1.0,1.0,0.0
2018-10-10,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,100.0,0.0,1.0,1.0,0.0
2018-10-11,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,0.0,0.0,1.0,1.0,0.0
2018-10-12,24.98,24.98,24.98,24.98,24.98,24.98,24.98,24.98,200.0,0.0,1.0,1.0,-0.0
2018-10-15,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,200.0,0.0,1.0,1.0,-0.0
2018-10-16,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,0.0,0.0,1.0,1.0,0.0
2018-10-17,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,0.0,0.0,1.0,1.0,0.01
2018-10-18,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.96,0.0,0.0,1.0,1.0,-0.0
2018-10-19,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,200.0,0.0,1.0,1.0,-0.0
2018-10-22,24.82,24.82,24.82,24.82,24.82,24.82,24.82,24.82,100.0,0.0,1.0,1.0,0.0
2018-10-23,24.82,24.82,24.82,24.82,24.82,24.82,24.82,24.82,0.0,0.0,1.0,1.0,0.0
2018-10-24,24.82,24.82,24.82,24.82,24.82,24.82,24.82,24.82,0.0,0.0,1.0,1.0,-0.01
2018-10-25,24.88,24.88,24.88,24.88,24.88,24.88,24.88,24.88,500.0,0.0,1.0,1.0,0.0
