Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2008-03-19,62.1,62.1,61.94,61.95,62.1,62.1,61.94,61.95,7900.0,0.0,1.0,1.0,0.0
2008-03-20,61.63,61.66,61.62,61.66,61.63,61.66,61.62,61.66,20800.0,0.0,1.0,1.0,0.0
2008-03-24,61.9,61.99,61.9,61.97,61.9,61.99,61.9,61.97,30000.0,0.0,1.0,1.0,0.0
2008-03-25,61.99,62.13,61.99,62.13,61.99,62.13,61.99,62.13,42400.0,0.0,1.0,1.0,0.0
2008-03-26,62.0,62.19,62.0,62.19,62.0,62.19,62.0,62.19,46400.0,0.0,1.0,1.0,0.0
2008-03-27,62.24,62.41,62.23,62.4,62.24,62.41,62.23,62.4,91600.0,0.0,1.0,1.0,0.0
2008-03-28,62.34,62.34,62.26,62.26,62.34,62.34,62.26,62.26,90300.0,0.0,1.0,1.0,0.0
2008-03-31,62.29,62.4,62.29,62.35,62.29,62.4,62.29,62.35,114800.0,0.0,1.0,1.0,12.16
2008-04-01,61.74,61.75,61.34,61.37,61.74,61.75,61.34,61.37,33600.0,0.01,1.0,1.0,0.0
2008-04-02,61.4,61.4,61.23,61.34,61.4,61.4,61.23,61.34,20000.0,0.0,1.0,1.0,12.06
2008-04-03,61.37,61.44,61.35,61.44,61.37,61.44,61.35,61.44,43600.0,0.0,1.0,1.0,0.0
2008-04-04,61.61,61.68,61.61,61.68,61.61,61.68,61.61,61.68,42000.0,0.0,1.0,1.0,0.0
2008-04-07,61.59,61.63,61.5,61.5,61.59,61.63,61.5,61.5,85900.0,0.0,1.0,1.0,0.0
2008-04-08,62.46,62.46,61.52,61.55,62.46,62.46,61.52,61.55,41100.0,0.0,1.0,1.0,0.0
2008-04-09,61.55,61.55,61.53,61.55,61.55,61.55,61.53,61.55,18000.0,0.0,1.0,1.0,12.12
2008-04-10,61.74,61.78,61.69,61.7,61.74,61.78,61.69,61.7,46600.0,0.0,1.0,1.0,0.0
2008-04-11,61.77,61.82,61.75,61.82,61.77,61.82,61.75,61.82,41900.0,0.0,1.0,1.0,0.0
2008-04-14,61.85,61.85,61.8,61.85,61.85,61.85,61.8,61.85,30100.0,0.0,1.0,1.0,0.0
2008-04-15,62.74,62.74,61.74,61.78,62.74,62.74,61.74,61.78,88200.0,0.0,1.0,1.0,0.0
2008-04-16,62.74,62.74,61.75,61.77,62.74,62.74,61.75,61.77,36800.0,0.0,1.0,1.0,0.0
2008-04-17,61.62,62.49,61.44,61.45,61.62,62.49,61.44,61.45,36700.0,0.0,1.0,1.0,12.2
2008-04-18,61.25,61.25,60.51,60.98,61.25,61.25,60.51,60.98,61200.0,0.0,1.0,1.0,0.0
2008-04-21,61.81,62.75,60.98,61.23,61.81,62.75,60.98,61.23,48100.0,0.0,1.0,1.0,0.0
2008-04-22,61.27,61.68,61.01,61.62,61.27,61.68,61.01,61.62,100800.0,0.0,1.0,1.0,0.0
2008-04-23,61.5,62.5,61.4,61.51,61.5,62.5,61.4,61.51,56900.0,0.0,1.0,1.0,12.21
2008-04-24,61.19,61.2,60.87,60.9,61.19,61.2,60.87,60.9,36700.0,0.0,1.0,1.0,0.0
2008-04-25,60.67,60.8,60.5,60.74,60.67,60.8,60.5,60.74,25500.0,0.0,1.0,1.0,0.0
2008-04-28,60.82,61.99,60.8,60.82,60.82,61.99,60.8,60.82,29200.0,0.0,1.0,1.0,0.0
2008-04-29,60.69,60.75,60.52,60.55,60.69,60.75,60.52,60.55,20200.0,0.0,1.0,1.0,0.0
2008-04-30,61.88,61.88,60.71,61.03,61.88,61.88,60.71,61.03,33000.0,0.0,1.0,1.0,0.0
2008-05-01,60.42,62.07,60.26,60.33,60.42,62.07,60.26,60.33,32300.0,0.3,1.0,1.0,0.0
2008-05-02,60.03,60.35,60.0,60.29,60.03,60.35,60.0,60.29,49900.0,0.0,1.0,1.0,12.01
2008-05-05,60.42,60.74,60.21,60.66,60.42,60.74,60.21,60.66,34800.0,0.0,1.0,1.0,0.0
2008-05-06,61.14,61.14,60.78,61.01,61.14,61.14,60.78,61.01,59700.0,0.0,1.0,1.0,0.0
2008-05-07,60.8,61.94,60.76,60.82,60.8,61.94,60.76,60.82,70200.0,0.0,1.0,1.0,0.0
2008-05-08,60.97,61.92,60.52,60.99,60.97,61.92,60.52,60.99,88300.0,0.0,1.0,1.0,0.0
2008-05-09,61.1,61.89,61.03,61.2,61.1,61.89,61.03,61.2,40600.0,0.0,1.0,1.0,0.0
2008-05-12,61.1,62.75,60.7,61.1,61.1,62.75,60.7,61.1,63500.0,0.0,1.0,1.0,12.03
2008-05-13,60.9,62.44,60.9,61.03,60.9,62.44,60.9,61.03,34500.0,0.0,1.0,1.0,0.0
2008-05-14,60.94,61.84,60.74,60.97,60.94,61.84,60.74,60.97,40600.0,0.0,1.0,1.0,0.0
2008-05-15,60.7,61.05,60.68,60.7,60.7,61.05,60.68,60.7,19900.0,0.0,1.0,1.0,0.0
2008-05-16,60.78,61.3,60.78,61.15,60.78,61.3,60.78,61.15,28500.0,0.0,1.0,1.0,11.99
2008-05-19,61.59,61.59,61.05,61.15,61.59,61.59,61.05,61.15,44700.0,0.0,1.0,1.0,0.0
2008-05-20,61.0,61.35,61.0,61.35,61.0,61.35,61.0,61.35,83500.0,0.0,1.0,1.0,0.0
2008-05-21,61.29,61.73,61.25,61.29,61.29,61.73,61.25,61.29,142000.0,0.0,1.0,1.0,0.0
2008-05-22,61.3,61.59,60.98,61.03,61.3,61.59,60.98,61.03,70200.0,0.0,1.0,1.0,0.0
2008-05-23,61.5,61.54,61.23,61.43,61.5,61.54,61.23,61.43,56900.0,0.0,1.0,1.0,12.13
2008-05-27,62.78,62.78,61.09,61.09,62.78,62.78,61.09,61.09,52200.0,0.0,1.0,1.0,0.0
2008-05-28,61.0,61.14,60.75,60.82,61.0,61.14,60.75,60.82,62500.0,0.0,1.0,1.0,12.14
2008-05-29,60.65,61.09,60.56,60.86,60.65,61.09,60.56,60.86,73300.0,0.0,1.0,1.0,0.0
2008-05-30,60.8,60.98,60.72,60.88,60.8,60.98,60.72,60.88,83100.0,0.0,1.0,1.0,0.0
2008-06-02,60.43,60.85,60.43,60.7,60.43,60.85,60.43,60.7,61700.0,0.36,1.0,1.0,0.0
2008-06-03,60.37,60.41,59.9,60.21,60.37,60.41,59.9,60.21,96800.0,0.0,1.0,1.0,0.0
2008-06-04,60.25,60.25,59.63,59.92,60.25,60.25,59.63,59.92,108300.0,0.0,1.0,1.0,0.0
2008-06-05,59.92,60.2,59.76,60.09,59.92,60.2,59.76,60.09,48800.0,0.0,1.0,1.0,23.9
2008-06-06,61.06,61.06,60.25,60.59,61.06,61.06,60.25,60.59,90100.0,0.0,1.0,1.0,0.0
2008-06-09,60.92,60.95,60.42,60.42,60.92,60.95,60.42,60.42,68800.0,0.0,1.0,1.0,0.0
2008-06-10,60.0,60.42,59.52,59.61,60.0,60.42,59.52,59.61,102500.0,0.0,1.0,1.0,0.0
2008-06-11,59.6,60.48,59.51,59.54,59.6,60.48,59.51,59.54,101500.0,0.0,1.0,1.0,0.0
2008-06-12,59.56,59.56,59.19,59.24,59.56,59.56,59.19,59.24,47300.0,0.0,1.0,1.0,0.0
2008-06-13,59.25,59.45,59.1,59.3,59.25,59.45,59.1,59.3,66400.0,0.0,1.0,1.0,11.8
2008-06-16,59.8,60.0,59.4,59.87,59.8,60.0,59.4,59.87,56500.0,0.0,1.0,1.0,0.0
2008-06-17,59.66,59.99,59.66,59.99,59.66,59.99,59.66,59.99,48100.0,0.0,1.0,1.0,0.0
2008-06-18,59.89,60.19,59.87,60.15,59.89,60.19,59.87,60.15,73600.0,0.0,1.0,1.0,0.0
2008-06-19,60.1,60.19,60.0,60.0,60.1,60.19,60.0,60.0,61100.0,0.0,1.0,1.0,0.0
2008-06-20,60.33,60.48,60.24,60.36,60.33,60.48,60.24,60.36,41500.0,0.0,1.0,1.0,0.0
2008-06-23,60.23,60.25,60.0,60.0,60.23,60.25,60.0,60.0,62800.0,0.0,1.0,1.0,0.0
2008-06-24,60.09,60.49,60.0,60.33,60.09,60.49,60.0,60.33,53000.0,0.0,1.0,1.0,11.97
2008-06-25,60.14,60.55,60.14,60.35,60.14,60.55,60.14,60.35,51600.0,0.0,1.0,1.0,0.0
2008-06-26,60.65,61.05,60.64,60.85,60.65,61.05,60.64,60.85,87600.0,0.0,1.0,1.0,0.0
2008-06-27,60.84,61.06,60.84,60.97,60.84,61.06,60.84,60.97,64400.0,0.0,1.0,1.0,0.0
2008-06-30,60.95,61.01,60.83,61.01,60.95,61.01,60.83,61.01,76500.0,0.0,1.0,1.0,24.26
2008-07-01,60.89,61.01,60.4,60.87,60.89,61.01,60.4,60.87,62800.0,0.31,1.0,1.0,0.0
2008-07-02,61.04,61.2,60.9,61.06,61.04,61.2,60.9,61.06,46100.0,0.0,1.0,1.0,0.0
2008-07-03,60.96,61.07,60.9,61.04,60.96,61.07,60.9,61.04,32300.0,0.0,1.0,1.0,0.0
2008-07-07,61.49,61.49,60.8,61.13,61.49,61.49,60.8,61.13,54000.0,0.0,1.0,1.0,0.0
2008-07-08,60.92,60.92,60.75,60.85,60.92,60.92,60.75,60.85,84400.0,0.0,1.0,1.0,0.0
2008-07-09,60.9,61.05,60.5,60.5,60.9,61.05,60.5,60.5,123400.0,0.0,1.0,1.0,0.0
2008-07-10,60.98,61.24,60.85,61.22,60.98,61.24,60.85,61.22,85800.0,0.0,1.0,1.0,0.0
2008-07-11,61.49,61.7,61.35,61.68,61.49,61.7,61.35,61.68,108500.0,0.0,1.0,1.0,0.0
2008-07-14,61.49,61.69,61.29,61.55,61.49,61.69,61.29,61.55,44700.0,0.0,1.0,1.0,24.5
2008-07-15,61.7,62.1,61.7,61.92,61.7,62.1,61.7,61.92,194500.0,0.0,1.0,1.0,12.28
2008-07-16,61.55,61.62,61.1,61.46,61.55,61.62,61.1,61.46,87500.0,0.0,1.0,1.0,0.0
2008-07-17,61.19,61.59,61.15,61.15,61.19,61.59,61.15,61.15,173100.0,0.0,1.0,1.0,0.0
2008-07-18,61.73,61.73,60.85,61.01,61.73,61.73,60.85,61.01,93000.0,0.0,1.0,1.0,0.0
2008-07-21,62.35,62.35,60.85,61.12,62.35,62.35,60.85,61.12,46000.0,0.0,1.0,1.0,0.0
