Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
1998-12-22,25.31,25.46,25.31,25.46,25.31,25.46,25.31,25.46,3700.0,0.0,1.0,1.0,0.0
1998-12-23,25.5,25.75,25.47,25.58,25.5,25.75,25.47,25.58,12000.0,0.0,1.0,1.0,0.0
1998-12-24,25.94,26.05,25.81,26.05,25.94,26.05,25.81,26.05,1600.0,0.0,1.0,1.0,0.0
1998-12-28,25.92,25.94,25.81,25.81,25.92,25.94,25.81,25.81,8600.0,0.0,1.0,1.0,0.0
1998-12-29,25.89,26.38,25.89,26.38,25.89,26.38,25.89,26.38,1100.0,0.0,1.0,1.0,0.0
1998-12-30,26.36,26.41,26.16,26.16,26.36,26.41,26.16,26.16,31700.0,0.0,1.0,1.0,0.0
1998-12-31,26.16,26.25,26.12,26.12,26.16,26.25,26.12,26.12,32400.0,0.0,1.0,1.0,0.0
1999-01-04,26.16,26.53,25.91,25.97,26.16,26.53,25.91,25.97,5200.0,0.0,1.0,1.0,0.0
1999-01-05,26.12,26.41,26.12,26.41,26.12,26.41,26.12,26.41,1300.0,0.0,1.0,1.0,0.0
1999-01-06,26.72,27.16,26.72,27.16,26.72,27.16,26.72,27.16,8100.0,0.0,1.0,1.0,0.0
1999-01-07,27.03,27.31,27.0,27.12,27.03,27.31,27.0,27.12,13700.0,0.0,1.0,1.0,0.0
1999-01-08,27.28,27.41,27.11,27.16,27.28,27.41,27.11,27.16,18600.0,0.0,1.0,1.0,0.0
1999-01-11,27.25,27.28,26.8,27.02,27.25,27.28,26.8,27.02,63100.0,0.0,1.0,1.0,-2.72
1999-01-12,26.61,26.69,26.28,26.31,26.61,26.69,26.28,26.31,3300.0,0.0,1.0,1.0,0.0
1999-01-13,25.69,26.44,25.69,26.44,25.69,26.44,25.69,26.44,3400.0,0.0,1.0,1.0,0.0
1999-01-14,26.19,26.31,25.72,25.84,26.19,26.31,25.72,25.84,36600.0,0.0,1.0,1.0,0.0
1999-01-15,26.19,26.2,26.05,26.17,26.19,26.2,26.05,26.17,34800.0,0.0,1.0,1.0,0.0
1999-01-19,26.47,26.58,26.16,26.16,26.47,26.58,26.16,26.16,4100.0,0.0,1.0,1.0,0.0
1999-01-20,26.53,26.84,26.42,26.59,26.53,26.84,26.42,26.59,3500.0,0.0,1.0,1.0,0.0
1999-01-21,26.53,26.56,26.28,26.34,26.53,26.56,26.28,26.34,31500.0,0.0,1.0,1.0,0.0
1999-01-22,25.94,26.55,25.88,26.47,25.94,26.55,25.88,26.47,12300.0,0.0,1.0,1.0,0.0
1999-01-25,26.34,26.47,26.22,26.41,26.34,26.47,26.22,26.41,8100.0,0.0,1.0,1.0,0.0
1999-01-26,26.56,27.03,26.48,27.03,26.56,27.03,26.48,27.03,3700.0,0.0,1.0,1.0,-1.32
1999-01-27,27.06,27.12,27.0,27.0,27.06,27.12,27.0,27.0,1900.0,0.0,1.0,1.0,0.0
1999-01-28,27.06,27.28,27.06,27.28,27.06,27.28,27.06,27.28,4300.0,0.0,1.0,1.0,0.0
1999-01-29,27.38,27.56,27.19,27.47,27.38,27.56,27.19,27.47,6800.0,0.0,1.0,1.0,0.0
1999-02-01,27.59,27.61,27.44,27.53,27.59,27.61,27.44,27.53,6100.0,0.0,1.0,1.0,0.0
1999-02-02,27.31,27.31,26.94,27.19,27.31,27.31,26.94,27.19,20900.0,0.0,1.0,1.0,0.0
1999-02-03,27.12,27.66,27.09,27.62,27.12,27.66,27.09,27.62,23100.0,0.0,1.0,1.0,0.0
1999-02-04,27.8,27.83,27.44,27.47,27.8,27.83,27.44,27.47,19500.0,0.0,1.0,1.0,0.0
1999-02-05,27.19,27.36,26.78,26.78,27.19,27.36,26.78,26.78,5800.0,0.0,1.0,1.0,0.0
1999-02-08,27.02,27.22,26.67,27.22,27.02,27.22,26.67,27.22,8200.0,0.0,1.0,1.0,0.0
1999-02-09,26.88,26.91,26.38,26.38,26.88,26.91,26.38,26.38,9400.0,0.0,1.0,1.0,0.0
1999-02-10,26.34,26.53,26.22,26.38,26.34,26.53,26.22,26.38,9200.0,0.0,1.0,1.0,0.0
1999-02-11,26.53,27.27,26.45,27.23,26.53,27.27,26.45,27.23,12200.0,0.0,1.0,1.0,0.0
1999-02-12,26.88,26.91,26.58,26.75,26.88,26.91,26.58,26.75,5800.0,0.0,1.0,1.0,0.0
1999-02-16,26.98,27.25,26.97,27.09,26.98,27.25,26.97,27.09,9300.0,0.0,1.0,1.0,0.0
1999-02-17,27.16,27.55,27.0,27.0,27.16,27.55,27.0,27.0,14700.0,0.0,1.0,1.0,0.0
1999-02-18,27.0,27.03,26.77,27.03,27.0,27.03,26.77,27.03,3500.0,0.0,1.0,1.0,0.0
1999-02-19,27.06,27.17,26.98,27.17,27.06,27.17,26.98,27.17,900.0,0.0,1.0,1.0,0.0
1999-02-22,27.25,27.86,27.25,27.86,27.25,27.86,27.25,27.86,14000.0,0.0,1.0,1.0,0.0
1999-02-23,27.88,27.91,27.5,27.72,27.88,27.91,27.5,27.72,6800.0,0.0,1.0,1.0,0.0
1999-02-24,27.91,28.09,27.38,27.38,27.91,28.09,27.38,27.38,9000.0,0.0,1.0,1.0,1.38
1999-02-25,27.31,27.34,26.66,27.06,27.31,27.34,26.66,27.06,19100.0,0.0,1.0,1.0,0.0
1999-02-26,27.03,27.41,27.03,27.3,27.03,27.41,27.03,27.3,8500.0,0.0,1.0,1.0,0.0
1999-03-01,27.22,27.31,27.06,27.31,27.22,27.31,27.06,27.31,8600.0,0.0,1.0,1.0,0.0
1999-03-02,27.38,27.7,27.38,27.38,27.38,27.7,27.38,27.38,18100.0,0.0,1.0,1.0,0.0
1999-03-03,27.41,27.45,27.23,27.23,27.41,27.45,27.23,27.23,1000.0,0.0,1.0,1.0,0.0
1999-03-04,27.84,27.91,27.56,27.81,27.84,27.91,27.56,27.81,5400.0,0.0,1.0,1.0,0.0
1999-03-05,28.44,28.84,28.44,28.66,28.44,28.84,28.44,28.66,24800.0,0.0,1.0,1.0,1.39
1999-03-08,28.88,28.88,28.41,28.78,28.88,28.88,28.41,28.78,12300.0,0.0,1.0,1.0,5.74
1999-03-09,28.72,29.03,28.64,28.86,28.72,29.03,28.64,28.86,12100.0,0.0,1.0,1.0,0.0
1999-03-10,28.88,28.92,28.72,28.78,28.88,28.92,28.72,28.78,5600.0,0.0,1.0,1.0,0.0
1999-03-11,29.0,29.27,28.92,29.09,29.0,29.27,28.92,29.09,13100.0,0.0,1.0,1.0,2.88
1999-03-12,29.41,29.56,28.5,29.22,29.41,29.56,28.5,29.22,13700.0,0.0,1.0,1.0,0.0
1999-03-15,29.19,29.3,29.0,29.28,29.19,29.3,29.0,29.28,7100.0,0.0,1.0,1.0,0.0
1999-03-16,29.47,29.47,29.0,29.12,29.47,29.47,29.0,29.12,6200.0,0.0,1.0,1.0,0.0
1999-03-17,29.09,29.09,28.72,29.0,29.09,29.09,28.72,29.0,6700.0,0.0,1.0,1.0,0.0
1999-03-18,28.81,29.5,28.81,29.5,28.81,29.5,28.81,29.5,7000.0,0.0,1.0,1.0,0.0
