Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2011-08-18,52.5,61.0,52.5,56.25,52.5,61.0,52.5,56.25,2700.0,0.0,1.0,1.0,0.0
2011-08-19,55.01,59.0,55.01,58.7,55.01,59.0,55.01,58.7,1400.0,0.0,1.0,1.0,0.0
2011-08-22,60.0,61.1,57.2,59.11,60.0,61.1,57.2,59.11,2188.0,0.0,1.0,1.0,0.0
2011-08-23,59.5,59.59,59.15,59.35,59.5,59.59,59.15,59.35,1000.0,0.0,1.0,1.0,0.0
2011-08-24,59.0,59.0,58.91,58.91,59.0,59.0,58.91,58.91,300.0,0.0,1.0,1.0,0.0
2011-08-25,62.0,63.0,59.35,60.0,62.0,63.0,59.35,60.0,1300.0,0.0,1.0,1.0,0.0
2011-08-26,60.8,60.9,58.91,59.1,60.8,60.9,58.91,59.1,2265.0,0.0,1.0,1.0,0.0
2011-08-29,59.1,59.74,57.5,57.5,59.1,59.74,57.5,57.5,1235.0,0.0,1.0,1.0,0.0
2011-08-30,57.7,58.2,57.5,58.2,57.7,58.2,57.5,58.2,1800.0,0.0,1.0,1.0,0.0
2011-08-31,57.9,58.3,57.5,58.3,57.9,58.3,57.5,58.3,800.0,0.0,1.0,1.0,0.0
2011-09-01,57.11,57.82,56.75,57.79,57.11,57.82,56.75,57.79,1005.0,0.0,1.0,1.0,0.0
2011-09-02,59.49,59.49,58.52,59.19,59.49,59.49,58.52,59.19,53600.0,0.0,1.0,1.0,3.48
2011-09-06,63.0,64.0,59.0,59.0,63.0,64.0,59.0,59.0,4600.0,0.0,1.0,1.0,0.0
2011-09-07,58.42,58.46,58.1,58.1,58.42,58.46,58.1,58.1,1360.0,0.0,1.0,1.0,0.0
2011-09-08,58.9,58.9,58.4,58.6,58.9,58.9,58.4,58.6,12400.0,0.0,1.0,1.0,0.0
2011-09-09,59.98,61.24,59.5,61.07,59.98,61.24,59.5,61.07,17100.0,0.0,1.0,1.0,0.76
2011-09-12,61.67,63.0,61.5,62.85,61.67,63.0,61.5,62.85,5800.0,0.0,1.0,1.0,0.0
2011-09-13,61.51,61.51,61.51,61.51,61.51,61.51,61.51,61.51,400.0,0.0,1.0,1.0,0.0
2011-09-14,65.0,65.0,60.85,60.85,65.0,65.0,60.85,60.85,600.0,0.0,1.0,1.0,0.0
2011-09-15,59.88,60.25,59.88,60.25,59.88,60.25,59.88,60.25,900.0,0.0,1.0,1.0,0.0
2011-09-16,59.16,59.86,59.16,59.46,59.16,59.86,59.16,59.46,28527.0,0.0,1.0,1.0,3.35
2011-09-19,59.99,60.31,59.45,59.45,59.99,60.31,59.45,59.45,1860.0,0.0,1.0,1.0,0.0
2011-09-20,59.89,59.95,58.93,59.51,59.89,59.95,58.93,59.51,31870.0,0.0,1.0,1.0,0.0
2011-09-21,59.83,60.21,59.8,60.0,59.83,60.21,59.8,60.0,23720.0,0.0,1.0,1.0,0.0
2011-09-22,60.48,62.04,60.38,61.55,60.48,62.04,60.38,61.55,94865.0,0.0,1.0,1.0,0.0
2011-09-23,61.69,61.69,60.54,60.74,61.69,61.69,60.54,60.74,9362.0,0.0,1.0,1.0,0.0
2011-09-26,61.13,61.13,60.39,60.57,61.13,61.13,60.39,60.57,37371.0,0.0,1.0,1.0,0.0
2011-09-27,58.76,59.75,58.53,59.54,58.76,59.75,58.53,59.54,76250.0,0.0,1.0,1.0,0.0
2011-09-28,59.34,61.16,59.29,61.16,59.34,61.16,59.29,61.16,44368.0,0.0,1.0,1.0,0.0
2011-09-29,59.88,62.26,59.88,61.85,59.88,62.26,59.88,61.85,82255.0,0.0,1.0,1.0,0.0
2011-09-30,62.38,63.07,61.28,63.07,62.38,63.07,61.28,63.07,2239.0,0.0,1.0,1.0,0.0
2011-10-03,63.97,64.97,63.97,64.77,63.97,64.97,63.97,64.77,48273.0,0.0,1.0,1.0,0.0
2011-10-04,65.2,65.23,62.08,62.08,65.2,65.23,62.08,62.08,1700.0,0.0,1.0,1.0,0.0
2011-10-05,62.62,62.76,61.51,62.03,62.62,62.76,61.51,62.03,105759.0,0.0,1.0,1.0,0.0
2011-10-06,62.3,62.3,61.55,61.86,62.3,62.3,61.55,61.86,2015.0,0.0,1.0,1.0,0.0
2011-10-07,61.34,61.44,61.24,61.3,61.34,61.44,61.24,61.3,19000.0,0.0,1.0,1.0,0.0
2011-10-10,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,30466.0,0.0,1.0,1.0,0.0
2011-10-11,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,100.0,0.0,1.0,1.0,0.0
2011-10-12,60.93,60.93,60.93,60.93,60.93,60.93,60.93,60.93,0.0,0.0,1.0,1.0,0.0
2011-10-13,60.23,60.23,59.83,59.83,60.23,60.23,59.83,59.83,1065.0,0.0,1.0,1.0,0.0
2011-10-14,59.1,59.75,59.0,59.0,59.1,59.75,59.0,59.0,5280.0,0.0,1.0,1.0,0.0
2011-10-17,59.43,59.72,59.33,59.56,59.43,59.72,59.33,59.56,4600.0,0.0,1.0,1.0,0.0
2011-10-18,59.7,59.92,58.72,59.48,59.7,59.92,58.72,59.48,5423.0,0.0,1.0,1.0,0.0
2011-10-19,59.3,60.01,59.3,60.01,59.3,60.01,59.3,60.01,2538.0,0.0,1.0,1.0,0.0
2011-10-20,60.06,60.33,59.61,59.72,60.06,60.33,59.61,59.72,20751.0,0.0,1.0,1.0,0.0
2011-10-21,58.13,59.0,58.13,58.5,58.13,59.0,58.13,58.5,19829.0,0.0,1.0,1.0,0.0
2011-10-24,58.13,58.13,56.51,56.62,58.13,58.13,56.51,56.62,14251.0,0.0,1.0,1.0,0.0
2011-10-25,56.89,61.86,56.45,57.02,56.89,61.86,56.45,57.02,22701.0,0.0,1.0,1.0,8.8
2011-10-26,56.89,57.12,56.5,56.67,56.89,57.12,56.5,56.67,177557.0,0.0,1.0,1.0,0.0
2011-10-27,55.2,55.44,54.55,54.55,55.2,55.44,54.55,54.55,1575.0,0.0,1.0,1.0,0.0
2011-10-28,54.28,54.35,53.8,54.3,54.28,54.35,53.8,54.3,3982.0,0.0,1.0,1.0,0.0
2011-10-31,54.57,55.35,54.55,55.28,54.57,55.35,54.55,55.28,2878.0,0.0,1.0,1.0,0.0
2011-11-01,57.65,57.65,56.48,56.79,57.65,57.65,56.48,56.79,56122.0,0.0,1.0,1.0,4.51
2011-11-02,57.0,57.25,56.78,56.93,57.0,57.25,56.78,56.93,33482.0,0.0,1.0,1.0,0.0
