Date,Open,High,Low,Close,AdjOpen,AdjHigh,AdjLow,AdjClose,Volume,Dividend,Split,SplitFactor,FundFlow
2009-11-04,73.86,73.86,73.86,73.86,73.86,73.86,73.86,73.86,4000.0,0.0,1.0,1.0,0.0
2009-11-05,72.93,72.93,72.93,72.93,72.93,72.93,72.93,72.93,4000.0,0.0,1.0,1.0,0.0
2009-11-06,72.93,72.93,72.93,72.93,72.93,72.93,72.93,72.93,0.0,0.0,1.0,1.0,0.0
2009-11-09,72.93,72.93,72.93,72.93,72.93,72.93,72.93,72.93,0.0,0.0,1.0,1.0,0.0
2009-11-10,72.93,72.93,72.93,72.93,72.93,72.93,72.93,72.93,0.0,0.0,1.0,1.0,0.0
2009-11-11,72.93,72.93,72.93,72.93,72.93,72.93,72.93,72.93,0.0,0.0,1.0,1.0,0.0
2009-11-12,73.01,73.01,73.01,73.01,73.01,73.01,73.01,73.01,100.0,0.0,1.0,1.0,0.0
2009-11-13,73.01,73.01,73.01,73.01,73.01,73.01,73.01,73.01,0.0,0.0,1.0,1.0,0.0
2009-11-16,76.6,76.6,76.23,76.23,76.6,76.6,76.23,76.23,4300.0,0.0,1.0,1.0,0.0
2009-11-17,76.67,76.67,76.67,76.67,76.67,76.67,76.67,76.67,100.0,0.0,1.0,1.0,0.0
2009-11-18,76.1,76.1,75.59,75.63,76.1,76.1,75.59,75.63,9300.0,0.0,1.0,1.0,0.0
2009-11-19,76.34,76.34,75.69,75.69,76.34,76.34,75.69,75.69,1100.0,0.0,1.0,1.0,0.0
2009-11-20,75.9,75.9,75.42,75.42,75.9,75.9,75.42,75.42,1200.0,0.0,1.0,1.0,0.0
2009-11-23,75.42,75.42,75.42,75.42,75.42,75.42,75.42,75.42,0.0,0.0,1.0,1.0,0.0
2009-11-24,75.74,75.74,75.74,75.74,75.74,75.74,75.74,75.74,200.0,0.0,1.0,1.0,0.0
2009-11-25,75.22,76.59,75.22,76.59,75.22,76.59,75.22,76.59,4300.0,0.0,1.0,1.0,0.0
2009-11-27,76.78,76.78,76.78,76.78,76.78,76.78,76.78,76.78,1300.0,0.0,1.0,1.0,0.0
