Symbol,Date,Open,High,Low,Close,Volume
ADDA,18-Sep-2020,22,34,-66,-20,0
ADDC,18-Sep-2020,-3,6,-40,-18,0
ADDE,18-Sep-2020,264,264,-1308,-1301,0
ADDN,18-Sep-2020,145,255,-1118,-794,0
ADDQ,18-Sep-2020,1003,1003,-833,-40,0
ADDS,18-Sep-2020,86,86,-343,-299,0
ADDT,18-Sep-2020,1170,1189,-2007,-854,0
ADDU,18-Sep-2020,-7,-7,-639,-435,0
ADDV,18-Sep-2020,54,54,4,37,0
ADDX,18-Sep-2020,137,139,-355,-280,0
ADRA,18-Sep-2020,1.34,1.45,0.49,0.8,0
ADRC,18-Sep-2020,0.95,1.08,0.75,0.88,0
ADRE,18-Sep-2020,1.53,1.53,0.25,0.25,0
ADRN,18-Sep-2020,1.17,1.31,0.25,0.4,0
ADRQ,18-Sep-2020,2.45,2.45,0.52,0.97,0
ADRS,18-Sep-2020,1.24,1.24,0.64,0.68,0
ADRT,18-Sep-2020,1.74,1.74,0.4,0.69,0
ADRU,18-Sep-2020,0.99,0.99,0.72,0.82,0
ADRV,18-Sep-2020,1.32,1.32,1.01,1.09,0
ADRX,18-Sep-2020,1.23,1.23,0.76,0.81,0
ADVA,18-Sep-2020,86,108,65,85,66654400
ADVC,18-Sep-2020,65,141,65,139,43919900
ADVE,18-Sep-2020,758,891,401,454,432110900
ADVN,18-Sep-2020,970,1063,382,542,1896492000
ADVQ,18-Sep-2020,1693,1736,904,1306,2486961000
ADVS,18-Sep-2020,431,656,431,656,295360600
ADVT,18-Sep-2020,2749,2891,1355,1933,4450107000
ADVU,18-Sep-2020,750,1997,750,1997,4504206000
ADVV,18-Sep-2020,222,412,222,409,116297800
ADVX,18-Sep-2020,718,1206,718,1204,455578300
ASHD,18-Sep-2020,2,1510,2,1495,0
ASHF,18-Sep-2020,5,365,-1042,-1012,0
ASHR,18-Sep-2020,3.5,3.5,0.3,0.32,0
ASHU,18-Sep-2020,7,862,7,483,0
AVDA,18-Sep-2020,-1.81,2.25,-96.92,-96.19,0
AVDC,18-Sep-2020,0.04,17.29,-2.87,15.7,0
AVDE,18-Sep-2020,8.6,8.6,-809.56,-809.56,0
AVDN,18-Sep-2020,17.45,180.34,-3021.66,-3021.66,0
AVDQ,18-Sep-2020,41.03,171.73,-463.91,-293.68,0
AVDS,18-Sep-2020,-6.11,0.04,-204.37,-204.36,0
AVDT,18-Sep-2020,56.67,324.76,-3411.55,-3411.55,0
AVDU,18-Sep-2020,-175.88,1493.77,-176.9,1492.84,0
AVDV,18-Sep-2020,13.35,15.79,-11.77,15.79,0
AVDX,18-Sep-2020,7.27,7.95,-172.87,-172.87,0
AVLD,18-Sep-2020,0.6,1044.66,0.6,1044.66,0
AVLF,18-Sep-2020,0.02,12.16,-721.58,-721.58,0
AVLR,18-Sep-2020,29.5,29.5,0.3,0.3,0
AVLU,18-Sep-2020,0.02,437.29,0.02,323.07,0
AVRA,18-Sep-2020,0.68,1.08,0.24,0.4,0
AVRC,18-Sep-2020,1.02,2.14,0.68,1.55,0
AVRE,18-Sep-2020,1.43,1.43,0.34,0.34,0
AVRN,18-Sep-2020,1.1,1.37,0.3,0.38,0
AVRQ,18-Sep-2020,1.32,1.5,0.65,0.89,0
AVRS,18-Sep-2020,0.84,1,0.59,0.59,0
AVRT,18-Sep-2020,1.18,1.38,0.44,0.56,0
AVRU,18-Sep-2020,0.35,1.65,0.35,1.49,0
AVRV,18-Sep-2020,4.04,4.04,0.85,1.15,0
AVRX,18-Sep-2020,1.16,1.16,0.69,0.72,0
AVVA,18-Sep-2020,3.96,74.01,3.96,66.65,0
AVVC,18-Sep-2020,1.57,44.59,1.57,43.91,0
AVVE,18-Sep-2020,28.49,497.16,28.49,432.11,0
AVVN,18-Sep-2020,187.49,1898.34,187.49,1896.49,0
AVVQ,18-Sep-2020,167.1,2486.96,167.1,2486.96,0
AVVS,18-Sep-2020,32.17,295.39,32.17,295.36,0
AVVT,18-Sep-2020,358.55,4450.1,358.55,4450.1,0
AVVU,18-Sep-2020,98.8,4504.46,98.8,4504.2,0
AVVV,18-Sep-2020,17.73,116.29,14.28,116.29,0
AVVX,18-Sep-2020,51.48,456.22,51.04,455.57,0
BANK,18-Sep-2020,2645.58,2647.44,2602.01,2616.65,0
BCMA,18-Sep-2020,2384,2478,1037,1587,0
BCMC,18-Sep-2020,100.34,100.46,99.9,100.28,0
BCMD,18-Sep-2020,1337,2942,1337,2410,0
BCME,18-Sep-2020,241,277,209,259,0
BCMF,18-Sep-2020,180,328,180,283,0
BCMG,18-Sep-2020,47,47,21,28,0
BCMM,18-Sep-2020,100.36,100.62,99.05,99.87,0
BCMU,18-Sep-2020,134,134,44,51,0
BDMA,18-Sep-2020,1564,1657,1564,1657,0
BDMC,18-Sep-2020,100.01,100.01,99.96,99.96,0
BDMD,18-Sep-2020,2211,2297,2211,2297,0
BDME,18-Sep-2020,196,235,196,235,0
BDMF,18-Sep-2020,255,305,255,305,0
BDMG,18-Sep-2020,16,28,16,28,0
BDMM,18-Sep-2020,99.8,99.82,99.8,99.81,0
BDMU,18-Sep-2020,80,94,80,94,0
BFMA,18-Sep-2020,1623,1696,1623,1696,0
BFMC,18-Sep-2020,99.91,99.93,99.88,99.89,0
BFMD,18-Sep-2020,2163,2259,2163,2259,0
BFME,18-Sep-2020,210,250,210,250,0
BFMF,18-Sep-2020,233,280,233,280,0
BFMG,18-Sep-2020,23,37,23,37,0
BFMM,18-Sep-2020,99.63,99.64,99.63,99.64,0
BFMU,18-Sep-2020,69,93,69,93,0
BGMA,18-Sep-2020,1376,1441,1376,1441,0
BGMC,18-Sep-2020,100.08,100.14,100.08,100.12,0
BGMD,18-Sep-2020,2407,2520,2407,2520,0
BGME,18-Sep-2020,209,259,209,259,0
BGMF,18-Sep-2020,233,276,233,276,0
BGMG,18-Sep-2020,20,27,20,27,0
BGMM,18-Sep-2020,99.5,99.5,99.48,99.49,0
BGMU,18-Sep-2020,72,87,72,87,0
BKX,18-Sep-2020,76.37,77.03,75.98,76.27,0
BWH,18-Sep-2020,205.63,212.84,205.45,212.56,0
BXD,18-Sep-2020,321.26,321.61,318.65,319.98,0
BXM,18-Sep-2020,1348.31,1355.54,1346.06,1354.18,0
BXN,18-Sep-2020,666.28,667.24,659.11,665.92,0
CASH,18-Sep-2020,1,1,1,1,0
CEX,18-Sep-2020,701.49,701.69,686.45,688.48,0
COMP,18-Sep-2020,10973.45,10977.68,10639.95,10793.28,0
CPR,18-Sep-2020,3.09,3.11,3.07,3.11,407
CYM,18-Sep-2020,17.25,17.25,17.01,17.08,0
DCFD,18-Sep-2020,52.3,52.3,20,23.07,0
DCFI,18-Sep-2020,61.53,64.61,52.3,58.46,0
DCOF,18-Sep-2020,76.92,78.46,69.23,70.76,0
DCOH,18-Sep-2020,73.84,73.84,70.76,72.3,0
DCSE,18-Sep-2020,42764.53,42836.5,41247.57,41837.16,0
DCTH,18-Sep-2020,56.92,56.92,55.38,55.38,0
DCTW,18-Sep-2020,55.38,56.92,43.07,44.61,0
DDA,18-Sep-2020,25.33,26.24,21.41,24.99,0
DDB,18-Sep-2020,19.19,23.15,11.7,21.98,0
DECA,18-Sep-2020,64,131,64,105,162849800
DECC,18-Sep-2020,68,163,68,157,28216800
DECE,18-Sep-2020,494,1759,494,1755,1241675000
DECN,18-Sep-2020,825,1500,808,1336,4918159000
DECQ,18-Sep-2020,690,1740,690,1346,2780650000
DECS,18-Sep-2020,345,972,345,955,499729100
DECT,18-Sep-2020,1579,3362,1579,2787,7861659000
DECU,18-Sep-2020,757,2468,757,2432,3011366000
DECV,18-Sep-2020,168,392,168,372,100505500
DECX,18-Sep-2020,581,1521,581,1484,628451400
DIFD,18-Sep-2020,50,50,13.33,23.33,0
DIFI,18-Sep-2020,56.66,63.33,50,60,0
DIOF,18-Sep-2020,80,83.33,70,73.33,0
DIOH,18-Sep-2020,80,83.33,76.66,80,0
DITH,18-Sep-2020,70,70,66.66,66.66,0
DITW,18-Sep-2020,40,46.66,33.33,36.66,0
DIVQ,18-Sep-2020,3456.19,3461.04,3353.61,3406.6,0
DJC,18-Sep-2020,9264.64,9292.17,9138.27,9178.93,983480300
DJEC,18-Sep-2020,1638.68,1640.39,1590.63,1618.17,0
DJI,18-Sep-2020,27864.87,27946.69,27487.97,27657.42,703887200
DJT,18-Sep-2020,11547.08,11628.82,11398.6,11431.92,193762900
DJU,18-Sep-2020,809.89,812.01,796.26,797.95,85830300
DJWO,18-Sep-2020,435.67,436.36,430.61,433,0
DJX,18-Sep-2020,278.65,279.47,274.88,276.57,0
DLTC,18-Sep-2020,2849.21,2853.13,2750.22,2786.06,0
DOWE,18-Sep-2020,1533.19,1536.83,1515.99,1516.73,0
DRCI,18-Sep-2020,256.06,256.43,251.05,251.47,0
DREI,18-Sep-2020,357.25,357.8,350.14,350.69,0
DSAE,18-Sep-2020,1228.97,1241.9,1216.89,1217.19,71947500
DSAF,18-Sep-2020,1340.56,1365.63,1332.5,1335.25,14016300
DSAG,18-Sep-2020,181.09,183.54,181.09,182.09,42383500
DSAI,18-Sep-2020,696.12,700.96,683.65,686.63,22268400
DSAL,18-Sep-2020,45.94,47.67,45.37,45.5,10479800
DSAM,18-Sep-2020,2284.69,2295.22,2252.33,2267.58,73859600
DSAP,18-Sep-2020,681.1,683.45,658.82,673.62,207079000
DSAR,18-Sep-2020,156.03,157.49,152.67,153.97,162782500
DSAS,18-Sep-2020,1145.46,1160.85,1126.33,1126.87,61890300
DSAT,18-Sep-2020,438.35,443.75,433.29,437.95,21118800
DSAU,18-Sep-2020,566.1,568.48,545.46,558.98,179045800
DSAV,18-Sep-2020,482.2,486.03,472.41,474.85,32327600
DSBC,18-Sep-2020,1539.61,1549.7,1510.56,1529.95,186850900
DSBD,18-Sep-2020,1165.82,1170.4,1147.29,1150.83,42505200
DSBE,18-Sep-2020,128.04,128.56,125.73,126.55,5567300
DSBK,18-Sep-2020,338.88,341.84,336.8,338.44,459041200
DSBM,18-Sep-2020,420.75,422.2,413.75,414.27,222304400
DSBS,18-Sep-2020,199.84,201.73,197.46,197.74,128461400
DSBT,18-Sep-2020,2351.49,2356,2300.49,2342.46,145755200
DSBV,18-Sep-2020,800.87,804.94,783.87,791.01,50908900
DSCA,18-Sep-2020,693.27,699.57,678.28,685.15,43357400
DSCC,18-Sep-2020,563.98,565.57,554.01,555.73,31195400
DSCF,18-Sep-2020,311.32,312.68,301.17,303.95,63594000
DSCG,18-Sep-2020,1129.21,1133.95,1104.85,1109.71,462274200
DSCH,18-Sep-2020,688.77,690.81,675.3,677.37,93843000
DSCL,18-Sep-2020,6.87,7.68,6.71,7.5,5854600
DSCM,18-Sep-2020,646.48,649.77,637.87,641.75,100584000
DSCN,18-Sep-2020,865.96,869.6,852.13,854.9,57772100
DSCP,18-Sep-2020,414.71,418.3,408.38,409.16,51600700
DSCR,18-Sep-2020,5470.95,5490.22,5266.61,5301.17,368547000
DSCS,18-Sep-2020,1829.16,1834.13,1801.16,1815.03,68167500
DSCT,18-Sep-2020,1127.24,1130.32,1108.83,1116.71,99266000
DSCX,18-Sep-2020,962.51,965.65,941.54,944.39,62647600
DSCY,18-Sep-2020,1313.2,1315.46,1279.45,1295.05,1030155000
DSDB,18-Sep-2020,644.21,648.82,619.97,637.32,5283300
DSDN,18-Sep-2020,440.59,444.33,439.42,439.47,10057100
DSDR,18-Sep-2020,726.92,728.44,713.12,720.86,48169800
DSDS,18-Sep-2020,381.2,384.45,373.34,377.26,15495100
DSDT,18-Sep-2020,59.51,59.58,58.23,58.25,22913600
DSDV,18-Sep-2020,166.64,166.83,163.47,164.38,37062200
DSEC,18-Sep-2020,387.31,389.65,380.57,381.76,35962300
DSEE,18-Sep-2020,471.3,474.13,462.99,464.72,58230700
DSEH,18-Sep-2020,48.37,48.39,46.91,47.59,658600
DSEN,18-Sep-2020,277.42,277.42,271.44,274.21,599579100
DSES,18-Sep-2020,239.61,240.27,234.38,236.24,9103100
DSEU,18-Sep-2020,277.79,278.51,272.77,273.31,108661800
DSFA,18-Sep-2020,685.74,690.86,671.65,681.23,72539800
DSFB,18-Sep-2020,644.91,647.77,633,637.51,158260200
DSFC,18-Sep-2020,132.53,133.01,131.62,131.71,45844800
DSFD,18-Sep-2020,562.84,564.82,550.95,557.18,29533700
DSFE,18-Sep-2020,723.7,729.93,712.46,714.16,54175700
DSFH,18-Sep-2020,305.92,308.48,298.88,301.09,13553800
DSFI,18-Sep-2020,1183.47,1188.47,1171.27,1176.39,204404300
DSFN,18-Sep-2020,574.85,577.09,569.7,570.92,1307237000
DSFO,18-Sep-2020,391.6,393.85,385.76,387.52,107351300
DSFP,18-Sep-2020,541.8,544.95,533.75,536.2,107351300
DSFR,18-Sep-2020,126.83,133.97,126.83,131.55,2014300
DSFT,18-Sep-2020,2066.75,2105.9,2046.9,2049.49,18259900
DSFV,18-Sep-2020,616.38,619.82,611.82,613.83,0
DSGF,18-Sep-2020,1326.73,1332.33,1313.06,1318.8,204404300
DSGI,18-Sep-2020,430.23,432.54,424.76,425.38,212354500
DSGT,18-Sep-2020,2114.8,2116.06,2051.45,2080.55,276600000
DSGU,18-Sep-2020,241.69,242.02,236.55,237.56,17948000
DSHB,18-Sep-2020,1188.68,1201.97,1170.41,1183.45,19939000
DSHC,18-Sep-2020,1158.12,1163.76,1146.09,1157.55,448238100
DSHD,18-Sep-2020,262.03,263.42,256.34,257.15,8133900
DSHG,18-Sep-2020,872.21,876.65,864.64,871.87,59941900
DSHI,18-Sep-2020,590.47,593.83,575.36,583.27,15675000
DSHL,18-Sep-2020,60.34,60.38,57.77,57.85,56387200
DSHN,18-Sep-2020,1093.83,1100.79,1087.92,1097.23,18315100
DSHP,18-Sep-2020,2168.25,2193.79,2157.91,2180.77,66054000
DSHR,18-Sep-2020,2351.15,2386.27,2340.2,2341.38,28741800
DSHV,18-Sep-2020,433.47,436.59,425.93,428.36,15266800
DSIB,18-Sep-2020,422.13,428.26,421.79,422.14,5348400
DSID,18-Sep-2020,446.03,448.74,440.67,441.36,160753700
DSIF,18-Sep-2020,28.87,29.3,28.36,28.4,17211100
DSIG,18-Sep-2020,877.95,883.74,866.53,869.89,606262400
DSIL,18-Sep-2020,604.17,611.82,602.04,604.91,68907000
DSIM,18-Sep-2020,185.44,189.61,185.2,185.61,107089400
DSIN,18-Sep-2020,822.61,827.87,811.71,814.81,664034600
DSIO,18-Sep-2020,105.87,106.29,103.37,103.6,109676000
