Symbol,Date,Open,High,Low,Close,Volume
AAAU,20-Aug-2020,19.23,19.49,19.2,19.46,293800
AADR,20-Aug-2020,56.185,56.66,56.185,56.66,3700
AAMC,20-Aug-2020,20.01,20.1,19.27,19.92,11700
AAU,20-Aug-2020,0.74,0.74,0.7,0.724,482500
ABEQ,20-Aug-2020,23.44,23.47,23.4165,23.417,2500
ACES,20-Aug-2020,51.45,51.529,50.74,51.26,43900
ACIO,20-Aug-2020,26.86,26.86,26.7,26.85,57100
ACSG,20-Aug-2020,27.58,27.649,27.58,27.606,600
ACSI,20-Aug-2020,37.58,37.58,37.58,37.58,200
ACU,20-Aug-2020,23.5,24.19,23.27,23.4501,5300
ACWF,20-Aug-2020,30.07,30.1609,30.065,30.1609,2700
ACWV,20-Aug-2020,92,92.65,92,92.52,191100
ACY,20-Aug-2020,2.41,2.47,2.41,2.43,17500
ADFI,20-Aug-2020,10.025,10.025,10.025,10.025,100
ADME,20-Aug-2020,34.14,34.23,34.07,34.175,13600
AE,20-Aug-2020,22.51,22.75,22.29,22.51,5800
AEF,20-Aug-2020,6.63,6.71,6.582,6.71,29500
AESR,20-Aug-2020,10.8911,10.97,10.88,10.9389,7600
AFIF,20-Aug-2020,9.83,9.86,9.83,9.8448,35600
AFK,20-Aug-2020,17.31,17.48,17.31,17.39,2300
AFLG,20-Aug-2020,20.5089,20.5089,20.5089,20.5089,100
AFMC,20-Aug-2020,18.2913,18.2913,18.2913,18.2913,100
AFSM,20-Aug-2020,18.4496,18.4496,18.4496,18.4496,0
AFTY,20-Aug-2020,19.052,19.1419,19.052,19.1418,1200
AGE,20-Aug-2020,0.99,1.02,0.94,0.9778,341100
AGG,20-Aug-2020,118.58,118.71,118.56,118.56,4487500
AGGP,20-Aug-2020,19.881,19.905,19.86,19.905,3500
AGGY,20-Aug-2020,54.14,54.21,54.14,54.16,105700
AGQ,20-Aug-2020,57.29,60.72,57.18,60.53,2524600
AGT,20-Aug-2020,22.3361,22.3361,22.3361,22.3361,100
AGZ,20-Aug-2020,121.29,121.39,121.13,121.23,38100
AIEQ,20-Aug-2020,30.8,31.225,30.75,31.1536,13000
AIIQ,20-Aug-2020,28.09,28.1353,28.0769,28.1353,400
AIM,20-Aug-2020,2.36,2.39,2.21,2.34,3178200
AINC,20-Aug-2020,6.0921,6.7027,6.0401,6.61,13600
AIRI,20-Aug-2020,1.25,1.3,1.25,1.28,20700
ALFA,20-Aug-2020,63.6,63.9102,63.39,63.9102,1400
ALTL,20-Aug-2020,25.22,25.26,25.16,25.2036,111100
ALTS,20-Aug-2020,35.15,35.16,34.97,35.03,1800
AMBO,20-Aug-2020,3.17,3.24,2.54,2.6,194700
AMJ,20-Aug-2020,13.47,13.475,13.22,13.38,854500
AMLP,20-Aug-2020,24.1,24.1264,23.68,24.04,2375700
AMNA,20-Aug-2020,25.01,25.14,24.89,25.0202,10000
AMND,20-Aug-2020,26.4206,26.4206,26.4206,26.4206,0
AMOM,20-Aug-2020,34.98,35.7,34.98,35.6324,1600
AMPE,20-Aug-2020,0.76,0.77,0.7211,0.7463,1124800
AMS,20-Aug-2020,2.12,2.22,2.12,2.22,13800
AMU,20-Aug-2020,8.38,8.4583,8.35,8.4486,1700
AMUB,20-Aug-2020,8.35,8.46,8.33,8.42,448100
AMZA,20-Aug-2020,17.6,17.704,17.17,17.66,118100
ANVS,20-Aug-2020,5.69,5.69,5.11,5.29,49500
AOA,20-Aug-2020,58.06,58.5073,58.06,58.42,28000
AOK,20-Aug-2020,37.4,37.467,37.24,37.36,122700
AOM,20-Aug-2020,41.2,41.32,41.1301,41.29,116800
AOR,20-Aug-2020,48.45,48.77,48.44,48.75,71400
APT,20-Aug-2020,16.74,16.9,16.17,16.72,630700
ARB,20-Aug-2020,25.56,25.5685,25.56,25.5685,1200
ARCM,20-Aug-2020,100.53,100.675,100.53,100.675,500
ARGT,20-Aug-2020,25.66,26.05,25.64,26.05,17300
ARKF,20-Aug-2020,38.2,38.79,38.05,38.74,424100
ARKG,20-Aug-2020,62.86,62.93,62.08,62.46,741400
ARKK,20-Aug-2020,88.31,89.99,88.05,89.48,1458800
ARKQ,20-Aug-2020,54.65,55.5008,54.25,55.38,193200
ARKW,20-Aug-2020,102.69,105.486,102.451,105.23,548400
ARMP,20-Aug-2020,3.38,3.47,3.24,3.26,7700
ARMR,20-Aug-2020,19.34,19.3861,19.33,19.3861,2200
ASEA,20-Aug-2020,12.44,12.52,12.44,12.52,900
ASHR,20-Aug-2020,34.18,34.535,34.14,34.49,4904300
ASHS,20-Aug-2020,34.98,35.21,34.95,35.21,6600
ASHX,20-Aug-2020,25.54,25.59,25.54,25.59,200
ASM,20-Aug-2020,1.18,1.23,1.167,1.21,1243500
ATMP,20-Aug-2020,10.91,11.04,10.86,10.97,218100
ATNM,20-Aug-2020,9.66,9.75,9.21,9.68,383200
AUG,20-Aug-2020,2.29,2.301,2.22,2.3,415500
AUGZ,20-Aug-2020,25.4,25.608,25.4,25.5454,37800
AUMN,20-Aug-2020,0.432,0.4411,0.426,0.4398,730200
AUSF,20-Aug-2020,22.4599,22.4599,22.3688,22.3688,700
AVDE,20-Aug-2020,49.635,50.0493,49.5888,49.9533,17800
AVDV,20-Aug-2020,47.4292,47.7924,47.4292,47.7503,5400
AVEM,20-Aug-2020,51.4,51.965,51.4,51.9516,9000
AVUS,20-Aug-2020,54.5,54.74,54.4402,54.6151,47000
AVUV,20-Aug-2020,44.61,44.877,44.5275,44.54,24700
AWAY,20-Aug-2020,18.99,19.2557,18.902,19.2557,8800
AWTM,20-Aug-2020,49.645,49.645,49.645,49.645,100
AWX,20-Aug-2020,1.5901,1.66,1.5901,1.6001,3800
AXU,20-Aug-2020,2.7,2.8,2.68,2.72,1623900
AZAA,20-Aug-2020,26.285,26.285,26.285,26.285,100
AZAL,20-Aug-2020,26.3682,26.3682,26.3682,26.3682,0
AZBA,20-Aug-2020,25.73,25.73,25.73,25.73,0
AZBL,20-Aug-2020,25.75,25.7758,25.711,25.7758,500
BAB,20-Aug-2020,33.58,33.58,33.4,33.54,475500
BAL,20-Aug-2020,37.6,38.25,37.6,37.9066,1600
BAPR,20-Aug-2020,28.625,28.675,28.625,28.675,400
BAR,20-Aug-2020,19.21,19.45,19.16,19.41,884100
BATL,20-Aug-2020,7.66,7.67,7.66,7.67,300
BATT,20-Aug-2020,10.65,10.65,10.56,10.57,9900
BAUG,20-Aug-2020,27.96,28.01,27.785,27.9323,28000
BBAX,20-Aug-2020,23.42,23.71,23.42,23.65,77300
BBC,20-Aug-2020,41.19,41.26,40.785,41.24,12800
BBCA,20-Aug-2020,24.71,24.95,24.67,24.95,175000
BBEU,20-Aug-2020,23.49,23.7,23.4837,23.69,301200
BBIN,20-Aug-2020,48.85,49.18,48.84,49.18,16600
BBJP,20-Aug-2020,24.01,24.145,24.01,24.11,237300
BBMC,20-Aug-2020,63.8247,63.8247,63.8247,63.8247,100
BBP,20-Aug-2020,44.82,44.9458,44.82,44.9458,200
BBRE,20-Aug-2020,72.93,74.38,72.71,74.04,10400
BBSA,20-Aug-2020,26.31,26.31,26.2578,26.27,2100
BBUS,20-Aug-2020,61.21,61.82,61.18,61.7798,17500
BCD,20-Aug-2020,23.18,23.23,23.18,23.2,600
BCI,20-Aug-2020,20.25,20.33,20.09,20.23,148500
BCM,20-Aug-2020,27.45,27.59,27.42,27.59,800
BCV,20-Aug-2020,26.8,26.96,26.5787,26.84,7800
BCV-A,20-Aug-2020,25.802,25.93,25.802,25.93,1200
BDCS,20-Aug-2020,14.032,14.15,14.032,14.09,5100
BDCX,20-Aug-2020,24.6222,24.6222,24.6222,24.6222,0
BDCY,20-Aug-2020,7.48,7.48,7.38,7.395,2400
BDCZ,20-Aug-2020,14.09,14.12,14.09,14.12,900
BDEC,20-Aug-2020,28.08,28.08,28.0614,28.0614,700
BDL,20-Aug-2020,16,16.1704,15.96,16.1704,2000
BDR,20-Aug-2020,1.21,1.325,1.1,1.13,3240400
BDRY,20-Aug-2020,8.07,8.1682,7.91,8.05,179700
BETZ,20-Aug-2020,18.32,18.62,18.25,18.55,151100
BFEB,20-Aug-2020,25.35,25.4928,25.29,25.458,29200
BFOR,20-Aug-2020,42.88,42.88,42.8407,42.8407,300
BGI,20-Aug-2020,0.7635,0.7798,0.6885,0.778,474400
BHB,20-Aug-2020,20.3,20.73,20.3,20.61,22300
BIBL,20-Aug-2020,32.925,33,32.82,32.9117,7400
BIL,20-Aug-2020,91.53,91.54,91.53,91.54,1091000
BIO.W,20-Aug-2020,0.58,0.58,0.55,0.55,53000
BIOX,20-Aug-2020,5.59,5.59,5.15,5.29,21500
BIV,20-Aug-2020,93.77,93.78,93.67,93.72,1203800
BIZD,20-Aug-2020,12.06,12.15,12.01,12.05,44300
BJAN,20-Aug-2020,30.26,30.33,30.14,30.2795,8000
BJUL,20-Aug-2020,28.33,28.45,28.32,28.45,3300
BJUN,20-Aug-2020,29.54,29.5926,29.54,29.5926,100
BKAG,20-Aug-2020,50.81,50.82,50.81,50.81,2800
BKEM,20-Aug-2020,62.26,62.2957,62.26,62.2957,100
BKF,20-Aug-2020,45.78,46.32,45.76,46.31,8800
BKHY,20-Aug-2020,54.37,54.515,54.37,54.515,1000
BKIE,20-Aug-2020,60.2762,60.2762,60.2762,60.2762,0
BKLC,20-Aug-2020,64.31,64.6028,64.31,64.6028,500
BKLN,20-Aug-2020,21.83,21.83,21.77,21.81,2048900
BKMC,20-Aug-2020,66.02,66.04,65.8876,65.8876,1600
BKSB,20-Aug-2020,51.7,51.7,51.7,51.7,0
BKSE,20-Aug-2020,67,67.22,67,67.012,1600
BKTI,20-Aug-2020,3.07,3.14,3.07,3.09,27400
BLES,20-Aug-2020,28.32,28.5407,28.32,28.51,3900
BLHY,20-Aug-2020,23.3,23.363,23.3,23.363,900
BLOK,20-Aug-2020,24.38,24.62,24.298,24.59,39200
BLV,20-Aug-2020,113.84,113.84,113.5,113.65,306400
BMAR,20-Aug-2020,28.3,28.35,28.26,28.34,2900
BMAY,20-Aug-2020,28.127,28.26,28.09,28.2169,10800
BNDC,20-Aug-2020,27.08,27.0899,27.03,27.07,4800
BNKD,20-Aug-2020,12.445,12.66,12.445,12.5899,6700
BNKO,20-Aug-2020,26.6576,26.6576,26.6576,26.6576,0
BNKU,20-Aug-2020,12.13,12.28,11.874,12,84100
BNKZ,20-Aug-2020,27.51,27.51,27.4751,27.4751,200
BNO,20-Aug-2020,11.51,11.6738,11.44,11.665,2051500
BNOV,20-Aug-2020,27.8001,27.835,27.8,27.835,900
BOCT,20-Aug-2020,27.345,27.4257,27.3326,27.4257,9500
BOIL,20-Aug-2020,45.38,45.66,43.9,43.95,478600
BOND,20-Aug-2020,112.54,112.56,112.4615,112.51,134900
BOSS,20-Aug-2020,24.77,24.9988,24.77,24.9988,1300
BOUT,20-Aug-2020,24.28,24.39,24.1717,24.1717,400
BRBS,20-Aug-2020,13.86,14.2,13.86,14.2,1700
BRF,20-Aug-2020,16.98,17.45,16.89,17.43,18400
BRG,20-Aug-2020,7.2,7.385,7.2,7.27,95000
BRG-A,20-Aug-2020,24.97,24.99,24.95,24.99,2200
BRG-C,20-Aug-2020,24.52,24.52,24.5117,24.5117,400
BRG-D,20-Aug-2020,22.35,22.56,22.35,22.5282,4200
BRN,20-Aug-2020,0.85,0.89,0.8341,0.842,18600
BRZU,20-Aug-2020,73.8,79.66,72.76,78.78,723100
BSEP,20-Aug-2020,27.2686,27.3194,27.2686,27.3194,1600
BSV,20-Aug-2020,83.14,83.15,83.09,83.14,2404300
BTAL,20-Aug-2020,24.02,24.09,23.865,24,23000
BTG,20-Aug-2020,6.17,6.39,6.15,6.38,9856600
BTN,20-Aug-2020,1.79,1.87,1.73,1.86,20000
BTYS,20-Aug-2020,39.0725,39.0725,39.0725,39.0725,100
BUFF,20-Aug-2020,31.78,31.99,31.775,31.823,15400
BUFR,20-Aug-2020,20.15,20.2099,20.119,20.175,58300
BUL,20-Aug-2020,28.39,28.39,28.3894,28.3894,100
BUY,20-Aug-2020,16.5476,16.5476,16.505,16.5262,400
BUYZ,20-Aug-2020,41.335,42.21,41.335,42.1589,9700
BWL.A,20-Aug-2020,9.6,9.6,9.6,9.6,100
BWX,20-Aug-2020,29.98,30.049,29.87,30.01,158700
BWZ,20-Aug-2020,31.48,31.632,31.48,31.62,16400
BYLD,20-Aug-2020,25.91,25.94,25.9004,25.94,51700
BZQ,20-Aug-2020,16.48,16.64,15.28,15.42,926400
CALF,20-Aug-2020,26.1099,26.3,26.07,26.1281,5400
CANE,20-Aug-2020,6.16,6.16,6.08,6.1,40500
CANF,20-Aug-2020,2.46,2.4809,2.25,2.33,1335600
CAPE,20-Aug-2020,155,155.4242,154.8301,155.4242,1400
CBOE,20-Aug-2020,88.66,90.305,88.58,89.62,554700
CBON,20-Aug-2020,22.58,22.6,22.5,22.59,1900
CCF,20-Aug-2020,102.48,105.11,102.48,103.38,10500
CCOR,20-Aug-2020,27.68,27.68,27.595,27.6139,2500
CDOR,20-Aug-2020,4.46,4.47,4.37,4.44,16000
CEF,20-Aug-2020,20.02,20.27,19.875,20.27,662500
CEFD,20-Aug-2020,26.58,26.581,26.56,26.581,3400
CEFS,20-Aug-2020,18.6383,18.96,18.6383,18.8585,13400
CEI,20-Aug-2020,0.6895,0.696,0.66,0.6892,979900
CEMB,20-Aug-2020,51.76,52.02,51.76,51.9745,7600
CET,20-Aug-2020,29.24,29.38,29.0822,29.21,9200
CEV,20-Aug-2020,13.88,13.953,13.74,13.74,12800
CEW,20-Aug-2020,17.3738,17.3738,17.3738,17.3738,100
CFCV,20-Aug-2020,27.1955,27.1955,27.1955,27.1955,100
CGW,20-Aug-2020,40.5,40.829,40.5,40.77,29400
CHA.U,20-Aug-2020,10.2,10.2,10.15,10.18,15900
CHA.W,20-Aug-2020,0.63,0.65,0.63,0.641,66100
CHAD,20-Aug-2020,21.51,21.53,21.32,21.32,18900
CHAQ,20-Aug-2020,9.82,9.82,9.79,9.7916,12500
CHAU,20-Aug-2020,29.72,30.4,29.72,30.39,304100
CHEP,20-Aug-2020,14.2604,14.2604,14.2604,14.2604,100
CHGX,20-Aug-2020,25.05,25.1205,25.0499,25.1205,3200
CHIC,20-Aug-2020,26.8355,26.895,26.73,26.895,900
CHIE,20-Aug-2020,8.67,8.6806,8.67,8.6806,200
CHIH,20-Aug-2020,24.41,24.55,24.04,24.55,2600
CHII,20-Aug-2020,14.06,14.06,14.06,14.06,100
CHIK,20-Aug-2020,26.7,27.2,26.7,27,2200
CHIL,20-Aug-2020,33.6088,33.6088,33.6088,33.6088,100
CHIM,20-Aug-2020,18.765,18.765,18.765,18.765,100
CHIQ,20-Aug-2020,25.25,25.56,25.12,25.52,47000
CHIR,20-Aug-2020,17.4999,17.58,17.465,17.58,1200
CHIS,20-Aug-2020,28.94,29.21,28.5963,29.06,4000
CHIU,20-Aug-2020,14.3372,14.3372,14.3372,14.3372,100
CHIX,20-Aug-2020,15.07,15.1531,15.04,15.1523,2600
CIK,20-Aug-2020,2.88,2.905,2.865,2.88,1062600
CIX,20-Aug-2020,14.5,14.5,14.09,14.19,1300
CKX,20-Aug-2020,9.79,9.839,9.79,9.839,3000
CLIX,20-Aug-2020,91.75,92.39,91.4322,92.27,42300
