Symbol,ETF Name,Prev. Close,Todays Range,ROI (TTM),Open,52 wk Range,Dividends (TTM),Volume,Market Cap,Dividend Yield,Average Vol. (3m),Total Assets,Beta,1-Year Change,Shares Outstanding,Asset Class,Name,Last,Chg. %,Vol.,Time,Date
SPDV,AAM S&P 500 Sector High Dividend,31.09,31.31 - 31.53,,31.32,19.93 - 32.37,1.02,13651.0,,3.47%,10831.0,,,50.58%,,Equity,,,,,,2021-06-01
EEMD,AAM S&P EM Sector High Dividend,23.58,23.82 - 23.95,,23.82,17.17 - 23.99,0.89,5939.0,,3.87%,1721.0,,,37.38%,,Equity,,,,,,2021-06-01
ZIG,The Acquirers Fund,26.64,26.46 - 26.65,,26.63,20.07 - 27.9,0.04,3378.0,,0.17%,6604.0,,,27.14%,,Equity,,,,,,2021-06-01
HDGE,Ranger Equity Bear,24.09,23.92 - 24.11,,23.92,2.58 - 26.49,0.12,14058.0,,0.48%,51986.0,163390000.0,,362.38%,,Equity,AdvisorShares Ranger Equity Bear,24.0,-0.39%,14.06K,15:59:59,2021-06-01
DWSH,AdvisorShares Dorsey Wright Short,8.78,8.68 - 8.81,,8.73,8.68 - 21.81,,13090.0,,,28328.0,,,- 61.51%,,Equity,,,,,,2021-06-01
YOLO,AdvisorShares Pure Cannabis,21.0,20.65 - 21.24,,21.24,10.08 - 31.87,0.15,104266.0,,0.59%,290568.0,,,95.35%,,Equity,,,,,,2021-06-01
CWS,AdvisorShares Focused Equity,46.54,46.05 - 47.11,,47.11,33.93 - 49.37,0.12,6233.0,,0.27%,3607.0,,,30.46%,,Equity,,,,,,2021-06-01
AADR,WCM/BNY Mellon Focused Growth ADR,66.29,67.48 - 67.79,,67.48,48.44 - 67.79,0.07,1644.0,,0.11%,4141.0,23330000.0,,35.04%,,Equity,AdvisorShares Dorsey Wright ADR,67.79,+2.26%,1.64K,15:59:59,2021-06-01
HYLD,Peritus High Yield,32.39,32.09 - 32.31,,32.31,27.46 - 32.64,2.53,63971.0,,7.82%,23218.0,196980000.0,,19.65%,,,High Yield,32.27,-0.39%,63.97K,15:59:59,2021-06-01
MINC,Newfleet Multi-Sector Income,48.86,48.72 - 49,,48.86,47.53 - 52.42,1.16,4548.0,,2.37%,14837.0,255550000.0,,2.45%,,,AdvisorShares Newfleet Multi-Sector Income,48.93,+0.15%,4.55K,15:59:59,2021-06-01
ACT,AdvisorShares Vice ETF,35.7,35.73 - 36.03,,36.03,21.98 - 36.72,,7776.0,,,2246.0,,,55.08%,,Equity,,,,,,2021-06-01
FLRT,AdvisorShares Pacific Asset Enhanced Fl Rate,48.87,48.9 - 48.95,,48.94,46.4 - 49.3,1.62,219.0,,3.31%,2937.0,27380000.0,,4.7%,,Other,AdvisorShares Pacific Asset Enhanced Fl Rate,48.9,+0.06%,0.22K,15:59:59,2021-06-01
DBLV,AdvisorShares Wilshire Buyback,97.24,97.84 - 98.21,,98.21,64.53 - 98.21,1.02,1280.0,,1.11%,733.0,152610000.0,,46.92%,,Equity,AdvisorShares Wilshire Buyback,97.84,+0.62%,1.28K,15:59:59,2021-06-01
HOLD,AdvisorShares Sage Core Reserves,98.59,98.72 - 98.72,,98.72,98.08 - 99.08,1.36,11.0,,1.37%,576.0,86990000.0,,0.52%,,,,,,,,2021-06-01
FWDB,Madrona Global Bond,25.94,25.91 - 25.91,,25.91,25.42 - 26.45,0.51,25.0,,1.96%,1128.0,19080000.0,,0.8%,,,AdvisorShares FolioBeyond Smart Core Bond,25.91,-0.10%,0.03K,15:59:59,2021-06-01
DWMC,AdvisorShares Dorsey Wright Micro-Cap,37.51,37.87 - 37.87,,37.87,19.57 - 41.61,,443.0,,,4150.0,,,83.97%,,Equity,,,,,,2021-06-01
SCAP,AdvisorShares Cornerstone Small Cap,26.86,27.09 - 27.09,,27.09,21.79 - 38.65,,,,,2.0,3370000.0,,0.02%,,Equity,,,,,,2021-06-01
VEGA,Star Global Buy-Write,39.08,39.24 - 39.32,,39.29,30.55 - 39.32,0.1,1517.0,,0.27%,5266.0,17480000.0,,22.1%,,Other,AdvisorShares STAR Global Buy-Write,39.25,+0.44%,1.52K,15:59:59,2021-06-01
FNG,AdvisorShares New Tech and Media,10.27,10.39 - 10.45,,10.6,9.94 - 16.69,,,,,10845.0,,,0.38%,,Equity,,,,,,2021-06-01
BKCH,AdvisorShares Sabretooth Digital Ledger,25.69,24.9 - 25.56,,25.52,24.45 - 28.96,,,,,1007.0,,,0%,,Equity,,,,,,2021-06-01
AFIF,Anfield Universal Fixed Income,9.71,9.69 - 9.73,,9.73,9.51 - 10.77,0.31,8568.0,,3.18%,58258.0,,,- 1.22%,,,,,,,,2021-06-01
GLIF,AGFiQ Global Infrastructure,26.84,26.98 - 27.12,,27.12,22.19 - 27.12,1.17,957.0,,4.75%,1318.0,,,12.39%,,Equity,,,,,,2021-06-01
USHG,AGFiQ Dynamic Hedged U.S. Equity,31.4,31.34 - 31.51,,31.34,26.81 - 32.48,0.36,,,1.14%,905.0,,,15.61%,,Equity,,,,,,2021-06-01
VMOT,Alpha Architect Value Momentum Trend,27.66,27.81 - 27.84,,27.81,21.78 - 29.4,26.05,1012.0,,95.88%,2888.0,,,24.65%,,Equity,,,,,,2021-06-01
QMOM,MomentumShares U.S. Quantitative Momentum,50.21,49.9 - 50.55,,50.55,32.7 - 68.19,0.04,5300.0,,0.08%,19052.0,,,45.3%,,Equity,,,,,,2021-06-01
IMOM,MomentumShares International Quantitative Momentum,34.71,35.22 - 35.42,,35.22,25.16 - 37.96,0.2,2211.0,,0.61%,19086.0,,,36.87%,,Equity,,,,,,2021-06-01
FRDM,Alpha Architect Freedom 100 Emerging Markets,34.35,34.73 - 35,,34.83,22.72 - 35.05,0.53,8745.0,,1.54%,16623.0,,,56.53%,,Equity,,,,,,2021-06-01
AMLP,ALPS Alerian MLP,34.34,34.68 - 35.38,13%,34.68,18.93 - 35.38,2.89,2785421.0,3590000000.0,8.37%,2606588.0,8039999999.999999,1.95,28.04%,151282420.0,Equity,Alerian MLP,35.32,+2.85%,2.79M,15:59:59,2021-06-01
SDOG,ALPS Sector Dividend Dogs,54.59,54.79 - 55.15,,54.94,34.79 - 56.2,2.09,23211.0,,3.83%,57985.0,2063000000.0000002,,51.93%,,Equity,ALPS Sector Dividend Dogs,54.98,+0.71%,23.21K,15:59:59,2021-06-01
IDOG,ALPS Internatl Sector Dividends Dogs,28.93,28.93 - 29.08,,29.06,20.64 - 29.16,0.78,16831.0,,2.80%,24434.0,167900000.0,,34.56%,,Equity,ALPS International Sector Dividend Dogs,28.93,0.00%,16.83K,15:59:59,2021-06-01
RIGS,ALPS RiverFront Strategic Income,24.75,24.7 - 24.75,,24.7,23.69 - 24.95,0.89,11185.0,,3.61%,38057.0,330550000.0,,3.99%,,,ALPS RiverFront Strategic Income,24.74,-0.04%,11.19K,15:59:59,2021-06-01
SBIO,ALPS Medical Breakthroughs,46.61,46.13 - 46.94,,46.81,37.2 - 64.04,,18284.0,,,30632.0,100500000.0,,12.31%,,Equity,ALPS Medical Breakthroughs,46.14,-1.01%,18.28K,15:59:59,2021-06-01
SGDJ,ALPS Sprott Junior Gold Miners,50.79,50.35 - 51.13,,51.13,33.01 - 52.98,0.97,24790.0,,2.24%,43418.0,58690000.0,,46.58%,,Equity,ALPS Sprott Junior Gold Miners,50.61,-0.36%,24.79K,15:59:59,2021-06-01
SGDM,ALPS Sprott Gold Miners,32.48,32.3 - 32.87,,32.63,25.08 - 39.41,0.09,24437.0,,0.34%,42491.0,224230000.0,,9.54%,,Equity,ALPS Sprott Gold Miners,32.5,+0.06%,24.44K,15:59:59,2021-06-01
ACES,ALPS Clean Energy,69.17,68.61 - 70.22,,69.7,36.06 - 101.72,0.45,51548.0,,0.55%,135934.0,,,91.39%,,Equity,,,,,,2021-06-01
DTEC,ALPS Disruptive Technologies,46.2,45.97 - 46.48,,46.48,33 - 51.55,0.14,13685.0,,0.30%,21111.0,,,37.91%,,Equity,,,,,,2021-06-01
ENFR,ALPS Alerian Energy Infrastructure,19.25,19.66 - 19.7,,19.39,12 - 19.71,1.46,19497.0,,8.24%,18961.0,29330000.0,,34.15%,,Equity,Alerian Energy Infrastructure,19.7,+2.34%,19.50K,15:59:59,2021-06-01
EDOG,ALPS Emerging Sector Dividend Dogs,24.86,25.22 - 25.32,,25.31,17.96 - 25.32,1.29,1241.0,,5.47%,4214.0,21420000.0,,40.93%,,Equity,ALPS Emerging Sector Dividend Dogs,25.3,+1.78%,1.24K,15:59:59,2021-06-01
BFOR,ALPS Barron’s 400,59.21,59.29 - 59.7,,59.51,37.62 - 59.7,0.49,4911.0,,0.86%,5179.0,188420000.0,,53.12%,,Equity,ALPS Barron’s 400,59.35,+0.23%,4.91K,15:59:59,2021-06-01
EQL,ALPS Equal Sector Weight,99.75,100.04 - 100.51,,100.51,70.57 - 100.69,1.71,3663.0,,1.72%,9216.0,147000000.0,,37.19%,,Equity,ALPS Equal Sector Weight,100.09,+0.34%,3.66K,15:59:59,2021-06-01
GRI,Cohen & Steers Global Reality Majors,47.98,48.19 - 48.42,,48.2,0 - 0,,,,,4677.0,80410000.0,,0%,,Other,,,,,,2021-06-01
VALQ,American Century STOXX U.S. Quality Value,50.2,50.12 - 50.58,,50.58,34.84 - 51.25,0.9,4607.0,,1.93%,14671.0,,,38.15%,,Equity,,,,,,2021-06-01
KORP,American Century Diversified Corporate Bond,52.26,52.2 - 52.27,,52.21,51.45 - 53.33,1.46,5581.0,,2.81%,6332.0,,,1.47%,,,,,,,,2021-06-01
SWAN,Amplify BlackSwan Growth & Treasury Core,33.47,33.37 - 33.48,,33.57,30.18 - 33.79,0.02,126554.0,,0.07%,161688.0,,,10.35%,,Equity,,,,,,2021-06-01
BLOK,Amplify Transformational Data Sharing,45.82,45.9 - 46.76,,46.43,19.41 - 62.94,0.66,317553.0,,1.14%,958445.0,,,138.4%,,Equity,,,,,,2021-06-01
IBUY,Amplify Online Retail,119.66,119.56 - 121.64,,120.94,63.63 - 140.97,,342500.0,,,210387.0,8450000.0,,86.91%,,Equity,,,,,,2021-06-01
DIVO,Amplify YieldShares CWP Dividend Option Income,35.8,35.73 - 36.06,,35.97,27.52 - 36.4,1.64,123391.0,,4.79%,149821.0,3820000.0,,26.28%,,Equity,,,,,,2021-06-01
CNBS,Amplify Seymour Cannabis,26.04,25.36 - 26.36,,26.3,10.9 - 40.65,0.1,102463.0,,0.32%,159906.0,,,127.25%,,Equity,,,,,,2021-06-01
EASI,Amplify EASI Tactical Growth,21.12,21.03 - 21.11,,21.11,18.71 - 28.51,,,,,5051.0,,,- 0.44%,,Equity,,,,,,2021-06-01
LEND,Amplify CrowdBureau(R) Peer-to-Peer Lending & Crow,16.16,16.15 - 16.22,,16.15,11.87 - 21.21,,394.0,,,2615.0,,,31.77%,,Equity,,,,,,2021-06-01
BATT,Amplify Advanced Battery Metals and Materials,16.44,16.73 - 16.87,,16.81,8.63 - 19.61,0.07,303641.0,,0.41%,207543.0,,,95.25%,,Equity,,,,,,2021-06-01
XBUY,Amplify International Online Retail,53.2,54.07 - 54.76,,54.07,31.48 - 62.41,,3239.0,,,17239.0,,,70.29%,,Equity,,,,,,2021-06-01
DRSK,Aptus Defined Risk,29.55,29.51 - 29.65,,29.51,29.01 - 31.86,0.45,72405.0,,1.53%,104332.0,,,- 1.47%,,Other,,,,,,2021-06-01
ACIO,Aptus Collared Income Opportunity,29.8,29.67 - 30.2,,30.2,24.67 - 30.3,0.48,53187.0,,1.72%,24384.0,,,20.73%,,Equity,,,,,,2021-06-01
ARKK,ARK Innovation,112.1,110.05 - 113.74,,112.85,60.61 - 159.7,,7483874.0,,,13276120.0,15670000.0,,78.45%,,Equity,ARK Innovation,111.25,-0.76%,7.48M,15:59:59,2021-06-01
ARKW,ARK Web X.0,137.61,136.57 - 140.05,,138.74,75 - 191.13,,1758086.0,,,1621124.0,19350000.0,,83.26%,,Equity,ARK Next Generation Internet,138.05,+0.32%,1.76M,15:59:59,2021-06-01
ARKG,ARK Genomic Revolution Multi-Sector,81.75,79.94 - 82.49,,82.46,42.19 - 115.15,,2991400.0,,,3783010.0,8340000.0,,76.41%,,Equity,ARK Genomic Revolution,81.3,-0.55%,2.99M,15:59:59,2021-06-01
ARKQ,ARK Industrial Innovation,81.4,81.48 - 82.75,,82.0,43.5 - 101.11,,308752.0,,,843504.0,20150000.0,,81.45%,,Equity,ARK Autonomous Technology & Robotics,82.02,+0.76%,308.75K,15:59:59,2021-06-01
ARKF,ARK Fintech Innovation,49.83,50.01 - 51.04,,50.52,28.63 - 64.49,,1320663.0,,,2012306.0,,,75.95%,,Equity,,,,,,2021-06-01
PRNT,The 3D Printing,38.21,38.11 - 38.88,,38.74,20.35 - 50.37,0.02,89108.0,,0.04%,296734.0,14900000.0,,79.39%,,Equity,,,,,,2021-06-01
IZRL,ARK Israeli Innovation Hedged,31.17,30.69 - 31.25,,31.25,23.42 - 38.77,0.48,76337.0,,1.45%,191310.0,,,31.16%,,Equity,,,,,,2021-06-01
ARCM,Arrow Reserve Capital Management,100.06,100.06 - 100.06,,100.06,99.07 - 102.23,0.78,,,0.78%,92.0,,,- 0.27%,,Equity,,,,,,2021-06-01
GYLD,Arrow Dow Jones Global Yield,15.24,15.29 - 15.34,,15.33,10.52 - 15.34,0.88,8589.0,,5.75%,8922.0,100000000.0,,31.93%,,,Arrow Dow Jones Global Yield,15.32,+0.52%,8.59K,15:59:59,2021-06-01
DWCR,Arrow DWA Country Rotation,35.27,35.26 - 35.27,,35.26,24 - 35.31,,,,,3599.0,,,47.39%,,Equity,,,,,,2021-06-01
DOGS,Arrow Dogs of the World,31.96,31.96 - 31.96,,31.96,27.25 - 46.6,,,,,489.0,,,0%,,Equity,,,,,,2021-06-01
QVM,Arrow QVM Equity Factor,21.69,19.55 - 19.55,,21.0,19.2 - 23.6,,,,,2286.0,3580000.0,,- 7.68%,,Equity,,,,,,2021-06-01
DWAT,Arrow Investments DWA Tactical,13.2,13.11 - 13.2,,13.11,9.79 - 13.35,,,,,2255.0,9520000.0,,33.74%,,Equity,,,,,,2021-06-01
AGO_pf,Assured Guaranty Municipal Holdings Inc,25.63,25.58 - 25.73,,25.7,25.1 - 27.28,1.4,10829.0,,5.49%,5759.0,,,- 3.06%,,Other,,,,,,2021-06-01
SBUG,Barclays Bank iPath Silver ETN,38.69,38.59 - 39.7,,39.7,24.82 - 41.33,,642.0,,,332.0,,,48.56%,,Commodity,,,,,,2021-06-01
GBUG,Barclays Bank iPath Gold ETN,31.1,31 - 31.2,,31.2,27.46 - 34.3,,1064.0,,,2206.0,,,7.23%,,Commodity,,,,,,2021-06-01
DJP,iPath Bloomberg Commodity Total Return Exp 12 June,26.77,27.06 - 27.47,,27.25,16.84 - 27.47,,1597260.0,,,210777.0,957480000.0,,56.55%,,Commodity,iPath Bloomberg Commodity Index Total Return(SM),27.17,+1.49%,1.60M,15:59:59,2021-06-01
ATMP,Barclays ETN Plus Select MLP,15.57,15.86 - 16.01,,15.86,8.79 - 16.08,1.24,4104.0,,8.61%,51015.0,497800000.0,,32.96%,,Equity,Barclays ETN Plus Select MLP,15.99,+2.68%,4.10K,15:59:59,2021-06-01
OILNF,iPath S&P GSCI Crude Oil Total Return,106.5,107 - 112.99,,107.0,25.01 - 112.99,,894.0,,,1710.0,,,5446.88%,,Commodity,,,,,,2021-06-01
NIB,iPath Bloomberg Cocoa Subindex Total Return Exp 24,29.7,30 - 30.5,,30.29,24.75 - 34.07,,16226.0,,,22852.0,34830000.0,,3.93%,,Commodity,iPath Bloomberg Cocoa Subindex Total Return(SM),30.15,+1.52%,16.23K,15:59:59,2021-06-01
IMLP,Barclays Bank iPath S&P MLP,12.62,12.84 - 12.89,,12.85,7.09 - 13.1,1.21,835.0,,10.29%,1701.0,164410000.0,,28.37%,,Equity,iPath S&P MLP,12.84,+1.73%,0.84K,15:59:59,2021-06-01
CAPE,Barclays + Shiller CAPE Exp 12 Oct 2022,205.59,204.77 - 205.76,,205.73,137.73 - 206.26,,7284.0,,,6933.0,49190000.0,,48.04%,,Equity,Barclays ETN+ Shiller Capet,205.02,-0.28%,7.28K,15:59:59,2021-06-01
GAZZF,iPath Bloomberg Natural Gas Subindex Total Return,0.001,0.03 - 0.03,,0.03,0.0001 - 0.18,,401.0,,,9560.0,4230000.0,,- 94.12%,,Commodity,,,,,,2021-06-01
VQT,Barclays + S&P VEQTOR Exp 08 Sep 2020,199.01,198.01 - 199.79,,199.5,162.55 - 199.79,,,,,734.0,211190000.0,,13.16%,,Equity,,,,,,2021-06-01
JJGTF,Barclays Bk PLC iPath Bloomberg Grains Subindex To,32.8,33.23 - 33.23,,33.23,16.56 - 36.2,,100.0,,,4021.0,,,81.82%,,Commodity,,,,,,2021-06-01
RODI,Barclays Bank Return on Disability,118.4,119.44 - 119.44,,119.44,75.3 - 136.33,,,,,73.0,31280000.0,,51.78%,,Equity,,,,,,2021-06-01
FLEU,Barclays FI Enhanced Europe 50 B,111.47,118.58 - 118.58,,121.54,60.85 - 131.76,,,,,203.0,54590000.0,,20.98%,,Equity,,,,,,2021-06-01
OLEM,iPath Pure Beta Crude Oil Exp 18 Apr 2041,12.77,12.56 - 12.58,,12.56,11.09 - 12.8,,,,,252.0,28640000.0,,14.86%,,Commodity,,,,,,2021-06-01
XVZ,iPath S&P 500 Dynamic VIX Exp 18 Aug 2021,38.1,37.43 - 38.04,,38.03,34.55 - 44.5,,10146.0,,,3659.0,12190000.0,,1.69%,,Other,iPath S&P 500 Dynamic VIX,37.48,-1.63%,10.15K,15:59:59,2021-06-01
WIL,Barclays Women in Leadership,94.65,94.93 - 94.93,,94.93,64.41 - 95.6,,79.0,,,232.0,32500000.0,,37.56%,,Equity,,,,,,2021-06-01
BCM,iPath Pure Beta Broad Commodity Exp 18 Apr 2041,36.17,36.59 - 36.79,,36.72,23.77 - 36.79,,1707.0,,,2285.0,49910000.0,,49.79%,,Commodity,iPath Pure Beta Broad Commodity,36.59,+1.18%,1.71K,15:59:59,2021-06-01
DLBLF,Barclays Bank iPath US Treasury Long Bond Bull,75.08,75.34 - 75.34,,75.34,0 - 0,,,,,400.0,5350000.0,,0%,,Other,,,,,,2021-06-01
GSP,iPath GSCI Total Return Exp 12 Jun 2036,14.7,14.96 - 15.15,,15.1,8.29 - 15.15,,7126.0,,,11984.0,30520000.0,,81.18%,,Commodity,iPath S&P GSCI Total Return Index,14.99,+1.98%,7.13K,15:59:59,2021-06-01
LD,Barclays Bank iPath Bloomberg Lead Sub Total Retur,45.27,45.38 - 45.46,,45.38,35.71 - 46.84,,129.0,,,201.0,1170000.0,,30.29%,,Commodity,iPath Bloomberg Lead Subindex Total Return(SM),45.46,+0.41%,0.13K,15:59:59,2021-06-01
