,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,149.26,147.28-153.45,61060000000.0,147.88,113.02-233.94,-8.93,9729963.0,89010000000.0,N/A(N/A),8045755.0,-18.88,1.38,-29.45%,593811169.0,26/10/2022,2022-09-15
0,GM,40.62,40.54-42.13,132100000000.0,40.57,30.33-67.21,5.31,14898744.0,59280000000.0,0.36(0.89%),14581269.0,7.33,1.27,-19.94%,1458048958.0,25/10/2022,2022-09-15
0,CVX,163.27,159.58-161.7,206100000000.0,160.68,93.31-182.4,15.06,9636466.0,314440000000.0,5.68(3.48%),9440350.0,10.39,1.15,69.72%,1957434814.0,04/11/2022,2022-09-15
0,C,48.43,48.28-49.24,40490000000.0,48.36,43.44-73.72,7.87,16500156.0,93780000000.0,2.04(4.21%),18746571.0,6.15,1.6,-29.59%,1936709623.0,14/10/2022,2022-09-15
0,BAC,33.87,33.7-34.9,49770000000.0,33.79,29.67-50.11,3.23,44554718.0,277380000000.0,0.88(2.60%),40258045.0,10.44,1.4,-14.98%,8035239025.0,17/10/2022,2022-09-15
0,T,16.77,16.63-16.92,140240000000.0,16.83,16.63-21.53,2.75,38356472.0,119360000000.0,1.11(6.62%),38685160.0,6.39,0.605,-18.75%,7125909948.0,20/10/2022,2022-09-15
0,CAT,184.65,181.68-186.54,54030000000.0,184.67,167.08-237.9,12.59,1924941.0,96340000000.0,4.80(2.60%),2838579.0,14.78,0.999,-8.74%,527909143.0,25/10/2022,2022-09-15
0,INTC,29.18,28.71-29.41,73390000000.0,29.15,28.71-56.28,4.68,39509754.0,118420000000.0,1.46(5.00%),39328252.0,6.81,0.619,-46.48%,4106000000.0,27/10/2022,2022-09-15
0,MSFT,252.22,244.02-251.4,198270000000.0,249.77,241.51-349.67,9.7,31313824.0,1830000000000.0,2.48(0.98%),24385979.0,26.53,0.943,-15.86%,7457891872.0,26/10/2022,2022-09-15
0,AA,44.81,43.01-45.54,13390000000.0,44.57,39.56-98.09,5.22,8433039.0,7760000000.0,0.40(0.89%),5859845.0,9.49,2.33,-6.65%,179925180.0,13/10/2022,2022-09-15
0,F,14.66,14.68-15.21,134590000000.0,14.69,10.61-25.87,2.91,60299948.0,59900000000.0,0.60(4.09%),61603005.0,5.3,1.33,14%,4020237518.0,26/10/2022,2022-09-15
