,Ticker,Open,High,Low,Close,Volume,Change,ChangePercent,Type,MarketCap,SharesFloat,SharesOutstanding,SharesShort,SharesShortRatio,SharesShortPercentOfFloat,SharesInsidersPercent,SharesInstitutionsPercent,Beta,TotalAssets,NAV,Date
0,^GSPC,3485.74,3529.05,3485.74,3510.45,2557809196.0,67.01001,0.019460194,INDEX,,,,,,,,,,,,2020-11-05
1,^DJI,28083.37,28495.05,28083.37,28390.18,391726723.0,542.51953,0.019481692,INDEX,,,,,,,,,,,,2020-11-05
2,^IXIC,11816.3,11924.28,11784.154,11890.927,3467640574.0,300.14648,0.025895279,INDEX,,,,,,,,,,,,2020-11-05
3,^RUT,1616.6533,1664.12,1616.6533,1660.0455,0.0,44.963013,0.02783945,INDEX,,,,,,,,,,,,2020-11-05
4,^RUA,2031.0886,2076.3494,2031.0886,2068.461,0.0,41.9115,0.020681212,INDEX,,,,,,,,,,,,2020-11-05
5,^GSPTSE,16232.7,16318.58,16223.68,16298.17,294457231.0,299.4297,0.018715829,INDEX,,,,,,,,,,,,2020-11-05
6,^FTSE,5883.26,5933.05,5881.87,5906.18,0.0,22.92041,0.0038958692,INDEX,,,,,,,,,,,,2020-11-05
7,^HSI,25500.91,25695.92,25343.44,25695.92,0.0,809.7793,0.032539368,INDEX,,,,,,,,,,,,2020-11-05
8,^SSEC,3332.147,3332.147,3304.1692,3325.0247,583342316.0,-3.078125,-0.00092488877,INDEX,,,,,,,,,,,,2020-11-05
9,^N225,23776.2,24112.42,23756.78,24105.28,0.0,410.04883,0.01730512,INDEX,,,,,,,,,,,,2020-11-05
10,^STI,2502.18,2588.62,2541.76,2588.62,0.0,72.64014,0.028871508,INDEX,,,,,,,,,,,,2020-11-05
11,^MXX,37621.78,38426.33,37503.48,38399.07,175333062.0,923.3086,0.024637487,INDEX,,,,,,,,,,,,2020-11-05
12,^GDAXI,12420.88,12591.3,12398.59,12568.09,0.0,243.87012,0.019787874,INDEX,,,,,,,,,,,,2020-11-05
13,^SPEUP,1441.58,1459.97,1441.58,1457.24,0.0,14.119995,0.009784353,INDEX,,,,,,,,,,,,2020-11-05
14,^STOXX50E,3167.78,3222.51,3167.78,3215.56,0.0,54.48999,0.01723783,INDEX,,,,,,,,,,,,2020-11-05
15,^STOXX,364.0,367.96,364.0,367.12,0.0,3.8099976,0.010486905,INDEX,,,,,,,,,,,,2020-11-05
16,^FVX,0.328,0.345,0.31800002,0.33499998,,0.011999965,0.037151594,INDEX,,,,,,,,,,,,2020-11-05
17,^TNX,0.763,0.79,0.748,0.776,0.0,0.008000016,0.0104166875,INDEX,,,,,,,,,,,,2020-11-05
18,^TYX,1.529,1.567,1.5090001,1.5439999,,-0.0020000935,-0.0012937215,INDEX,,,,,,,,,,,,2020-11-05
19,^VIX,27.56,28.14,26.04,27.58,0.0,-1.9899998,-0.06729793,INDEX,,,,,,,,,,,,2020-11-05
20,^VVIX,119.19,119.93,116.87,117.68,0.0,-4.4400024,-0.0363577,INDEX,,,,,,,,,,,,2020-11-05
21,^GVZ,20.49,22.33,20.23,22.0,0.0,1.5100002,0.0736945,INDEX,,,,,,,,,,,,2020-11-05
22,^OVX,54.53,54.53,52.22,53.69,0.0,-0.84000015,-0.015404368,INDEX,,,,,,,,,,,,2020-11-05
23,ES=F,3508.75,3509.5,3503.0,3504.25,5692.0,-0.5,-0.00014266353,FUTURE,,,,,,,,,,,,2020-11-05
24,CL=F,38.54,38.61,38.52,38.56,525.0,-0.22999954,-0.0059293513,FUTURE,,,,,,,,,,,,2020-11-05
25,BZ=F,40.77,40.78,40.72,40.73,12.0,-0.20000076,-0.00488641,FUTURE,,,,,,,,,,,,2020-11-05
26,GC=F,1950.0,1950.2,1946.5,1948.1,875.0,1.2999268,0.0006677248,FUTURE,,,,,,,,,,,,2020-11-05
27,SI=F,25.45,25.495,25.27,25.32,831.0,0.12899971,0.005120865,FUTURE,,,,,,,,,,,,2020-11-05
28,PA=F,2315.0,2440.3,2314.3,2384.1,605.0,-8.5998535,-0.0035942048,FUTURE,,,,,,,,,,,,2020-11-05
29,HG=F,3.115,3.1155,3.1095,3.11,171.0,0.0,0.0,FUTURE,,,,,,,,,,,,2020-11-05
30,ZW=F,606.5,626.25,606.0,609.75,94040.0,0.5,0.00082068116,FUTURE,,,,,,,,,,,,2020-11-05
31,ZC=F,405.0,417.25,404.0,408.25,224154.0,-1.0,-0.0024434943,FUTURE,,,,,,,,,,,,2020-11-05
32,ZS=F,1086.0,1112.75,1083.5,1103.75,152464.0,0.0,0.0,FUTURE,,,,,,,,,,,,2020-11-05
33,CAD=X,1.30579,1.30743,1.30523,1.30732,0.0,-0.005660057,-0.0043108477,CURRENCY,,,,,,,,,,,,2020-11-05
34,CNY=X,6.6379,6.662,6.6023,6.6071,0.0,-0.043900013,-0.0066005127,CURRENCY,,,,,,,,,,,,2020-11-05
35,EUR=X,0.8456,0.8457,0.8454,0.8455,0.0,-0.0073000193,-0.00856006,CURRENCY,,,,,,,,,,,,2020-11-05
36,JPY=X,103.603,103.709,103.53,103.681,0.0,-0.7689972,-0.007362348,CURRENCY,,,,,,,,,,,,2020-11-05
37,HKD=X,7.752,7.75338,7.75164,7.75337,0.0,-0.0012803078,-0.00016510194,CURRENCY,,,,,,,,,,,,2020-11-05
38,BTC-USD,14266.85,15657.74,14102.089,15642.484,40153059328.0,1375.6348,0.09642176,CRYPTOCURRENCY,289932476416.0,,,,,,,,,,,2020-11-05
39,A,110.57,111.93,109.67,110.34,1107434.0,1.8499985,0.01705225,EQUITY,34018926592.0,307245967.0,308310016.0,2922790.0,2.8,0.0095,0.0036300002,0.90384,1.032694,,,2020-11-05
40,AA,13.31,14.3,13.31,14.05,5641049.0,0.8600006,0.065200955,EQUITY,2612316416.0,185198883.0,185930000.0,11134193.0,1.79,0.067,0.00588,0.74442,2.268046,,,2020-11-05
41,AACQ,9.735,9.78,9.71,9.78,33431.0,0.059999466,0.0061727846,EQUITY,885701184.0,,72450000.0,13030.0,0.04,,,,,,,2020-11-05
42,AAL,11.12,11.67,11.09,11.6,54398161.0,0.59500027,0.054066356,EQUITY,5900131328.0,502385779.0,508632000.0,157947670.0,2.76,0.4511,0.011109999,0.56568,1.702367,,,2020-11-05
43,AAN,56.22,57.9,56.22,57.34,330015.0,1.7099991,0.030738793,EQUITY,3849841920.0,67140559.0,67140600.0,1936355.0,3.58,0.0376,0.0111,0.99833,1.664644,,,2020-11-05
44,AAOI,9.17,10.2,9.015,10.02,936933.0,0.95000076,0.10474099,EQUITY,228195488.0,20965483.0,22774000.0,4409536.0,10.12,0.2673,0.05392,0.52605,2.063697,,,2020-11-05
45,AAON,61.0,62.32,59.23,61.68,201540.0,2.0200005,0.033858538,EQUITY,3223501568.0,40764107.0,52261700.0,3973991.0,20.44,0.1141,0.21841998,0.71961,0.658399,,,2020-11-05
46,AAP,157.78,158.84,155.28,156.43,524181.0,0.8999939,0.0057866257,EQUITY,10815381504.0,64607486.0,69138800.0,2375290.0,3.32,0.0402,0.00365,1.02194,1.394588,,,2020-11-05
47,AAPL,117.95,119.62,116.87,119.03,122086566.0,4.080002,0.03549371,EQUITY,2023724154880.0,16984460162.0,17102499840.0,83252522.0,0.53,0.0049,0.00075999997,0.62243,1.314396,,,2020-11-05
48,AAT,22.0,22.05,21.42,21.77,569202.0,0.29000092,0.0135009745,EQUITY,1312358784.0,52711996.0,60282900.0,776525.0,2.54,0.0228,0.011419999,0.97055,0.979143,,,2020-11-05
49,AAU,1.04,1.19,1.0,1.19,1222674.0,0.18000007,0.17821789,EQUITY,141573120.0,111880172.0,120356000.0,583402.0,0.72,0.0050999997,0.04715,0.12603,1.547533,,,2020-11-05
50,AAWW,63.05,65.08,62.14,62.5,762232.0,0.36999893,0.005955238,EQUITY,1633500032.0,24241173.0,26136000.0,2839848.0,5.86,0.1504,0.01808,1.06381,1.547914,,,2020-11-05
51,AAXN,106.07,110.33,105.71,108.5,566053.0,3.449997,0.032841474,EQUITY,6887102464.0,62512654.0,63475600.0,5207889.0,9.78,0.0953,0.01466,0.85373,0.501691,,,2020-11-05
52,AB,30.5,31.2,30.46,30.85,679374.0,0.59000015,0.01949769,EQUITY,2966986496.0,93215277.0,96174600.0,510184.0,0.98,0.0054,0.06368,0.21111,1.587373,,,2020-11-05
53,ABB,26.19,26.4,26.17,26.32,1697899.0,0.62999916,0.024523128,EQUITY,55295950848.0,1724441192.0,2091830016.0,3863166.0,2.47,,1.0000001e-05,0.04264,1.202531,,,2020-11-05
54,ABBV,95.36,95.52,93.0,93.69,7782730.0,-0.80999756,-0.008571403,EQUITY,165406883840.0,1762984605.0,1765469952.0,10636564.0,1.54,0.006,0.0010800001,0.70783997,0.68602,,,2020-11-05
55,ABC,106.1,109.62,104.005,105.42,1273352.0,0.4300003,0.004095631,EQUITY,21520650240.0,146871856.0,204142000.0,2925117.0,3.45,0.0199,0.28017,0.67875,0.549605,,,2020-11-05
56,ABCB,28.71,30.5,28.71,30.0,639600.0,1.2900009,0.044932112,EQUITY,2084714880.0,65527386.0,69490496.0,1568257.0,3.61,0.027999999,0.05432,0.85681,1.434047,,,2020-11-05
