Ticker,Date,Net Flows*
XNTK,2015-05-20,0.0
XLY,2015-05-20,-30.75
IVV,2015-05-20,32.17
EWU,2015-05-20,31.31
IWR,2015-05-20,0.0
IYJ,2015-05-20,0.0
ILF,2015-05-20,0.0
IJK,2015-05-20,0.0
IXG,2015-05-20,0.0
SPY,2015-05-20,1022.55
XLF,2015-05-20,162.51
IOO,2015-05-20,0.0
IJJ,2015-05-20,0.0
EWA,2015-05-20,0.0
IGV,2015-05-20,0.0
IVW,2015-05-20,0.0
IVE,2015-05-20,4.78
IYC,2015-05-20,0.0
XLK,2015-05-20,0.0
IGN,2015-05-20,0.0
IUSV,2015-05-20,0.0
IGM,2015-05-20,0.0
EWT,2015-05-20,0.0
IWO,2015-05-20,38.25
XLP,2015-05-20,39.58
IGE,2015-05-20,9.71
EWI,2015-05-20,0.0
IJR,2015-05-20,41.46
IDU,2015-05-20,-11.19
ICF,2015-05-20,0.0
IUSG,2015-05-20,8.33
XLB,2015-05-20,0.0
EZU,2015-05-20,0.0
IBB,2015-05-20,-36.05
EWZ,2015-05-20,0.0
IEV,2015-05-20,0.0
IEF,2015-05-20,-10.57
EPP,2015-05-20,0.0
DGT,2015-05-20,0.0
IWD,2015-05-20,0.0
SLYV,2015-05-20,0.0
EWG,2015-05-20,0.0
EWY,2015-05-20,0.0
IWN,2015-05-20,0.0
DIA,2015-05-20,0.0
EWC,2015-05-20,0.0
IYR,2015-05-20,-15.31
IJS,2015-05-20,0.0
XLV,2015-05-20,7.5
IWS,2015-05-20,7.61
IJH,2015-05-20,15.39
EWW,2015-05-20,0.0
EWM,2015-05-20,0.0
EWL,2015-05-20,0.0
IYG,2015-05-20,0.0
EWQ,2015-05-20,0.0
SPTM,2015-05-20,0.0
RWR,2015-05-20,0.0
EWJ,2015-05-20,31.61
EWO,2015-05-20,0.0
IWB,2015-05-20,0.0
EFA,2015-05-20,0.0
EWN,2015-05-20,5.4
EWP,2015-05-20,0.0
EWS,2015-05-20,0.0
IWV,2015-05-20,0.0
SHY,2015-05-20,-16.96
EWD,2015-05-20,0.0
IJT,2015-05-20,0.0
IWF,2015-05-20,381.6
OEF,2015-05-20,23.47
SLYG,2015-05-20,0.0
VTI,2015-05-20,132.94
XLI,2015-05-20,108.42
IWM,2015-05-20,-199.74
LQD,2015-05-20,35.3
IWP,2015-05-20,0.0
VXF,2015-05-20,18.71
IXC,2015-05-20,0.0
IXJ,2015-05-20,5.57
EWH,2015-05-20,0.0
IXN,2015-05-20,0.0
IXP,2015-05-20,0.0
QQQ,2015-05-20,-126.39
IYE,2015-05-20,-8.99
MDY,2015-05-20,0.0
EWK,2015-05-20,0.0
IYF,2015-05-20,-9.19
IYK,2015-05-20,0.0
IYM,2015-05-20,0.0
IYW,2015-05-20,0.0
IYY,2015-05-20,0.0
XLE,2015-05-20,-95.5
IYZ,2015-05-20,-4.49
SPYG,2015-05-20,0.0
SOXX,2015-05-20,0.0
IYH,2015-05-20,7.95
SPYV,2015-05-20,0.0
XLU,2015-05-20,-31.21
XSVM,2015-05-20,0.0
XSD,2015-05-20,0.0
XMVM,2015-05-20,0.0
PKB,2015-05-20,0.0
JKG,2015-05-20,0.0
FVD,2015-05-20,0.0
FXI,2015-05-20,105.53
PHO,2015-05-20,0.0
XLG,2015-05-20,0.0
PID,2015-05-20,0.0
PEY,2015-05-20,0.0
PBS,2015-05-20,0.0
IYT,2015-05-20,-7.78
MDYV,2015-05-20,0.0
RSP,2015-05-20,78.66
KBE,2015-05-20,14.15
XBI,2015-05-20,-11.55
MDYG,2015-05-20,0.0
JKI,2015-05-20,0.0
JKH,2015-05-20,0.0
EFG,2015-05-20,59.09
PEJ,2015-05-20,0.0
PPA,2015-05-20,0.0
EFV,2015-05-20,0.0
PJP,2015-05-20,0.0
PBE,2015-05-20,0.0
ADRE,2015-05-20,0.0
PXJ,2015-05-20,0.89
KCE,2015-05-20,0.0
VBK,2015-05-20,13.6
DBC,2015-05-20,0.0
DVY,2015-05-20,-7.9
FXE,2015-05-20,0.0
PFM,2015-05-20,0.0
ONEQ,2015-05-20,0.0
XSMO,2015-05-20,0.0
EZA,2015-05-20,0.0
VGK,2015-05-20,-0.0
GLD,2015-05-20,-116.46
IAU,2015-05-20,0.0
PBJ,2015-05-20,0.0
VOX,2015-05-20,0.0
VTV,2015-05-20,34.61
ITOT,2015-05-20,0.0
FEZ,2015-05-20,50.54
SPMD,2015-05-20,0.0
IWC,2015-05-20,0.0
PXE,2015-05-20,0.0
JKJ,2015-05-20,0.0
FDM,2015-05-20,0.0
JKD,2015-05-20,-6.28
SUSA,2015-05-20,0.0
PRF,2015-05-20,0.0
JKK,2015-05-20,0.0
PSI,2015-05-20,1.38
SPHQ,2015-05-20,0.0
AGG,2015-05-20,65.71
VHT,2015-05-20,0.0
PSJ,2015-05-20,0.0
PWB,2015-05-20,-6.24
PUI,2015-05-20,0.0
PWV,2015-05-20,3.19
TIP,2015-05-20,0.0
PXQ,2015-05-20,0.0
RFG,2015-05-20,0.0
RFV,2015-05-20,0.0
RPG,2015-05-20,0.0
JKL,2015-05-20,0.0
SDY,2015-05-20,-27.83
XHB,2015-05-20,56.59
SLY,2015-05-20,0.0
TLT,2015-05-20,95.37
VFH,2015-05-20,12.67
SPLG,2015-05-20,0.0
VAW,2015-05-20,0.0
VB,2015-05-20,-0.0
VBR,2015-05-20,0.01
PBW,2015-05-20,-0.57
JKF,2015-05-20,0.0
RZG,2015-05-20,0.0
VNQ,2015-05-20,-24.2
XMMO,2015-05-20,0.0
VCR,2015-05-20,3.11
PWC,2015-05-20,0.0
EEM,2015-05-20,0.0
VDC,2015-05-20,-3.22
VDE,2015-05-20,8.45
JKE,2015-05-20,0.0
VV,2015-05-20,0.0
VGT,2015-05-20,19.36
VIS,2015-05-20,8.21
VO,2015-05-20,-0.0
VPL,2015-05-20,0.0
VPU,2015-05-20,0.0
KIE,2015-05-20,0.0
VUG,2015-05-20,99.03
PGJ,2015-05-20,0.0
FVL,2015-05-20,0.0
SPEU,2015-05-20,0.0
VWO,2015-05-20,0.03
XME,2015-05-20,-15.35
IEO,2015-05-20,-3.73
IAK,2015-05-20,0.0
GSP,2015-05-20,0.0
KRE,2015-05-20,102.75
