Ticker,Date,Net Flows*
XNTK,2017-11-20,2.13
XLY,2017-11-20,-9.36
IVV,2017-11-20,155.81
EWU,2017-11-20,0.0
IWR,2017-11-20,20.21
IYJ,2017-11-20,0.0
ILF,2017-11-20,0.0
IJK,2017-11-20,-84.25
IXG,2017-11-20,0.0
SPY,2017-11-20,-812.46
XLF,2017-11-20,-60.15
IOO,2017-11-20,0.0
IJJ,2017-11-20,-61.78
EWA,2017-11-20,0.0
IGV,2017-11-20,0.0
IVW,2017-11-20,-14.91
IVE,2017-11-20,-10.9
IYC,2017-11-20,0.0
XLK,2017-11-20,-161.59
IGN,2017-11-20,2.37
IUSV,2017-11-20,0.0
IGM,2017-11-20,0.0
EWT,2017-11-20,0.0
IWO,2017-11-20,18.09
XLP,2017-11-20,10.95
IGE,2017-11-20,0.0
EWI,2017-11-20,0.0
IJR,2017-11-20,26.12
IDU,2017-11-20,0.0
ICF,2017-11-20,-82.47
IUSG,2017-11-20,10.49
XLB,2017-11-20,-43.72
EZU,2017-11-20,0.0
IBB,2017-11-20,0.0
EWZ,2017-11-20,31.71
IEV,2017-11-20,0.0
IEF,2017-11-20,0.0
EPP,2017-11-20,0.0
DGT,2017-11-20,0.0
IWD,2017-11-20,0.0
SLYV,2017-11-20,0.0
EWG,2017-11-20,0.0
EWY,2017-11-20,0.0
IWN,2017-11-20,0.0
DIA,2017-11-20,-93.36
EWC,2017-11-20,0.0
IYR,2017-11-20,-4.11
IJS,2017-11-20,0.0
XLV,2017-11-20,-69.06
IWS,2017-11-20,17.24
IJH,2017-11-20,174.6
EWW,2017-11-20,15.03
EWM,2017-11-20,0.0
EWL,2017-11-20,0.0
IYG,2017-11-20,0.0
EWQ,2017-11-20,0.0
SPTM,2017-11-20,1.6
RWR,2017-11-20,0.0
EWJ,2017-11-20,-150.3
EWO,2017-11-20,0.0
IWB,2017-11-20,0.0
EFA,2017-11-20,0.0
EWN,2017-11-20,0.0
EWP,2017-11-20,0.0
EWS,2017-11-20,0.0
IWV,2017-11-20,0.0
SHY,2017-11-20,-8.41
EWD,2017-11-20,0.0
IJT,2017-11-20,-8.3
IWF,2017-11-20,0.0
OEF,2017-11-20,0.0
SLYG,2017-11-20,0.0
VTI,2017-11-20,199.69
XLI,2017-11-20,-38.78
IWM,2017-11-20,-437.93
LQD,2017-11-20,120.36
IWP,2017-11-20,-5.88
VXF,2017-11-20,-0.0
IXC,2017-11-20,0.0
IXJ,2017-11-20,-11.07
EWH,2017-11-20,0.0
IXN,2017-11-20,-7.75
IXP,2017-11-20,0.0
QQQ,2017-11-20,-554.21
IYE,2017-11-20,-7.38
MDY,2017-11-20,-134.02
EWK,2017-11-20,0.0
IYF,2017-11-20,0.0
IYK,2017-11-20,0.0
IYM,2017-11-20,0.0
IYW,2017-11-20,0.0
IYY,2017-11-20,0.0
XLE,2017-11-20,0.0
IYZ,2017-11-20,4.26
SPYG,2017-11-20,4.83
SOXX,2017-11-20,-8.85
IYH,2017-11-20,0.0
SPYV,2017-11-20,1.47
XLU,2017-11-20,-11.16
XSVM,2017-11-20,0.0
XSD,2017-11-20,0.0
XMVM,2017-11-20,0.0
PKB,2017-11-20,0.0
JKG,2017-11-20,0.0
FVD,2017-11-20,0.0
FXI,2017-11-20,0.0
PHO,2017-11-20,0.0
XLG,2017-11-20,0.0
PID,2017-11-20,0.0
PEY,2017-11-20,0.0
PBS,2017-11-20,0.0
IYT,2017-11-20,0.0
MDYV,2017-11-20,5.01
RSP,2017-11-20,9.75
KBE,2017-11-20,0.0
XBI,2017-11-20,-48.91
MDYG,2017-11-20,0.0
JKI,2017-11-20,0.0
JKH,2017-11-20,0.0
EFG,2017-11-20,0.0
PEJ,2017-11-20,0.0
PPA,2017-11-20,0.0
EFV,2017-11-20,0.0
PJP,2017-11-20,-3.11
PBE,2017-11-20,0.0
ADRE,2017-11-20,0.0
PXJ,2017-11-20,0.0
KCE,2017-11-20,0.0
VBK,2017-11-20,0.0
DBC,2017-11-20,0.0
DVY,2017-11-20,0.0
FXE,2017-11-20,0.0
PFM,2017-11-20,0.0
ONEQ,2017-11-20,0.0
XSMO,2017-11-20,0.0
EZA,2017-11-20,0.0
VGK,2017-11-20,0.0
GLD,2017-11-20,0.0
IAU,2017-11-20,0.0
PBJ,2017-11-20,-1.61
VOX,2017-11-20,2.16
VTV,2017-11-20,-141.96
ITOT,2017-11-20,0.0
FEZ,2017-11-20,0.0
SPMD,2017-11-20,3.26
IWC,2017-11-20,0.0
PXE,2017-11-20,0.0
JKJ,2017-11-20,0.0
FDM,2017-11-20,0.0
JKD,2017-11-20,0.0
SUSA,2017-11-20,0.0
PRF,2017-11-20,0.0
JKK,2017-11-20,0.0
PSI,2017-11-20,0.0
SPHQ,2017-11-20,0.0
AGG,2017-11-20,54.6
VHT,2017-11-20,-0.0
PSJ,2017-11-20,0.0
PWB,2017-11-20,0.0
