,Name,Allocation
0,Illinois Fin Auth Rev 5.0% 15-FEB-2025,5.48%
1,New York N Y City Transitional Fin Auth Rev 5.0% 01-AUG-2031,3.51%
2,Washington St 5.0% 01-AUG-2025,3.00%
3,Connecticut St 5.0% 15-MAR-2028,2.42%
4,North Carolina Cap Facs Fin Agy Rev 5.0% 01-OCT-2055,2.41%
5,Delaware St 5.0% 01-JAN-2025,2.35%
6,Charleston S C Wtrwks & Swr Rev 5.0% 01-JAN-2040,2.35%
7,Connecticut St 5.0% 15-MAR-2027,2.31%
8,New York N Y City Transitional Fin Auth Rev 5.0% 01-NOV-2032,2.11%
9,California Statewide Cmntys Dev Auth Rev 5.0% 01-FEB-2045,1.84%
10,Honolulu Hawaii City & Cnty 5.0% 01-OCT-2027,1.78%
11,Atlanta Ga Wtr & Wastewtr Rev 5.0% 01-NOV-2040,1.72%
12,Louisiana St Gas & Fuels Tax Rev 5.0% 01-MAY-2041,1.70%
13,Utah Tran Auth Sales Tax Rev 5.0% 15-JUN-2037,1.67%
14,Pennsylvania St 5.0% 15-SEP-2025,1.43%
15,Nevada St 5.0% 01-NOV-2025,1.36%
16,New York N Y 5.0% 01-AUG-2025,1.30%
17,New York St Twy Auth Gen Rev 5.0% 01-JAN-2025,1.26%
18,New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-FEB-2025,1.23%
19,Los Angeles Calif Mun Impt Corp Lease Rev 5.0% 01-NOV-2025,1.21%
20,Metropolitan Wtr Dist Southn Calif Wtrwrks Rev 5.0% 01-JUL-2025,1.20%
21,Texas St 5.0% 01-OCT-2028,1.20%
22,New York N Y City Transitional Fin Auth Rev 5.0% 01-NOV-2025,1.20%
23,Sa Energy Acquisition Pub Fac Corp Tex Gas Supply Rev 5.5% 01-AUG-2025,1.19%
24,California St 5.0% 01-AUG-2027,1.19%
25,San Francisco Calif Bay Area Rapid Tran Dist Sales Tax Rev 5.0% 01-JUL-2025,1.19%
26,California St 5.0% 01-AUG-2029,1.19%
27,San Jose Calif Redev Agy Successor Agy Tax Allocation 5.0% 01-AUG-2025,1.19%
28,North Carolina St Ltd Oblig 5.0% 01-MAY-2025,1.18%
29,East Baton Rouge La Sew Commn Rev 5.0% 01-FEB-2039,1.18%
30,Texas Water Dev Brd 5.0% 15-OCT-2045,1.17%
31,New York St Dorm Auth Revs Non St Supported Debt 5.0% 01-OCT-2025,1.17%
32,Palm Beach Cnty Fla Solid Waste Auth Rev 5.0% 01-OCT-2028,1.17%
33,California St 5.0% 01-MAR-2027,1.17%
34,California St 5.0% 01-AUG-2031,1.16%
35,North Tex Twy Auth Rev 5.0% 01-JAN-2032,1.14%
36,Gainesville & Hall Cnty Ga Hosp Auth Rev Antic Ctfs 5.5% 15-AUG-2054,1.14%
37,Gainesville & Hall Cnty Ga Hosp Auth Rev Antic Ctfs 5.25% 15-AUG-2049,1.13%
38,New Jersey Economic Dev Auth Rev 5.0% 15-JUN-2025,1.13%
39,Matanuska-Susitna Boro Alaska Lease Rev 5.0% 01-SEP-2032,1.13%
40,Pennsylvania St Higher Edl Facs Auth Rev 5.0% 15-AUG-2040,1.13%
41,Bowling Green St Univ Ohio Gen Rcpts 5.0% 01-JUN-2042,1.12%
42,Pennsylvania St 5.0% 15-MAR-2025,1.11%
43,Pennsylvania St Higher Edl Facs Auth Rev 5.0% 01-SEP-2039,1.11%
44,Michigan Fin Auth Rev 5.0% 01-NOV-2044,1.11%
45,Maryland St Health & Higher Edl Facs Auth Rev 5.0% 01-JUL-2040,1.10%
46,New Jersey St Transn Tr Fd Auth 5.0% 15-JUN-2025,1.09%
47,New York N Y City Mun Wtr Fin Auth Wtr & Swr Sysrev 5.0% 15-JUN-2029,1.06%
48,Jacksonville Fla Trans Rev 3.25% 01-OCT-2032,1.05%
49,New York Convention Ctr Dev Corp N Y Rev 5.0% 15-NOV-2033,1.03%
50,Massachusetts St 3.0% 01-APR-2044,1.02%
51,Virginia St Pub Sch Auth 4.0% 01-AUG-2025,1.00%
52,New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-MAR-2032,0.97%
53,Massachusetts St 4.5% 01-JUL-2034,0.96%
54,Central Puget Sound Wash Regl Tran Auth Sales &Use Tax Rev 5.0% 01-NOV-2029,0.89%
55,U.S. Dollar,0.89%
56,Utility Debt Securitization Auth N Y 5.0% 15-DEC-2036,0.88%
57,Energy Northwest Wash Elec Rev 5.0% 01-JUL-2032,0.87%
58,Port Auth N Y & N J 5.0% 01-MAY-2027,0.87%
59,Harris Cnty Tex 5.0% 01-OCT-2027,0.84%
60,Broward Cnty Fla Sch Brd Ctfs Partn 5.0% 01-JUL-2030,0.81%
61,New Jersey St Tpk Auth Tpk Rev 5.0% 01-JAN-2025,0.80%
62,Port Auth N Y & N J 5.0% 01-MAY-2030,0.80%
63,San Francisco Calif Bay Area Rapid Tran Dist 5.0% 01-AUG-2029,0.78%
64,Los Angeles Calif Dept Wtr & Pwr Rev 5.0% 01-JUL-2028,0.76%
65,Phoenix Ariz Civic Impt Corp Arpt Rev 5.0% 01-JUL-2025,0.75%
66,San Francisco Calif City & Cnty Ctfs Partn 3.0% 01-APR-2031,0.69%
67,Michigan Fin Auth Rev 5.0% 01-JUL-2025,0.68%
68,Utah Tran Auth Sales Tax Rev 5.0% 15-JUN-2037,0.68%
69,California St 5.0% 01-SEP-2025,0.60%
70,New York N Y City Transitional Fin Auth Rev 5.0% 01-NOV-2025,0.60%
71,Massachusetts St 5.0% 01-JUL-2025,0.60%
72,Wisconsin St 5.0% 01-MAY-2027,0.59%
73,Florida St Brd Ed Lottery Rev 5.0% 01-JUL-2025,0.54%
74,Los Angeles Calif Dept Wtr & Pwr Rev 5.0% 01-JUL-2029,0.52%
75,Los Angeles Calif Uni Sch Dist 5.0% 01-JUL-2025,0.48%
76,New York St Dorm Auth St Pers Income Tax Rev 5.0% 15-FEB-2027,0.47%
77,King Cnty Wash Swr Rev 5.0% 01-JUL-2036,0.46%
78,Washington St Health Care Facs Auth Rev 5.0% 01-MAR-2038,0.44%
79,Central Puget Sound Wash Regl Tran Auth Sales &Use Tax Rev 5.0% 01-NOV-2030,0.36%
80,Columbus Ohio Swr Rev 5.0% 01-JUN-2025,0.29%
81,Arizona Brd Regents Ariz St Univ Sys Rev 5.0% 01-JUL-2041,0.28%
82,Sedgwick Cnty Kans Uni Sch Dist No 259 Wichita 4.0% 01-OCT-2025,0.23%
83,University Vt & St Agric College 5.0% 01-OCT-2045,0.22%
84,Ventura Cnty Calif Cmnty College Dist 3.125% 01-AUG-2031,0.21%
85,Washington St 5.0% 01-JUL-2026,0.18%
86,Texas St Univ Sys Fing Rev 5.0% 15-MAR-2025,0.12%
87,Missouri St Health & Edl Facs Auth Health Facs Rev 4.0% 01-JAN-2045,0.10%
