,Name,Allocation
0,"Moderna, Inc.",5.02%
1,"Teladoc Health, Inc.",3.08%
2,"Seattle Genetics, Inc.",2.95%
3,"Alnylam Pharmaceuticals, Inc",2.70%
4,"Sarepta Therapeutics, Inc.",2.56%
5,Exact Sciences Corporation,2.49%
6,"Guardant Health, Inc.",2.04%
7,BioMarin Pharmaceutical Inc.,1.97%
8,NovoCure Ltd.,1.84%
9,"Immunomedics, Inc.",1.81%
10,"Ionis Pharmaceuticals, Inc.",1.69%
11,"Tandem Diabetes Care, Inc.",1.51%
12,"Momenta Pharmaceuticals, Inc.",1.36%
13,ACADIA Pharmaceuticals Inc.,1.34%
14,Mirati Therapeutics Inc.,1.33%
15,"iRhythm Technologies, Inc.",1.31%
16,CRISPR Therapeutics AG,1.22%
17,Adaptive Biotechnologies Corp.,1.16%
18,Acceleron Pharma Inc,1.15%
19,"Natera, Inc.",1.14%
20,"Ultragenyx Pharmaceutical, Inc.",1.11%
21,"MyoKardia, Inc.",1.09%
22,"Novavax, Inc.",1.09%
23,"Vir Biotechnology, Inc.",1.03%
24,Nevro Corp.,0.99%
25,"Allakos, Inc.",0.98%
26,"Allogene Therapeutics, Inc.",0.97%
27,"Halozyme Therapeutics, Inc.",0.93%
28,"Arrowhead Pharmaceuticals, Inc.",0.92%
29,HealthEquity Inc,0.91%
30,Global Blood Therapeutics Inc,0.86%
31,Iovance Biotherapeutics Inc,0.84%
32,"Amicus Therapeutics, Inc.",0.84%
33,"FibroGen, Inc.",0.84%
34,Blueprint Medicines Corp.,0.83%
35,"BridgeBio Pharma, Inc.",0.83%
36,"Arena Pharmaceuticals, Inc.",0.79%
37,Nektar Therapeutics,0.77%
38,"Principia Biopharma, Inc.",0.77%
39,Invitae Corp.,0.74%
40,Biohaven Pharmaceutical Holding Company Ltd.,0.73%
41,"bluebird bio, Inc.",0.72%
42,"Chemocentryx, Inc.",0.70%
43,Denali Therapeutics Inc.,0.69%
44,"PTC Therapeutics, Inc.",0.68%
45,Tenet Healthcare Corporation,0.67%
46,"Reata Pharmaceuticals, Inc. Class A",0.66%
47,"Inspire Medical Systems, Inc.",0.64%
48,"Merit Medical Systems, Inc.",0.63%
