,Name,Allocation
0,Alibaba Group Holding Ltd. Sponsored ADR,9.51%
1,Tencent Holdings Ltd.,9.44%
2,Meituan Dianping Class B,6.13%
3,"Kweichow Moutai Co., Ltd. Class A",5.37%
4,"JD.com, Inc. Sponsored ADR Class A",4.28%
5,China Construction Bank Corporation Class H,3.92%
6,"Ping An Insurance (Group) Company of China, Ltd. Class H",3.70%
7,"NetEase, Inc. Sponsored ADR",2.97%
8,China Mobile Limited,2.73%
9,"Wuliangye Yibin Co., Ltd. Class A",2.50%
10,"Baidu, Inc. Sponsored ADR Class A",2.34%
11,Industrial and Commercial Bank of China Limited Class H,2.28%
12,TAL Education Group Sponsored ADR Class A,2.24%
13,Bank of China Limited Class H,1.83%
14,Xiaomi Corp. Class B,1.83%
15,"New Oriental Education & Technology Group, Inc. Sponsored ADR",1.76%
16,"Yum China Holdings, Inc.",1.70%
17,"Foshan Haitian Flavouring & Food Co., Ltd. Class A",1.55%
18,"China Merchants Bank Co., Ltd. Class H",1.54%
19,CNOOC Limited,1.45%
20,China Life Insurance Co. Ltd. Class H,1.44%
21,"Jiangsu Hengrui Medicine Co., Ltd. Class A",1.44%
22,Wuxi Biologics (Cayman) Inc.,1.37%
23,"Contemporary Amperex Technology Co., Ltd. Class A",1.36%
24,"China Mengniu Dairy Co., Ltd.",1.32%
25,"Pinduoduo, Inc. Sponsored ADR Class A",1.27%
26,China Resources Land Limited,1.26%
27,Shenzhou International Group Holdings Limited,1.25%
28,Luxshare Precision Industry Co. Ltd. Class A,1.19%
29,"China Yangtze Power Co., Ltd. Class A",1.15%
30,Sunac China Holdings Ltd.,1.06%
31,Trip.com Group Ltd. Sponsored ADR,1.03%
32,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. Class A",1.03%
33,"Hangzhou Hikvision Digital Technology Co., Ltd Class A",1.01%
34,China Overseas Land & Investment Limited,1.01%
35,"Sunny Optical Technology (Group) Co., Ltd.",0.98%
36,CITIC Securities Co. Ltd. Class A,0.96%
37,"Industrial Bank Co., Ltd. Class A",0.92%
38,"Shanghai Pudong Development Bank Co., Ltd. Class A",0.88%
39,China Petroleum & Chemical Corporation Class H,0.88%
40,Sino Biopharmaceutical Limited,0.88%
41,"Muyuan Foods Co., Ltd. Class A",0.87%
42,CSPC Pharmaceutical Group Limited,0.86%
43,ANTA Sports Products Ltd.,0.84%
44,Ping An Bank Co. Ltd. Class A,0.83%
45,Agricultural Bank of China Limited Class H,0.80%
46,"China Vanke Co., Ltd Class A",0.78%
47,ZTO Express (Cayman) Inc. Sponsored ADR Class A,0.70%
48,Country Garden Holdings Co. Ltd.,0.69%
49,Anhui Conch Cement Company Limited Class A,0.65%
50,U.S. Dollar,0.17%
