,Name,Allocation
0,China National Building Material Co. Ltd. Class H,8.41%
1,"Zijin Mining Group Co., Ltd. Class H",7.65%
2,China Resources Cement Holdings Limited,7.27%
3,Anhui Conch Cement Company Limited Class H,7.05%
4,Nine Dragons Paper Holdings Ltd.,3.77%
5,Wanhua Chemical Group Co. Ltd. Class A,3.65%
6,"China Molybdenum Co., Ltd. Class H",3.14%
7,Jiangxi Copper Company Limited Class H,3.00%
8,"Zhaojin Mining Industry Co., Ltd. Class H",2.73%
9,China Hongqiao Group Ltd.,2.68%
10,"Zijin Mining Group Co., Ltd. Class A",2.25%
11,Aluminum Corporation of China Limited Class H,2.19%
12,"Hengli Petrochemical Co., Ltd. Class A",2.05%
13,"Rongsheng Petrochemical Co., Ltd. Class A",1.89%
14,Lee & Man Paper Manufacturing Limited,1.86%
15,"Shandong Gold Mining Co., Ltd. Class A",1.81%
16,"Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd. Class A",1.80%
17,Sinopec Shanghai Petrochemical Co. Ltd. Class H,1.70%
18,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd. Class A",1.60%
19,"Baoshan Iron & Steel Co., Ltd. Class A",1.58%
20,"China Molybdenum Co., Ltd. Class A",1.35%
21,"Yunnan Energy New Material Co., Ltd. Class A",1.23%
22,"Ganfeng Lithium Co., Ltd. Class A",1.15%
23,"Zhongjin Gold Corp., Ltd. Class A",1.13%
24,"China Jushi Co., Ltd. Class A",1.07%
25,Inner Mongolia Baotou Steel Union Co. Ltd. Class A,1.00%
26,"Shanghai Putailai New Energy Technology Co., Ltd. Class A",0.93%
27,Zhejiang Longsheng Group Co. Ltd. Class A,0.93%
28,"Shandong Hualu-Hengsheng Chemical Co., Ltd. Class A",0.93%
29,"China Northern Rare Earth (Group) High-Tech Co., Ltd. Class A",0.92%
30,"Shandong Sinocera Functional Material Co., Ltd. Class A",0.91%
31,Zhejiang Huayou Cobalt Co. Ltd. Class A,0.88%
32,Lomon Billions Group Co Ltd. Class A,0.85%
33,"Hengyi Petrochemical Co., Ltd. Class A",0.85%
34,Aluminum Corporation of China Limited Class A,0.84%
35,"Weihai Guangwei Composites Co., Ltd. Class A",0.84%
36,"Guangdong Hongda Blasting Co., Ltd. Class A",0.82%
37,"Shandong Sunpaper Co., Ltd. Class A",0.82%
38,"Huaxin Cement Co., Ltd. Class A",0.76%
39,"Tianqi Lithium Industries, Inc Class A",0.73%
40,"Tongkun Group Co., Ltd. Class A",0.70%
41,Jiangxi Copper Company Limited Class A,0.69%
42,"Shandong Nanshan Aluminium Co., Ltd. Class A",0.69%
43,"GEM Co., Ltd. Class A",0.65%
44,Jiangsu Yangnong Chemical Co. Ltd. Class A,0.65%
45,"Yintai Gold Co., Ltd. Class A",0.65%
46,"Hunan Valin Steel Co., Ltd. Class A",0.64%
47,BBMG Corporation Class A,0.60%
48,"Tongling Nonferrous Metals Group Co., Ltd. Class A",0.58%
49,"HBIS Co., Ltd. Class A",0.56%
50,"Jiangsu Shagang Co., Ltd. Class A",0.55%
51,Xiamen Tungsten Co. Ltd. Class A,0.53%
52,Tangshan Jidong Cement Co. Ltd. Class A,0.53%
53,Shanxi Taigang Stainless Steel Co. Ltd. Class A,0.52%
54,"Transfar Zhilian Co., Ltd. Class A",0.49%
55,Sinopec Shanghai Petrochemical Co. Ltd. Class A,0.49%
56,"Pangang Group Vanadium Titanium and Resources Co., Ltd. Class A",0.48%
57,Guangdong HEC Technology Holding Co. Ltd. Class A,0.48%
58,"Zhejiang Juhua Co., Ltd. Class A",0.47%
59,Maanshan Iron & Steel Co. Ltd. Class A,0.46%
60,"Jinduicheng Molybdenum Co., Ltd. Class A",0.44%
61,"Sansteel MinGuang Co., Ltd., Fujian Class A",0.43%
62,"Angang Steel Co., Ltd. Class A",0.41%
63,Anhui Conch Cement Company Limited Class A,0.24%
64,U.S. Dollar,0.06%
