,Name,Allocation
0,National Bank of Canada,0.43%
1,Royal Bank of Canada,0.39%
2,SoftBank Corp.,0.36%
3,Fortis Inc.,0.36%
4,Bank of Nova Scotia,0.36%
5,Hydro One Limited,0.35%
6,Metro Inc.,0.35%
7,Givaudan SA,0.34%
8,Kone Oyj Class B,0.34%
9,Loblaw Companies Limited,0.33%
10,Toronto-Dominion Bank,0.33%
11,Scout24 AG,0.32%
12,Canadian Imperial Bank of Commerce,0.32%
13,EMS-CHEMIE HOLDING AG,0.32%
14,Swisscom AG,0.32%
15,Emera Incorporated,0.32%
16,Intact Financial Corporation,0.32%
17,Polymetal International Plc,0.31%
18,Nestle S.A.,0.31%
19,Adyen NV,0.31%
20,Canadian National Railway Company,0.31%
21,NIBE Industrier AB Class B,0.31%
22,Symrise AG,0.31%
23,Bank of Montreal,0.31%
24,Investor AB Class B,0.30%
25,Deutsche Post AG,0.30%
26,"Japan Exchange Group, Inc.",0.30%
27,Deutsche Telekom AG,0.30%
28,Great-West Lifeco Inc.,0.30%
29,Admiral Group plc,0.30%
30,"NTT DoCoMo, Inc.",0.30%
31,"Nitori Holdings Co., Ltd.",0.30%
32,U.S. Dollar,0.29%
33,Sonic Healthcare Limited,0.29%
34,BCE Inc.,0.29%
35,TELUS Corporation,0.29%
36,Orkla ASA,0.29%
37,Sartorius Stedim Biotech SA,0.29%
38,Air Liquide SA,0.29%
39,Lonza Group AG,0.29%
40,Munich Reinsurance Company,0.29%
41,Geberit AG,0.29%
42,Canadian Utilities Limited Class A,0.29%
43,KT & G Corporation,0.29%
44,Akzo Nobel N.V.,0.29%
45,Shaw Communications Inc. Class B,0.29%
46,Wesfarmers Limited,0.28%
47,Chocoladefabriken Lindt & Spruengli AG Partizipsch.,0.28%
48,Hong Kong Exchanges & Clearing Ltd.,0.28%
49,ASX Limited,0.28%
50,bioMerieux SA,0.28%
51,Sun Life Financial Inc.,0.28%
52,Croda International Plc,0.28%
53,Koninklijke DSM N.V.,0.28%
54,"Secom Co., Ltd.",0.28%
55,Beiersdorf AG,0.27%
56,Canadian Pacific Railway Limited,0.27%
57,Vivendi SA,0.27%
58,"M3, Inc.",0.27%
59,Itochu Corporation,0.27%
60,Roche Holding AG,0.27%
61,Genmab A/S,0.27%
62,Royal Ahold Delhaize N.V.,0.27%
63,Partners Group Holding AG,0.27%
64,Oversea-Chinese Banking Corporation Limited,0.27%
65,Coles Group Ltd.,0.27%
66,NICE Ltd,0.26%
67,TC Energy Corporation,0.26%
68,Siemens AG,0.26%
69,"Waste Connections, Inc.",0.26%
70,DBS Group Holdings Ltd,0.26%
71,Unilever NV,0.26%
72,Algonquin Power & Utilities Corp.,0.26%
73,Oracle Corporation Japan,0.26%
74,Woolworths Group Ltd,0.26%
75,NIPPON PAINT HOLDINGS CO.LTD.,0.26%
76,Bunzl plc,0.26%
77,Kuehne & Nagel International AG,0.26%
78,Hermes International SCA,0.26%
79,Japan Tobacco Inc.,0.26%
80,BHP Group Ltd,0.26%
81,"Sumitomo Mitsui Financial Group, Inc.",0.26%
82,Barry Callebaut AG,0.25%
83,Iberdrola SA,0.25%
84,"Japan Post Bank Co., Ltd.",0.25%
85,Macquarie Group Limited,0.25%
86,"ONO Pharmaceutical Co., Ltd.",0.25%
87,Deutsche Boerse AG,0.25%
88,EDP-Energias de Portugal SA,0.25%
89,Fisher & Paykel Healthcare Corporation Limited,0.25%
90,L E Lundbergforetagen AB Class B,0.25%
91,"DAIKIN INDUSTRIES, LTD.",0.25%
92,Baloise-Holding AG,0.25%
93,Hyundai Motor Company,0.25%
94,Unilever PLC,0.24%
95,Toyota Motor Corp.,0.24%
96,Gjensidige Forsikring ASA,0.24%
97,Novartis AG,0.24%
98,United Overseas Bank Ltd. (Singapore),0.24%
99,LafargeHolcim Ltd.,0.24%
100,Genting Singapore Limited,0.24%
101,Zurich Insurance Group Ltd,0.24%
102,Legrand SA,0.24%
103,Wolters Kluwer NV,0.24%
104,Schindler Holding AG Pref,0.24%
105,Allianz SE,0.24%
106,Nidec Corporation,0.24%
107,Hannover Ruck SE,0.24%
108,CGI Inc. Class A,0.24%
109,DCC Plc,0.24%
110,Coloplast A/S Class B,0.24%
111,SGS SA,0.24%
112,WSP Global Inc.,0.24%
113,NAVER Corp.,0.24%
114,"Nintendo Co., Ltd.",0.24%
115,Commonwealth Bank of Australia,0.24%
116,Merck KGaA,0.24%
117,Swiss Life Holding AG,0.24%
118,"MS&AD Insurance Group Holdings, Inc.",0.24%
119,Tryg A/S,0.24%
120,DSV Panalpina A/S,0.24%
121,Royal KPN NV,0.24%
122,Shimano Inc.,0.23%
123,Sika AG,0.23%
124,Sampo Oyj Class A,0.23%
125,Deutsche Wohnen SE,0.23%
126,Nippon Telegraph and Telephone Corporation,0.23%
127,L'Oreal SA,0.23%
128,Uniper SE,0.23%
129,Power Assets Holdings Limited,0.23%
130,Adevinta ASA,0.23%
131,Fortescue Metals Group Ltd,0.23%
132,KDDI Corporation,0.23%
133,"Chugai Pharmaceutical Co., Ltd.",0.23%
134,Davide Campari-Milano N.V.,0.23%
135,East Japan Railway Company,0.23%
136,Rio Tinto Limited,0.23%
137,Telia Company AB,0.23%
138,Elisa Oyj Class A,0.23%
139,Australia and New Zealand Banking Group Limited,0.23%
140,Saputo Inc.,0.23%
141,Kao Corp.,0.23%
142,Open Text Corporation,0.23%
143,Spirax-Sarco Engineering PLC,0.23%
144,Brenntag AG,0.23%
145,Schneider Electric SE,0.23%
146,ICA Gruppen AB,0.23%
147,Westpac Banking Corporation,0.22%
148,Bridgestone Corporation,0.22%
149,Assicurazioni Generali S.p.A.,0.22%
150,Brookfield Asset Management Inc. Class A,0.22%
151,ABB Ltd.,0.22%
152,Kubota Corporation,0.22%
153,"Mitsui & Co.,Ltd",0.22%
154,Orsted,0.22%
155,Eurofins Scientific Societe Europeenne,0.22%
156,Enbridge Inc.,0.22%
157,Swiss Prime Site AG,0.22%
158,Bollore SA,0.22%
159,Komatsu Ltd.,0.22%
160,Aena SME SA,0.22%
161,"Sekisui House, Ltd.",0.22%
162,ANA Holdings Inc.,0.22%
163,GlaxoSmithKline plc,0.22%
164,Flutter Entertainment Plc,0.22%
165,Mitsubishi Corporation,0.22%
166,Constellation Software Inc.,0.22%
167,Dassault Systemes SA,0.22%
168,Sony Corporation,0.22%
169,Wilmar International Limited,0.22%
170,Suncorp Group Limited,0.22%
171,Rogers Communications Inc. Class B,0.22%
172,Rentokil Initial plc,0.22%
173,Alimentation Couche-Tard Inc. Class B,0.22%
174,Swedish Match AB,0.22%
175,AstraZeneca PLC,0.22%
176,UCB S.A.,0.22%
177,Red Electrica Corp. SA,0.22%
178,Sanofi,0.21%
179,"OBIC Co., Ltd.",0.21%
180,Ramsay Health Care Limited,0.21%
181,REA Group Ltd,0.21%
182,Intertek Group plc,0.21%
183,NEC Corp.,0.21%
184,Bayerische Motoren Werke AG,0.21%
185,Essity AB Class B,0.21%
186,Vestas Wind Systems A/S,0.21%
187,Unicharm Corporation,0.21%
188,Orange SA,0.21%
189,"Samsung Life Insurance Co., Ltd.",0.21%
190,Sonova Holding AG,0.21%
191,Hang Lung Properties Limited,0.21%
192,Experian PLC,0.21%
193,Teleperformance SE,0.21%
194,CRH Plc,0.21%
195,Rio Tinto plc,0.21%
196,Terna S.p.A.,0.21%
197,Pembina Pipeline Corporation,0.21%
198,ASSA ABLOY AB Class B,0.21%
199,Power Corporation of Canada,0.21%
200,National Grid plc,0.21%
201,Dollarama Inc.,0.21%
202,"Tokio Marine Holdings, Inc.",0.21%
203,Pernod Ricard SA,0.21%
204,DENSO CORPORATION,0.21%
205,Tele2 AB Class B,0.21%
206,National Australia Bank Limited,0.21%
207,Chr. Hansen Holding A/S,0.21%
208,ASML Holding NV,0.21%
209,Epiroc AB Class A,0.21%
210,Danone SA,0.20%
211,"Sumitomo Realty & Development Co., Ltd.",0.20%
212,Kyocera Corporation,0.20%
213,Rightmove plc,0.20%
214,"Chubu Electric Power Company,Incorporated",0.20%
215,Heineken Holding N.V.,0.20%
216,Diageo plc,0.20%
217,KIA Motors Corporation,0.20%
218,Fortum Oyj,0.20%
219,NCsoft Corporation,0.20%
220,"Celltrion, Inc.",0.20%
221,Brambles Limited,0.20%
222,Toyota Industries Corp.,0.20%
223,TOKYU CORPORATION,0.20%
224,"JAPAN POST HOLDINGS Co., Ltd.",0.20%
225,Kingspan Group Plc,0.20%
226,"Techtronic Industries Co., Ltd.",0.20%
227,CapitaLand Limited,0.20%
228,Agnico Eagle Mines Limited,0.20%
229,Koninklijke Philips N.V.,0.20%
230,BHP Group Plc,0.20%
231,Suntory Beverage & Food Ltd.,0.20%
232,Novo Nordisk A/S Class B,0.20%
233,Talanx AG,0.20%
234,Capgemini SE,0.20%
235,Novozymes A/S Class B,0.20%
236,Halma plc,0.20%
237,Atlas Copco AB Class A,0.20%
238,Telstra Corporation Limited,0.20%
239,"Sompo Holdings,Inc.",0.20%
240,Snam S.p.A.,0.20%
241,Total SE,0.20%
242,VINCI SA,0.20%
243,Ferguson Plc,0.20%
244,Edenred SA,0.20%
245,"Shinhan Financial Group Co., Ltd.",0.20%
246,Amundi SA,0.20%
247,Sage Group plc,0.20%
248,CSL Limited,0.20%
249,RATIONAL AG,0.19%
250,AGL Energy Limited,0.19%
251,UBS Group AG,0.19%
252,Volvo AB Class B,0.19%
253,Getlink SE,0.19%
254,OMRON Corporation,0.19%
255,Heineken NV,0.19%
256,Straumann Holding AG,0.19%
257,"FAST RETAILING CO., LTD.",0.19%
258,"Oriental Land Co., Ltd.",0.19%
259,Orpea SA,0.19%
260,Hong Kong & China Gas Co. Ltd.,0.19%
261,EssilorLuxottica SA,0.19%
262,AVEVA Group plc,0.19%
263,"Shionogi & Co., Ltd.",0.19%
264,Kerry Group Plc Class A,0.19%
265,Skanska AB Class B,0.19%
266,Singapore Technologies Engineering Ltd,0.19%
267,QBE Insurance Group Limited,0.19%
268,Neste Corporation,0.19%
269,Compagnie de Saint-Gobain SA,0.19%
270,Fresenius Medical Care AG & Co. KGaA,0.19%
271,Alstom SA,0.19%
272,Barrick Gold Corporation,0.19%
273,Eiffage SA,0.19%
274,"Kyowa Kirin Co., Ltd.",0.19%
275,LVMH Moet Hennessy Louis Vuitton SE,0.19%
276,Mediobanca S.p.A.,0.19%
277,Evonik Industries AG,0.19%
278,Veolia Environnement SA,0.19%
279,"Sumitomo Mitsui Trust Holdings, Inc.",0.19%
280,Adecco Group AG,0.19%
281,RELX PLC,0.19%
282,Bank Leumi Le-Israel Ltd.,0.19%
283,Insurance Australia Group Limited,0.19%
284,Sumitomo Corporation,0.19%
285,SMC Corporation,0.19%
286,NN Group N.V.,0.19%
287,Bureau Veritas SA,0.19%
288,Aristocrat Leisure Limited,0.18%
289,Yara International ASA,0.18%
290,RSA Insurance Group plc,0.18%
291,GN Store Nord A/S,0.18%
292,Carlsberg A/S Class B,0.18%
293,Tesco PLC,0.18%
294,"Recruit Holdings Co., Ltd.",0.18%
295,Pan Pacific International Holdings Corporation,0.18%
296,Schroders PLC,0.18%
297,Mitsubishi Electric Corp.,0.18%
298,Restaurant Brands International Inc,0.18%
299,Manulife Financial Corporation,0.18%
300,SUEZ SA,0.18%
301,Bank Hapoalim BM,0.18%
302,"Dai-ichi Life Holdings,Inc.",0.18%
303,"Samsung Electronics Co., Ltd.",0.18%
304,"Naturgy Energy Group, S.A.",0.18%
305,Keyence Corporation,0.18%
306,West Japan Railway Company,0.18%
307,InterContinental Hotels Group PLC,0.18%
308,"Sumitomo Electric Industries, Ltd.",0.18%
309,Jeronimo Martins SGPS SA,0.18%
310,BAE Systems plc,0.18%
311,Fairfax Financial Holdings Limited,0.18%
312,CK Infrastructure Holdings Limited,0.18%
313,Smiths Group Plc,0.18%
314,Severn Trent Plc,0.18%
315,Hexagon AB Class B,0.18%
316,Julius Baer Gruppe AG,0.18%
317,"Hyundai Mobis Co., Ltd",0.18%
318,Fresenius SE & Co. KGaA,0.18%
319,Central Japan Railway Company,0.18%
320,"Nomura Research Institute,Ltd.",0.18%
321,"Daiichi Sankyo Company, Limited",0.18%
322,"Industria de Diseno Textil, S.A.",0.18%
323,Covestro AG,0.18%
324,LG Household & Health Care Ltd,0.18%
325,Swedbank AB Class A,0.18%
326,Fanuc Corporation,0.18%
327,Acciona SA,0.18%
328,"Mitsubishi Estate Company, Limited",0.18%
329,Shin-Etsu Chemical Co Ltd,0.17%
330,KB Financial Group Inc.,0.17%
331,Antofagasta plc,0.17%
332,Terumo Corporation,0.17%
333,HOYA CORPORATION,0.17%
334,Kikkoman Corporation,0.17%
335,Fujitsu Limited,0.17%
336,Randstad NV,0.17%
337,"Murata Manufacturing Co., Ltd.",0.17%
338,Arkema SA,0.17%
339,Newcrest Mining Limited,0.17%
340,Tokyo Electron Ltd.,0.17%
341,SAMSUNG C&T CORP,0.17%
342,adidas AG,0.17%
343,"SK Holdings Co., Ltd.",0.17%
344,"SAMSUNG SDS CO., LTD.",0.17%
345,Skandinaviska Enskilda Banken AB Class A,0.17%
346,Svenska Handelsbanken AB Class A,0.17%
347,"Seven & I Holdings Co., Ltd.",0.17%
348,AIA Group Limited,0.17%
349,Compagnie Generale des Etablissements Michelin SCA,0.17%
350,POSCO,0.17%
351,Iliad SA,0.17%
352,Origin Energy Limited,0.17%
353,Atos SE,0.17%
354,"Mitsubishi Heavy Industries, Ltd.",0.17%
355,MTR Corporation Limited,0.17%
356,Sysmex Corporation,0.17%
357,Astellas Pharma Inc.,0.17%
358,Hana Financial Group Inc.,0.16%
359,3i Group plc,0.16%
360,Associated British Foods plc,0.16%
361,Intesa Sanpaolo S.p.A.,0.16%
362,SKF AB Class B,0.16%
363,CK Hutchison Holdings Ltd,0.16%
364,Z Holdings Corporation,0.16%
365,"ENEOS Holdings, Inc.",0.16%
366,Kering SA,0.16%
367,"Grifols, S.A. Class A",0.16%
368,BNP Paribas SA Class A,0.16%
369,Safran S.A.,0.16%
370,Ashtead Group plc,0.16%
371,Compagnie Financiere Richemont SA,0.16%
372,"Asahi Group Holdings,Ltd.",0.16%
373,London Stock Exchange Group plc,0.16%
374,FUJIFILM Holdings Corp,0.16%
375,Makita Corporation,0.16%
376,Swatch Group Ltd. Bearer,0.16%
377,Credit Suisse Group AG,0.16%
378,Aviva plc,0.16%
379,DNB ASA,0.16%
380,Aeroports de Paris SA,0.16%
381,CNP Assurances SA,0.16%
382,"Daiwa House Industry Co., Ltd.",0.16%
383,Smith & Nephew plc,0.16%
384,"Otsuka Holdings Co., Ltd.",0.16%
385,ORIX Corporation,0.16%
386,"Samsung Fire & Marine Insurance Co., Ltd",0.16%
387,Cochlear Limited,0.16%
388,Sino Land Co. Ltd.,0.15%
389,KBC Group N.V.,0.15%
390,"Nomura Holdings, Inc.",0.15%
391,Shimao Group Holdings Limited,0.15%
392,Coca-Cola HBC AG,0.15%
393,Accor SA,0.15%
394,a2 Milk Company Ltd.,0.15%
395,Stora Enso Oyj Class R,0.15%
396,Mondi plc,0.15%
397,Marubeni Corporation,0.15%
398,Sodexo SA,0.15%
399,NTT DATA Corporation,0.15%
400,United Utilities Group PLC,0.15%
401,OMV AG,0.15%
402,Anheuser-Busch InBev SA/NV,0.15%
403,Kirkland Lake Gold Ltd.,0.15%
404,Next plc,0.15%
405,Alfa Laval AB,0.15%
406,Canon Inc.,0.15%
407,Henderson Land Development Co. Ltd.,0.15%
408,Aroundtown SA,0.15%
409,Infineon Technologies AG,0.15%
410,Thales SA,0.15%
411,Toyota Tsusho Corp.,0.15%
412,Imperial Oil Limited,0.15%
413,Vifor Pharma AG,0.15%
414,"Mitsui Fudosan Co., Ltd.",0.15%
415,Santos Limited,0.15%
416,Amadeus IT Group SA Class A,0.15%
417,Jardine Cycle & Carriage Limited,0.15%
418,Anglo American plc,0.14%
419,UPM-Kymmene Oyj,0.14%
420,"Kansai Electric Power Company, Incorporated",0.14%
421,Compass Group PLC,0.14%
422,Danske Bank A/S,0.14%
423,Smurfit Kappa Group Plc,0.14%
424,CK Asset Holdings Limited,0.14%
425,Panasonic Corporation,0.14%
426,ING Groep NV,0.14%
427,Fastighets AB Balder Class B,0.14%
428,Keppel Corporation Limited,0.14%
429,Nemetschek SE,0.14%
430,Asahi Kasei Corporation,0.14%
431,"Shiseido Company,Limited",0.14%
432,EQUITY OTHER,0.14%
433,Demant A/S,0.14%
434,Galaxy Entertainment Group Limited,0.14%
435,New World Development Co. Ltd.,0.14%
436,"Celltrion Healthcare Co., Ltd.",0.14%
437,TDK Corporation,0.14%
438,Royal Dutch Shell Plc Class A,0.14%
439,SUBARU CORP,0.14%
440,PUMA SE,0.14%
441,Yamaha Corporation,0.14%
442,Prudential plc,0.14%
443,British American Tobacco p.l.c.,0.14%
444,Berkeley Group Holdings plc,0.14%
445,BANDAI NAMCO Holdings Inc.,0.14%
446,Aisin Seiki Co Ltd,0.14%
447,Poste Italiane SpA,0.14%
448,Sino Biopharmaceutical Limited,0.13%
449,Singapore Airlines Ltd.,0.13%
450,Bayer AG,0.13%
451,"NEXON Co., Ltd.",0.13%
452,JD Sports Fashion Plc,0.13%
453,Publicis Groupe SA,0.13%
454,Temenos AG,0.13%
455,MTU Aero Engines AG,0.13%
456,Erste Group Bank AG,0.13%
457,Actividades de Construccion y Servicios SA,0.13%
458,Sun Art Retail Group Limited,0.13%
459,Moncler SpA,0.13%
460,Sands China Ltd.,0.13%
461,Legal & General Group Plc,0.13%
462,Olympus Corp.,0.13%
463,Carl Zeiss Meditec AG,0.13%
464,Standard Chartered PLC,0.13%
465,Hargreaves Lansdown plc,0.13%
466,STMicroelectronics NV,0.13%
467,Azrieli Group Ltd.,0.12%
468,CAE Inc.,0.12%
469,H&M Hennes & Mauritz AB Class B,0.12%
470,Jardine Matheson Holdings Limited,0.12%
471,WPP Plc,0.12%
472,Persimmon Plc,0.12%
473,"Eisai Co., Ltd.",0.12%
474,Informa Plc,0.11%
475,BT Group plc,0.11%
476,Umicore,0.11%
477,Imperial Brands PLC,0.11%
478,Wynn Macau Ltd.,0.11%
479,Burberry Group plc,0.11%
480,CaixaBank SA,0.11%
481,Lundin Energy AB,0.11%
482,Swire Pacific Limited Class A,0.10%
483,ABN AMRO Bank NV Depositary receipts,0.10%
484,China Gas Holdings Limited,0.10%
