,Name,Allocation
0,Alibaba Group Holding Ltd. Sponsored ADR,7.98%
1,Tencent Holdings Ltd.,5.88%
2,"Taiwan Semiconductor Manufacturing Co., Ltd.",5.37%
3,"Samsung Electronics Co., Ltd.",3.30%
4,FUTURES,2.33%
5,U.S. Dollar,1.81%
6,Meituan Dianping Class B,1.79%
7,Naspers Limited Class N,1.24%
8,Reliance Industries Limited Sponsored GDR 144A,1.17%
9,China Construction Bank Corporation Class H,1.02%
10,"JD.com, Inc. Sponsored ADR Class A",1.00%
11,"Ping An Insurance (Group) Company of China, Ltd. Class H",0.94%
12,China Mobile Limited,0.65%
13,Housing Development Finance Corporation Limited,0.62%
14,Vale S.A.,0.61%
15,"NetEase, Inc. Sponsored ADR",0.61%
16,SK hynix Inc,0.53%
17,"Baidu, Inc. Sponsored ADR Class A",0.52%
18,Industrial and Commercial Bank of China Limited Class H,0.52%
19,NAVER Corp.,0.51%
20,Samsung Electronics Co Ltd Pfd Non-Voting,0.49%
21,"Hon Hai Precision Industry Co., Ltd.",0.48%
22,Sberbank Russia PJSC,0.48%
23,Xiaomi Corp. Class B,0.45%
24,LG Chem Ltd.,0.44%
25,TAL Education Group Sponsored ADR Class A,0.43%
26,MediaTek Inc,0.43%
27,Tata Consultancy Services Limited,0.40%
28,Gazprom PJSC,0.39%
29,Bank of China Limited Class H,0.38%
30,"Celltrion, Inc.",0.36%
31,Hindustan Unilever Limited,0.35%
32,Wuxi Biologics (Cayman) Inc.,0.35%
33,"B3 SA - Brasil, Bolsa, Balcao",0.34%
34,"Pinduoduo, Inc. Sponsored ADR Class A",0.34%
35,Petroleo Brasileiro SA Pfd,0.34%
36,Qatar National Bank QPSC,0.33%
37,"Samsung SDI Co., Ltd",0.33%
38,Al Rajhi Bank,0.32%
39,Infosys Limited Sponsored ADR,0.32%
40,PT Bank Central Asia Tbk,0.32%
41,Hyundai Motor Company,0.32%
42,Itau Unibanco Holding SA Pfd,0.32%
43,America Movil SAB de CV Class L,0.31%
44,Infosys Limited,0.31%
45,"New Oriental Education & Technology Group, Inc. Sponsored ADR",0.31%
46,Saudi Basic Industries Corp.,0.31%
47,"Yum China Holdings, Inc.",0.30%
48,CNOOC Limited,0.30%
49,Kakao Corp.,0.28%
50,"China Merchants Bank Co., Ltd. Class H",0.28%
51,"Kweichow Moutai Co., Ltd. Class A",0.28%
52,ICICI Bank Limited,0.27%
53,China Life Insurance Co. Ltd. Class H,0.26%
54,Bharti Airtel Limited,0.26%
55,Banco Bradesco SA Pfd,0.26%
56,NIO Inc. Sponsored ADR Class A,0.25%
