,Name,Allocation
0,Antero Midstream Corp.,2.58%
1,Equitrans Midstream Corp.,2.32%
2,"B&G Foods, Inc.",1.79%
3,Chemours Co.,1.54%
4,"Patterson Companies, Inc.",1.09%
5,Cogent Communications Holdings Inc,0.99%
6,"Artisan Partners Asset Management, Inc. Class A",0.97%
7,"Virtu Financial, Inc. Class A",0.96%
8,Vector Group Ltd.,0.92%
9,"Nu Skin Enterprises, Inc. Class A",0.78%
10,"Big Lots, Inc.",0.76%
11,"Compass Minerals International, Inc.",0.76%
12,"Medifast, Inc.",0.75%
13,"Ryder System, Inc.",0.75%
14,Uniti Group Inc,0.70%
15,Mercury General Corporation,0.69%
16,Olin Corporation,0.68%
17,"Trinity Industries, Inc.",0.67%
18,Covanta Holding Corporation,0.67%
19,"M.D.C. Holdings, Inc.",0.66%
20,"Kronos Worldwide, Inc.",0.63%
21,Avista Corporation,0.62%
22,"Clearway Energy, Inc. Class C",0.62%
23,"Spectrum Brands Holdings, Inc.",0.61%
24,LCI Industries,0.59%
25,"South Jersey Industries, Inc.",0.59%
26,Global Net Lease Inc,0.57%
27,Rent-A-Center Inc,0.57%
28,Moelis & Co. Class A,0.55%
29,"Telephone and Data Systems, Inc.",0.55%
30,GEO Group Inc,0.51%
31,Cabot Corporation,0.50%
32,Navient Corp,0.49%
33,Archrock Inc.,0.49%
34,"Hillenbrand, Inc.",0.49%
35,Universal Corp,0.48%
36,CVB Financial Corp.,0.46%
37,Sensient Technologies Corporation,0.45%
38,"Worthington Industries, Inc.",0.45%
39,"QTS Realty Trust, Inc. Class A",0.45%
40,Commercial Metals Company,0.43%
41,RLJ Lodging Trust,0.42%
42,Avient Corporation,0.41%
43,GATX Corporation,0.41%
44,Kennametal Inc.,0.40%
45,"Healthcare Services Group, Inc.",0.40%
46,Evercore Inc Class A,0.40%
47,"Home BancShares, Inc.",0.40%
48,"InterDigital, Inc.",0.39%
49,Altra Industrial Motion Corp.,0.39%
50,PotlatchDeltic Corporation,0.39%
51,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",0.39%
52,Lexington Realty Trust,0.38%
53,ABM Industries Incorporated,0.38%
54,"BGC Partners, Inc. Class A",0.38%
55,Old National Bancorp,0.38%
56,Pitney Bowes Inc.,0.37%
57,"TTEC Holdings, Inc.",0.37%
58,Acushnet Holdings Corp.,0.37%
59,"Papa John's International, Inc.",0.36%
60,Cathay General Bancorp,0.36%
61,"Waddell & Reed Financial, Inc. Class A",0.36%
62,Delek US Holdings Inc,0.35%
63,Brandywine Realty Trust,0.34%
64,"Houlihan Lokey, Inc. Class A",0.34%
65,SpartanNash Company,0.34%
66,"Cohen & Steers, Inc.",0.34%
67,Otter Tail Corporation,0.34%
68,"Applied Industrial Technologies, Inc.",0.34%
69,Northwest Natural Holding Co.,0.33%
70,HNI Corporation,0.33%
71,"John Wiley & Sons, Inc. Class A",0.33%
72,"Weis Markets, Inc.",0.33%
73,Agree Realty Corporation,0.33%
74,Jack in the Box Inc.,0.32%
75,"MGE Energy, Inc.",0.32%
76,"Matson, Inc.",0.32%
77,American States Water Company,0.32%
78,"CNO Financial Group, Inc.",0.32%
79,Industrial Logistics Properties Trust,0.31%
80,"Insperity, Inc.",0.31%
81,Park National Corporation,0.31%
82,"Vishay Intertechnology, Inc.",0.31%
83,"Columbia Banking System, Inc.",0.31%
84,"PennyMac Financial Services, Inc.",0.30%
85,SITE Centers Corp.,0.30%
86,"Sinclair Broadcast Group, Inc. Class A",0.30%
87,Greif Class A,0.29%
88,"Schweitzer-Mauduit International, Inc.",0.29%
89,"Clearway Energy, Inc. Class A",0.29%
90,"Strategic Education, Inc.",0.29%
91,International Bancshares Corporation,0.29%
92,"Advanced Drainage Systems, Inc.",0.28%
93,"WesBanco, Inc.",0.28%
94,Office Properties Income Trust,0.28%
95,California Water Service Group,0.28%
96,National Storage Affiliates Trust,0.28%
97,Brady Corporation Class A,0.28%
98,First Financial Bancorp.,0.28%
99,Cadence Bancorporation Class A,0.28%
100,Atlantic Union Bankshares Corporation,0.27%
101,"Easterly Government Properties, Inc.",0.27%
102,BancorpSouth Bank,0.27%
103,"Northwest Bancshares, Inc.",0.27%
104,CareTrust REIT Inc,0.27%
105,WD-40 Company,0.27%
106,WisdomTree U.S. MidCap Dividend Fund,0.27%
107,"PetMed Express, Inc.",0.27%
108,"Four Corners Property Trust, Inc.",0.26%
109,Simmons First National Corporation Class A,0.26%
110,Quaker Chemical Corporation,0.26%
111,McGrath RentCorp,0.26%
112,Fulton Financial Corporation,0.26%
113,KB Home,0.26%
114,"Piedmont Office Realty Trust, Inc. Class A",0.26%
