,Name,Allocation
0,"Dow, Inc.",8.73%
1,Exxon Mobil Corporation,7.11%
2,International Business Machines Corporation,5.77%
3,Chevron Corporation,5.62%
4,Verizon Communications Inc.,4.84%
5,Pfizer Inc.,4.82%
6,3M Company,4.33%
7,Caterpillar Inc.,4.31%
8,Walgreens Boots Alliance Inc,4.30%
9,Coca-Cola Company,4.14%
10,JPMorgan Chase & Co.,4.10%
11,"Merck & Co., Inc.",3.65%
12,Procter & Gamble Company,3.52%
13,"Travelers Companies, Inc.",3.50%
14,McDonald's Corporation,3.28%
15,Johnson & Johnson,3.15%
16,"Home Depot, Inc.",3.06%
17,"Cisco Systems, Inc.",3.04%
18,Raytheon Technologies Corporation,3.01%
19,"Goldman Sachs Group, Inc.",2.81%
20,Walmart Inc.,2.23%
21,American Express Company,1.96%
22,Intel Corporation,1.92%
23,UnitedHealth Group Incorporated,1.68%
24,Apple Inc.,1.63%
25,Microsoft Corporation,1.46%
26,"NIKE, Inc. Class B",1.24%
27,Visa Inc. Class A,0.74%
28,AIM Treasurers Series Funds Inc Premier US Government Money Portfolio Institutional,0.04%
