,Name,Allocation
0,Tesla Inc,7.70%
1,NVIDIA Corporation,4.71%
2,Siemens AG,4.30%
3,Daimler AG,3.88%
4,Nidec Corporation,3.81%
5,Alphabet Inc. Class A,3.64%
6,ABB Ltd.,3.55%
7,Toyota Motor Corp.,3.09%
8,"Honda Motor Co., Ltd.",3.08%
9,Continental AG,2.64%
10,"Baidu, Inc. Sponsored ADR Class A",2.64%
11,"Advanced Micro Devices, Inc.",2.61%
12,DENSO CORPORATION,2.47%
13,Intel Corporation,2.28%
14,Airbus SE,2.26%
15,Hyundai Motor Company,2.15%
16,BYD Company Limited Class H,2.09%
17,"Skyworks Solutions, Inc.",2.06%
18,NIO Inc. Sponsored ADR Class A,1.79%
19,Infineon Technologies AG,1.79%
20,First Quantum Minerals Ltd.,1.70%
21,Yaskawa Electric Corporation,1.61%
22,Renault SA,1.51%
23,Panasonic Corporation,1.50%
24,Aptiv PLC,1.49%
25,Yandex NV Class A,1.38%
26,Magna International Inc.,1.36%
27,"Hyundai Mobis Co., Ltd",1.33%
28,STMicroelectronics NV,1.32%
29,"Samsung SDI Co., Ltd",1.29%
30,KIA Motors Corporation,1.18%
31,Marvell Technology Group Ltd.,1.14%
32,MaxLinear inc,1.07%
33,"Zijin Mining Group Co., Ltd. Class H",1.01%
34,"Great Wall Motor Co., Ltd. Class H",0.99%
35,Valeo SA,0.98%
36,"Sumitomo Metal Mining Co., Ltd.",0.95%
37,Sociedad Quimica Y Minera De Chile S.A. Sponsored ADR Pfd Class B,0.95%
38,Geely Automobile Holdings Limited,0.93%
39,Toyota Tsusho Corp.,0.87%
40,Umicore,0.86%
41,"Guangzhou Automobile Group Co., Ltd. Class H",0.85%
42,ON Semiconductor Corporation,0.81%
43,TDK Corporation,0.81%
44,FMC Corporation,0.80%
45,"Toray Industries, Inc.",0.72%
46,Sinotruk Hong Kong Ltd.,0.68%
47,Linamar Corporation,0.68%
48,"Samsung Electro-Mechanics Co., Ltd",0.65%
49,Albemarle Corporation,0.64%
50,"Veoneer, Inc.",0.63%
51,"Ambarella, Inc.",0.61%
52,Renesas Electronics Corporation,0.56%
53,Faurecia SA,0.55%
54,Autoliv Inc.,0.54%
55,JPMorgan Trust II US Government Money Market Fund Institutional,0.52%
56,"Rohm Co., Ltd.",0.51%
57,"Sumitomo Chemical Co., Ltd.",0.50%
58,MMG Ltd.,0.49%
59,BAIC Motor Corporation Limited Class H,0.49%
60,U.S. Dollar,0.00%
