,Name,Allocation
0,AIA Group Limited,24.51%
1,Hong Kong Exchanges & Clearing Ltd.,12.50%
2,CK Hutchison Holdings Ltd,3.84%
3,Sun Hung Kai Properties Limited,3.62%
4,"Techtronic Industries Co., Ltd.",3.60%
5,Galaxy Entertainment Group Limited,3.57%
6,Link Real Estate Investment Trust,3.50%
7,CLP Holdings Limited,3.46%
8,Hong Kong & China Gas Co. Ltd.,3.28%
9,CK Asset Holdings Limited,3.06%
10,"Hang Seng Bank, Limited",2.61%
11,BOC Hong Kong (Holdings) Limited,2.30%
12,Sands China Ltd.,2.19%
13,"BeiGene, Ltd. Sponsored ADR",2.06%
14,Jardine Matheson Holdings Limited,1.89%
15,WH Group Ltd. (HK),1.82%
16,MTR Corporation Limited,1.73%
17,New World Development Co. Ltd.,1.73%
18,Power Assets Holdings Limited,1.71%
19,Wharf Real Estate Investment Co. Ltd.,1.47%
20,Budweiser Brewing Co. APAC Ltd.,1.30%
21,HKT Trust and HKT Ltd,1.23%
22,Henderson Land Development Co. Ltd.,1.22%
23,Hang Lung Properties Limited,1.18%
24,Jardine Strategic Holdings Limited,0.96%
25,Hongkong Land Holdings Limited,0.95%
26,Melco Resorts & Entertainment Limited Sponsored ADR,0.93%
27,Sino Land Co. Ltd.,0.80%
28,CK Infrastructure Holdings Limited,0.76%
29,ASM Pacific Technology Limited,0.74%
30,Swire Properties Limited,0.68%
31,Bank of East Asia Ltd.,0.67%
32,Wynn Macau Ltd.,0.62%
33,HK Electric Investments & HK Electric Investments Ltd.,0.59%
34,PCCW Limited,0.58%
35,Swire Pacific Limited Class A,0.57%
36,SJM Holdings Limited,0.54%
37,Kerry Properties Limited,0.36%
38,Dairy Farm International Holdings Limited,0.31%
39,NWS Holdings Limited,0.28%
40,U.S. Dollar,0.25%
41,BlackRock Cash Funds Treasury SL Agency Shares,0.03%
