,Name,Allocation
0,Alibaba Group Holding Ltd. Sponsored ADR,17.81%
1,Tencent Holdings Ltd.,14.58%
2,Meituan Dianping Class B,4.33%
3,China Construction Bank Corporation Class H,2.65%
4,"JD.com, Inc. Sponsored ADR Class A",2.46%
5,"Ping An Insurance (Group) Company of China, Ltd. Class H",2.25%
6,Industrial and Commercial Bank of China Limited Class H,1.78%
7,China Mobile Limited,1.52%
8,"NetEase, Inc. Sponsored ADR",1.37%
9,"Baidu, Inc. Sponsored ADR Class A",1.26%
10,Xiaomi Corp. Class B,1.05%
11,TAL Education Group Sponsored ADR Class A,1.02%
12,Bank of China Limited Class H,0.98%
13,"Pinduoduo, Inc. Sponsored ADR Class A",0.88%
14,"Kweichow Moutai Co., Ltd. Class A",0.80%
15,Wuxi Biologics (Cayman) Inc.,0.76%
16,"China Merchants Bank Co., Ltd. Class H",0.74%
17,"New Oriental Education & Technology Group, Inc. Sponsored ADR",0.72%
18,CNOOC Limited,0.70%
19,China Life Insurance Co. Ltd. Class H,0.67%
20,Trip.com Group Ltd. Sponsored ADR,0.50%
21,ANTA Sports Products Ltd.,0.49%
22,China Resources Land Limited,0.47%
23,ZTO Express (Cayman) Inc. Sponsored ADR Class A,0.46%
24,China Petroleum & Chemical Corporation Class H,0.44%
25,China Overseas Land & Investment Limited,0.44%
26,NIO Inc. Sponsored ADR Class A,0.44%
27,Sino Biopharmaceutical Limited,0.43%
28,Sunac China Holdings Ltd.,0.43%
29,Agricultural Bank of China Limited Class H,0.42%
30,Geely Automobile Holdings Limited,0.42%
31,CSPC Pharmaceutical Group Limited,0.41%
32,China Resources Beer (Holdings) Co. Ltd.,0.40%
33,Shenzhou International Group Holdings Limited,0.39%
34,"Sunny Optical Technology (Group) Co., Ltd.",0.39%
35,Alibaba Health Information Technology Ltd.,0.37%
36,Country Garden Holdings Co. Ltd.,0.37%
37,Longfor Group Holdings Ltd.,0.35%
38,"Innovent Biologics, Inc.",0.34%
39,"Ping An Insurance (Group) Company of China, Ltd. Class A",0.33%
40,ENN Energy Holdings Limited,0.33%
41,China Tower Corp. Ltd. Class H,0.33%
42,"Wuliangye Yibin Co., Ltd. Class A",0.33%
43,Anhui Conch Cement Company Limited Class H,0.32%
44,Country Garden Services Holdings Co. Ltd.,0.31%
45,"China Merchants Bank Co., Ltd. Class A",0.30%
46,China Gas Holdings Limited,0.30%
47,"China Pacific Insurance (Group) Co., Ltd. Class H",0.30%
48,Li Ning Company Limited,0.29%
49,Vipshop Holdings Ltd Sponsored ADR,0.28%
50,PetroChina Company Limited Class H,0.28%
51,China Conch Venture Holdings Ltd.,0.26%
52,Tencent Music Entertainment Group Sponsored ADR Class A,0.26%
53,U.S. Dollar,0.26%
54,BYD Company Limited Class H,0.25%
55,"Bilibili, Inc. Sponsored ADR Class Z",0.25%
56,"China Vanke Co., Ltd Class H",0.24%
57,"Hengan International Group Co., Ltd.",0.24%
58,Yihai International Holding Ltd.,0.24%
59,GDS Holdings Ltd. Sponsored ADR Class A,0.24%
60,China National Building Material Co. Ltd. Class H,0.23%
61,China Shenhua Energy Co. Ltd. Class H,0.22%
62,Shimao Group Holdings Limited,0.22%
63,Huazhu Group Ltd. Sponsored ADR,0.22%
64,China Evergrande Group,0.21%
65,CITIC Securities Co. Ltd. Class H,0.21%
66,58.com Inc. Sponsored ADR Class A,0.21%
67,"Kingdee International Software Group Co., Ltd.",0.20%
68,"Postal Savings Bank of China Co., Ltd. Class H",0.20%
69,Shandong Weigao Group Medical Polymer Co. Ltd. Class H,0.20%
