,Name,Allocation
0,WEG S.A.,4.78%
1,Magazine Luiza S.A.,4.25%
2,Petroleo Brasileiro SA Pfd,3.83%
3,Grupo Mexico S.A.B. de C.V. Class B,3.67%
4,Centrais Eletricas Brasileiras SA-Eletrobras Pfd B,3.15%
5,Companhia Energetica de Minas Gerais SA Pfd,3.00%
6,Cosan S.A.,2.94%
7,Gerdau SA Pfd,2.79%
8,Suzano S.A.,2.77%
9,Companhia Paranaense de Energia - COPEL Pfd Registered B,2.77%
10,Grupo Bimbo SAB de CV Class A,2.75%
11,Fibra Uno Administracion SA de CV,2.59%
12,Equatorial Energia S.A.,2.53%
13,Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,2.52%
14,Raia Drogasil S.A.,2.51%
15,Enel Americas S.A.,2.50%
16,Gruma SAB de CV Class B,2.49%
17,U.S. Dollar,2.40%
18,Cencosud S.A.,2.39%
19,El Puerto de Liverpool SAB de CV,2.35%
20,Grupo Elektra SAB de CV,2.32%
21,TIM Participacoes S.A.,2.25%
22,Atacadao SA,2.23%
23,Itausa - Investimentos Itau SA Pfd,2.11%
24,Grupo de Inversiones Suramericana S.A.,1.78%
25,Kimberly-Clark de Mexico SAB de CV Class A,1.72%
26,JBS S.A.,1.71%
27,Cemex SAB de CV Cert Part Ord Repr 2 ShsA & 1 ShsB,1.69%
28,Wal-Mart de Mexico SAB de CV,1.68%
29,"Grupo Televisa, S.A.B.",1.67%
30,Compania de Transmissao de Energia Eletrica Paulista Pfd,1.64%
31,America Movil SAB de CV Class L,1.63%
32,Orbia Advance Corp. SAB de CV,1.58%
33,Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,1.55%
34,Vale S.A.,1.37%
35,Grupo Financiero Banorte SAB de CV Class O,1.36%
36,Industrias Penoles SAB de CV,1.24%
37,Arca Continental SAB de CV,1.21%
38,Enel Chile SA,1.19%
39,Empresas CMPC S.A.,1.06%
40,Infraestructura Energetica Nova SAB de CV,0.97%
41,Telefonica Brasil SA Pfd,0.95%
42,Lojas Americanas S.A. Pfd,0.87%
43,"B3 SA - Brasil, Bolsa, Balcao",0.81%
44,Falabella S.A.,0.78%
45,Notre Dame Intermedica Participacoes SA,0.73%
46,Petrobras Distribuidora SA,0.69%
47,Sul America SA Ctf de Deposito de Acoes Cons of 1 Sh + 2 Pfd Shs,0.65%
48,Banco do Brasil S.A.,0.56%
49,Grupo Financiero Inbursa SAB de CV Class O,0.55%
50,Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,0.49%
