,Name,Allocation
0,"Best Buy Co., Inc.",1.33%
1,Trane Technologies plc,1.18%
2,Cintas Corporation,1.17%
3,"Church & Dwight Co., Inc.",1.17%
4,Tractor Supply Company,1.14%
5,Lululemon Athletica Inc,1.13%
6,"IDEXX Laboratories, Inc.",1.13%
7,Cummins Inc.,1.12%
8,"Cadence Design Systems, Inc.",1.10%
9,"Align Technology, Inc.",1.10%
10,Mettler-Toledo International Inc.,1.09%
11,"Synopsys, Inc.",1.07%
12,"Yum China Holdings, Inc.",1.07%
13,Fastenal Company,1.07%
14,"McCormick & Company, Incorporated",1.06%
15,"Old Dominion Freight Line, Inc.",1.05%
16,KLA Corporation,1.05%
17,Pool Corporation,1.04%
18,"W.W. Grainger, Inc.",1.02%
19,"Xilinx, Inc.",1.01%
20,Clorox Company,1.01%
21,Realty Income Corporation,1.01%
22,MSCI Inc. Class A,1.00%
23,Kroger Co.,1.00%
24,"O'Reilly Automotive, Inc.",0.99%
25,Hershey Company,0.99%
26,Ameren Corporation,0.98%
27,Waters Corporation,0.97%
28,"AutoZone, Inc.",0.97%
29,"Rockwell Automation, Inc.",0.96%
30,Kellogg Company,0.96%
31,"Nasdaq, Inc.",0.95%
32,"Paychex, Inc.",0.93%
33,CDW Corp.,0.91%
34,PPL Corporation,0.91%
35,MarketAxess Holdings Inc.,0.90%
36,Cerner Corporation,0.90%
37,Booz Allen Hamilton Holding Corporation Class A,0.90%
38,Tiffany & Co.,0.89%
39,"Citrix Systems, Inc.",0.89%
40,"Expeditors International of Washington, Inc.",0.88%
41,"Consolidated Edison, Inc.",0.88%
42,"VeriSign, Inc.",0.86%
43,"Ventas, Inc.",0.82%
44,Brown-Forman Corporation Class B,0.81%
45,Xylem Inc.,0.81%
46,Garmin Ltd.,0.80%
47,"C.H. Robinson Worldwide, Inc.",0.80%
48,"Burlington Stores, Inc.",0.78%
49,FactSet Research Systems Inc.,0.77%
50,"NVR, Inc.",0.76%
51,Genuine Parts Company,0.76%
52,"Copart, Inc.",0.76%
53,Cincinnati Financial Corporation,0.75%
54,Fair Isaac Corporation,0.73%
55,Synchrony Financial,0.71%
56,Ulta Beauty Inc,0.71%
57,Carrier Global Corp.,0.70%
58,Discover Financial Services,0.70%
59,Otis Worldwide Corporation,0.70%
60,Omnicom Group Inc,0.65%
61,"NetApp, Inc.",0.65%
62,HP Inc.,0.64%
63,"American Water Works Company, Inc.",0.64%
64,Graco Inc.,0.64%
65,RPM International Inc.,0.63%
66,"Brown & Brown, Inc.",0.61%
67,Masimo Corporation,0.59%
68,"Molina Healthcare, Inc.",0.59%
69,Nordson Corporation,0.58%
70,Avery Dennison Corporation,0.58%
71,"F5 Networks, Inc.",0.58%
72,Western Union Company,0.58%
73,"Rollins, Inc.",0.57%
74,Allegion PLC,0.57%
75,"Watsco, Inc.",0.55%
76,"Williams-Sonoma, Inc.",0.55%
77,"AvalonBay Communities, Inc.",0.54%
78,"Aspen Technology, Inc.",0.53%
79,"Universal Health Services, Inc. Class B",0.53%
80,"Hasbro, Inc.",0.52%
81,"Henry Schein, Inc.",0.52%
82,Lennox International Inc.,0.52%
83,Southwest Airlines Co.,0.51%
84,"West Pharmaceutical Services, Inc.",0.51%
85,Campbell Soup Company,0.50%
86,Teledyne Technologies Incorporated,0.48%
87,BorgWarner Inc.,0.48%
88,SEI Investments Company,0.47%
89,Toro Company,0.47%
90,"Host Hotels & Resorts, Inc.",0.47%
91,Robert Half International Inc.,0.46%
92,"Fortinet, Inc.",0.46%
93,Globe Life Inc.,0.46%
94,"Domino's Pizza, Inc.",0.45%
95,Dover Corporation,0.44%
96,"Match Group, Inc.",0.44%
97,Whirlpool Corporation,0.43%
98,"L Brands, Inc.",0.43%
99,Ally Financial Inc,0.43%
100,"Broadridge Financial Solutions, Inc.",0.41%
101,"Manhattan Associates, Inc.",0.40%
102,"Juniper Networks, Inc.",0.40%
103,Snap-on Incorporated,0.40%
104,Hubbell Incorporated Class B,0.40%
105,Camden Property Trust,0.39%
106,Encompass Health Corporation,0.39%
107,"National Retail Properties, Inc.",0.38%
108,"Donaldson Company, Inc.",0.37%
109,"Arista Networks, Inc.",0.37%
110,J.M. Smucker Company,0.37%
111,"ABIOMED, Inc.",0.37%
112,"Tyler Technologies, Inc.",0.37%
113,"Flowers Foods, Inc.",0.36%
114,"Paycom Software, Inc.",0.36%
115,Duke Realty Corporation,0.34%
116,Hanesbrands Inc.,0.34%
117,Lamar Advertising Company Class A,0.33%
118,"Monolithic Power Systems, Inc.",0.33%
119,Credit Acceptance Corporation,0.32%
120,"CenturyLink, Inc.",0.31%
121,Gentex Corporation,0.31%
122,Herbalife Nutrition Ltd.,0.31%
123,Chemed Corporation,0.31%
124,First American Financial Corporation,0.31%
125,"Exelixis, Inc.",0.30%
126,"BWX Technologies, Inc.",0.30%
127,Amdocs Limited,0.30%
128,National Instruments Corporation,0.29%
129,"Bio-Rad Laboratories, Inc. Class A",0.28%
130,"Landstar System, Inc.",0.28%
131,CoreSite Realty Corporation,0.28%
132,"Lincoln Electric Holdings, Inc.",0.28%
133,Scotts Miracle-Gro Company Class A,0.28%
134,Ciena Corporation,0.27%
135,"Tapestry, Inc.",0.27%
136,ManpowerGroup Inc.,0.26%
137,"Citizens Financial Group, Inc.",0.26%
138,Ollie's Bargain Outlet Holdings Inc,0.26%
139,"Neurocrine Biosciences, Inc.",0.25%
140,Bio-Techne Corporation,0.25%
141,Apollo Global Management Inc. Class A,0.24%
142,Reliance Steel & Aluminum Co.,0.24%
143,"Prosperity Bancshares, Inc.(R)",0.24%
144,"Allison Transmission Holdings, Inc.",0.24%
145,Sonoco Products Company,0.23%
146,CACI International Inc Class A,0.22%
147,"Amedisys, Inc.",0.22%
148,"Gap, Inc.",0.21%
149,Unum Group,0.21%
150,"Boston Beer Company, Inc. Class A",0.21%
151,Tempur Sealy International Inc,0.21%
152,"Carter's, Inc.",0.21%
153,"Skechers U.S.A., Inc. Class A",0.21%
154,"Highwoods Properties, Inc.",0.21%
155,"Foot Locker, Inc.",0.20%
156,Kohl's Corporation,0.19%
157,"Sprouts Farmers Markets, Inc.",0.19%
158,"Dick's Sporting Goods, Inc.",0.19%
159,"Enphase Energy, Inc.",0.19%
160,Ralph Lauren Corporation Class A,0.19%
161,"Grubhub, Inc.",0.18%
162,Brown-Forman Corporation Class A,0.18%
163,"MSC Industrial Direct Co., Inc. Class A",0.18%
164,"H&R Block, Inc.",0.18%
165,"Ionis Pharmaceuticals, Inc.",0.17%
166,Lazard Ltd Class A,0.17%
167,"Nu Skin Enterprises, Inc. Class A",0.16%
168,Erie Indemnity Company Class A,0.15%
169,CubeSmart,0.15%
170,"Acadia Healthcare Company, Inc.",0.15%
171,STORE Capital Corporation,0.14%
172,"First Industrial Realty Trust, Inc.",0.13%
173,Apple Hospitality REIT Inc,0.13%
174,"MSA Safety, Inc.",0.13%
175,Evercore Inc Class A,0.13%
176,"Nordstrom, Inc.",0.13%
177,Capri Holdings Limited,0.13%
178,EPR Properties,0.13%
179,United Therapeutics Corporation,0.12%
180,Globus Medical Inc Class A,0.11%
181,Curtiss-Wright Corporation,0.10%
182,Invesco Ltd.,0.10%
183,"Penske Automotive Group, Inc.",0.10%
184,"Santander Consumer USA Holdings, Inc.",0.10%
185,Ubiquiti Inc.,0.10%
186,"Schneider National, Inc. Class B",0.09%
187,NewMarket Corporation,0.09%
188,"Brixmor Property Group, Inc.",0.09%
189,"Affiliated Managers Group, Inc.",0.09%
190,PacWest Bancorp,0.08%
191,Columbia Sportswear Company,0.08%
192,"Copa Holdings, S.A. Class A",0.08%
193,"John Wiley & Sons, Inc. Class A",0.08%
194,Premier Inc. Class A,0.08%
195,"Change Healthcare, Inc.",0.08%
196,Mercury General Corporation,0.07%
197,"Telephone and Data Systems, Inc.",0.06%
198,CNA Financial Corporation,0.05%
199,"World Wrestling Entertainment, Inc. Class A",0.05%
200,"American National Group, Inc.",0.03%
201,GrafTech International Ltd.,0.03%
202,U.S. Dollar,-0.03%
