,Name,Allocation
0,Procter & Gamble Company,15.99%
1,Coca-Cola Company,9.08%
2,"PepsiCo, Inc.",8.93%
3,Walmart Inc.,8.80%
4,Costco Wholesale Corporation,7.17%
5,Philip Morris International Inc.,5.72%
6,"Mondelez International, Inc. Class A",3.88%
7,Altria Group Inc,3.81%
8,Colgate-Palmolive Company,3.01%
9,Kimberly-Clark Corporation,2.53%
10,Estee Lauder Companies Inc. Class A,2.17%
11,"General Mills, Inc.",1.82%
12,Monster Beverage Corporation,1.57%
13,"Constellation Brands, Inc. Class A",1.42%
14,Walgreens Boots Alliance Inc,1.40%
15,Kroger Co.,1.35%
16,Clorox Company,1.33%
17,Sysco Corporation,1.31%
18,"McCormick & Company, Incorporated",1.18%
19,Archer-Daniels-Midland Company,1.15%
20,"Church & Dwight Co., Inc.",1.12%
21,Kraft Heinz Company,1.09%
22,Brown-Forman Corporation Class B,1.05%
23,Hershey Company,1.03%
24,"Tyson Foods, Inc. Class A",0.87%
25,"Conagra Brands, Inc.",0.87%
26,Kellogg Company,0.83%
27,Hormel Foods Corporation,0.73%
28,J.M. Smucker Company,0.60%
29,Keurig Dr Pepper Inc.,0.48%
30,Campbell Soup Company,0.45%
31,"Lamb Weston Holdings, Inc.",0.42%
32,"Boston Beer Company, Inc. Class A",0.37%
33,Molson Coors Beverage Company Class B,0.33%
34,Bunge Limited,0.31%
35,"Casey's General Stores, Inc.",0.31%
36,"BJ's Wholesale Club Holdings, Inc.",0.30%
37,"Post Holdings, Inc.",0.27%
38,Darling Ingredients Inc.,0.25%
39,Ingredion Incorporated,0.25%
40,"Flowers Foods, Inc.",0.23%
41,Herbalife Nutrition Ltd.,0.23%
42,US Foods Holding Corp.,0.23%
43,State Str Instl Invt Tr Treaplu Inv Cl G,0.22%
44,Freshpet Inc,0.21%
45,Performance Food Group Company,0.20%
46,Lancaster Colony Corporation,0.15%
47,"Beyond Meat, Inc.",0.15%
48,Energizer Holdings Inc,0.14%
49,"Hain Celestial Group, Inc.",0.13%
50,Grocery Outlet Holding Corp.,0.13%
51,"Sprouts Farmers Markets, Inc.",0.13%
52,WD-40 Company,0.13%
53,"Nu Skin Enterprises, Inc. Class A",0.12%
54,"TreeHouse Foods, Inc.",0.11%
55,"Spectrum Brands Holdings, Inc.",0.11%
56,"Sanderson Farms, Inc.",0.11%
57,Simply Good Foods Co,0.10%
58,J & J Snack Foods Corp.,0.09%
59,"B&G Foods, Inc.",0.09%
60,"Medifast, Inc.",0.08%
61,"Hostess Brands, Inc. Class A",0.07%
62,Central Garden & Pet Company Class A,0.07%
63,Edgewell Personal Care Co.,0.07%
64,"PriceSmart, Inc.",0.07%
65,"Coca-Cola Consolidated, Inc.",0.06%
66,"Cal-Maine Foods, Inc.",0.06%
67,Vector Group Ltd.,0.06%
68,Coty Inc. Class A,0.05%
69,Universal Corp,0.05%
70,"USANA Health Sciences, Inc.",0.05%
71,"Calavo Growers, Inc.",0.05%
72,"United Natural Foods, Inc.",0.05%
73,Pilgrim's Pride Corporation,0.05%
74,"Weis Markets, Inc.",0.04%
75,National Beverage Corp.,0.04%
76,Seaboard Corporation,0.04%
77,"BellRing Brands, Inc. Class A",0.04%
78,"Inter Parfums, Inc.",0.03%
79,"John B. Sanfilippo & Son, Inc.",0.03%
80,Rite Aid Corporation,0.03%
81,SpartanNash Company,0.03%
82,Fresh Del Monte Produce Inc.,0.03%
83,"e.l.f. Beauty, Inc.",0.03%
84,"Ingles Markets, Incorporated Class A",0.03%
85,"Tootsie Roll Industries, Inc.",0.03%
86,"Andersons, Inc.",0.03%
87,"MGP Ingredients, Inc.",0.02%
88,"Chefs' Warehouse, Inc.",0.02%
89,Central Garden & Pet Company,0.02%
90,Turning Point Brands Inc,0.02%
91,Landec Corporation,0.01%
92,U.S. Dollar,0.01%
93,"Village Super Market, Inc. Class A",0.01%
