,Name,Allocation
0,Nestle S.A.,2.06%
1,Roche Holding AG,1.48%
2,Novartis AG,0.97%
3,LVMH Moet Hennessy Louis Vuitton SE,0.73%
4,SAP SE,0.71%
5,Novo Nordisk A/S Class B,0.71%
6,AstraZeneca PLC,0.67%
7,L'Oreal SA,0.65%
8,Sanofi,0.61%
9,Royal Bank of Canada,0.56%
10,Constellation Software Inc.,0.53%
11,GlaxoSmithKline plc,0.53%
12,adidas AG,0.52%
13,ASML Holding NV,0.52%
14,"Shopify, Inc. Class A",0.50%
15,CSL Limited,0.49%
16,Unilever NV,0.48%
17,Royal Ahold Delhaize N.V.,0.48%
18,Deutsche Post AG,0.47%
19,Empire Co. Ltd. Class A,0.46%
20,Hermes International SCA,0.46%
21,Commonwealth Bank of Australia,0.45%
22,HOYA CORPORATION,0.45%
23,Partners Group Holding AG,0.45%
24,Toyota Motor Corp.,0.44%
25,Ferguson Plc,0.44%
26,Unilever PLC,0.43%
27,AIA Group Limited,0.43%
28,Woolworths Group Ltd,0.43%
29,Admiral Group plc,0.42%
30,Toronto-Dominion Bank,0.42%
31,Total SE,0.41%
32,Allianz SE,0.40%
33,Sony Corporation,0.40%
34,Hong Kong Exchanges & Clearing Ltd.,0.39%
35,Iberdrola SA,0.39%
36,Kuehne & Nagel International AG,0.38%
37,Atos SE,0.38%
38,"Recruit Holdings Co., Ltd.",0.37%
39,Ipsen SA,0.37%
40,Siemens AG,0.37%
41,WSP Global Inc.,0.36%
42,Auto Trader Group PLC,0.36%
43,"Nitori Holdings Co., Ltd.",0.36%
44,British American Tobacco p.l.c.,0.34%
45,Fujitsu Limited,0.34%
46,Nippon Telegraph and Telephone Corporation,0.34%
47,"NTT DoCoMo, Inc.",0.34%
48,Koninklijke Philips N.V.,0.33%
49,Cochlear Limited,0.33%
50,Coloplast A/S Class B,0.32%
51,Hargreaves Lansdown plc,0.31%
52,Bayer AG,0.31%
53,Diageo plc,0.31%
54,Wesfarmers Limited,0.31%
55,Enel SpA,0.30%
56,Deutsche Boerse AG,0.30%
57,J Sainsbury plc,0.30%
58,Zalando SE,0.30%
59,A.P. Moller - Maersk A/S Class B,0.29%
60,Actividades de Construccion y Servicios SA,0.29%
61,Schneider Electric SE,0.29%
62,Itochu Corporation,0.29%
63,Wolters Kluwer NV,0.29%
64,Astellas Pharma Inc.,0.29%
65,Swedish Match AB,0.29%
66,Danone SA,0.29%
67,"Shiseido Company,Limited",0.29%
68,Singapore Exchange Ltd.,0.29%
69,STMicroelectronics NV,0.29%
70,"Honda Motor Co., Ltd.",0.28%
71,Bluescope Steel Limited,0.28%
72,A.P. Moller - Maersk A/S Class A,0.28%
73,ArcelorMittal SA,0.28%
74,Straumann Holding AG,0.28%
75,Kao Corp.,0.28%
76,Royal Dutch Shell Plc Class A,0.28%
77,"Industria de Diseno Textil, S.A.",0.28%
78,Coles Group Ltd.,0.27%
79,KDDI Corporation,0.27%
80,Sage Group plc,0.27%
81,Capgemini SE,0.27%
82,Ferrari NV,0.27%
83,Cenovus Energy Inc.,0.27%
84,"ZOZO, Inc.",0.27%
85,Magna International Inc.,0.27%
86,Rio Tinto plc,0.27%
87,Air Liquide SA,0.27%
88,"Daiichi Sankyo Company, Limited",0.26%
89,"Welcia Holdings Co., Ltd.",0.26%
90,George Weston Limited,0.26%
91,BNP Paribas SA Class A,0.26%
92,Tokyo Electron Ltd.,0.26%
93,VINCI SA,0.26%
94,Beiersdorf AG,0.25%
95,London Stock Exchange Group plc,0.25%
96,PUMA SE,0.25%
97,NEC Corp.,0.25%
98,SGS SA,0.25%
99,Smith & Nephew plc,0.25%
100,NICE Ltd,0.25%
101,Deutsche Telekom AG,0.25%
102,Orion Oyj Class B,0.24%
103,Wilmar International Limited,0.24%
104,Next plc,0.24%
105,Olympus Corp.,0.24%
106,Burberry Group plc,0.24%
107,"MonotaRO Co., Ltd.",0.23%
