,Name,Allocation
0,Bancolombia S.A. Sponsored ADR Pfd,13.78%
1,Ecopetrol SA Sponsored ADR,12.77%
2,Interconexion Electrica SA ESP,11.07%
3,Bancolombia S.A.,7.59%
4,GRUPO ENERGIA BOGOTA S.A. E.S.P,4.55%
5,Banco Davivienda SA Pfd,4.30%
6,Celsia SA ESP,4.18%
7,Corporacion Financiera Colombiana SA,4.13%
8,Grupo de Inversiones Suramericana S.A.,4.11%
9,Grupo Nutresa S.A.,3.73%
10,Grupo Aval Acciones y Valores SA Sponsored ADR Pfd,3.56%
11,Banco de Bogota SA,3.52%
12,Grupo Argos S.A.,3.33%
13,Cementos Argos SA,3.28%
14,Canacol Energy Ltd.,3.27%
15,Empresas Copec S.A.,2.88%
16,Enel Americas S.A.,2.14%
17,Tecnoglass Inc.,1.80%
18,Cementos Argos SA Pfd Registered Shs,1.67%
19,Grupo Argos SA Pfd,1.61%
20,CEMEX Latam Holdings SA,1.30%
21,Grupo Aval Acciones y Valores SA Pfd,0.94%
22,Grupo de Inversiones Suramericana SA Pfd,0.33%
23,U.S. Dollar,0.14%
