,Name,Allocation
0,CORPORATE BOND,1.37%
1,U.S. Dollar,0.95%
2,Southern Gas Corridor CJSC 6.875% 24-MAR-2026,0.68%
3,Teva Pharmaceutical Finance Netherlands III BV 3.15% 01-OCT-2026,0.67%
4,SB Capital SA 5.125% 29-OCT-2022,0.63%
5,Teva Pharmaceutical Finance Netherlands III BV 2.8% 21-JUL-2023,0.62%
6,First Quantum Minerals Ltd. 7.25% 01-APR-2023,0.48%
7,BBVA Bancomer SA Texas Agency 6.75 % Notes 2012-30.9.22 -144A-,0.48%
8,KazMunayGas NC JSC 5.75% 19-APR-2047,0.45%
9,Sasol Financing USA LLC 5.875% 27-MAR-2024,0.44%
10,VTB Capital SA 6.95% 17-OCT-2022,0.43%
11,Petroleos Mexicanos SA 7.69% 23-JAN-2050,0.40%
12,First Quantum Minerals Ltd. 7.5% 01-APR-2025,0.40%
13,YPF SA 8.5% 28-JUL-2025,0.39%
14,Teva Pharmaceutical Finance Netherlands III BV 4.1% 01-OCT-2046,0.38%
15,China Evergrande Group 8.75% 28-JUN-2025,0.38%
16,YPF SA 8.75% 04-APR-2024,0.37%
17,OCP SA 5.625% 25-APR-2024,0.36%
18,Nanyang Commercial Bank (China) Ltd. 5.0% PERP,0.36%
19,Yapi ve Kredi Bankasi A.S. 5.5% 06-DEC-2022,0.35%
20,Kazakhstan Temir Zholy Finance BV 6.95% 10-JUL-2042,0.35%
21,CEMEX SAB de CV 7.75% 16-APR-2026,0.35%
22,Bangkok Bank PCL (Vietnam) 3.733% 25-SEP-2034,0.34%
23,Emirates NBD PJSC Notes 2019-Without Fixed Maturity Reg S Fixed/Variable Rate,0.33%
24,Eskom Holdings SOC Ltd. 7.125% 11-FEB-2025,0.32%
25,ABJA Investment Co. Pte Ltd. 5.95% 31-JUL-2024,0.32%
26,KazMunayGas NC JSC 4.75% 19-APR-2027,0.32%
27,CEMEX SAB de CV 5.7% 11-JAN-2025,0.32%
28,Turkiye Is Bankasi Anonim Sirketi 6.125% 25-APR-2024,0.32%
29,Petroleos Mexicanos SA 6.75% 21-SEP-2047,0.32%
30,State Oil Company of Azerbaijan Republic 4.75% 13-MAR-2023,0.32%
31,Grupo Aval Ltd. 4.75% 26-SEP-2022,0.31%
32,Network i2i Ltd. 5.65% PERP,0.31%
33,VEON Holdings BV 4.0% 09-APR-2025,0.31%
34,Oil & Gas Holding Co. BSC 7.5% 25-OCT-2027,0.31%
35,BBVA Bancomer SA Texas Agency Notes 2018-18.01.33 Global -144A- Fixed/Floating Rate,0.31%
36,China Cinda Asset Management Co Ltd Notes 2016-open end Fixed/Floating Rate,0.30%
37,Wynn Macau Ltd. 5.125% 15-DEC-2029,0.30%
38,First Quantum Minerals Ltd. 6.875% 01-MAR-2026,0.30%
39,Melco Resorts Finance Ltd. 4.875% 06-JUN-2025,0.29%
40,Teva Pharmaceutical Finance Netherlands III BV 6.75% 01-MAR-2028,0.29%
41,OCP SA 4.5% 22-OCT-2025,0.29%
42,Banco de Bogota SA 6.25% 12-MAY-2026,0.29%
