,Name,Allocation
0,Amgen Inc.,8.31%
1,Vertex Pharmaceuticals Incorporated,7.47%
2,"Gilead Sciences, Inc.",6.79%
3,"Regeneron Pharmaceuticals, Inc.",6.61%
4,"Illumina, Inc.",5.53%
5,Biogen Inc.,3.61%
6,"Seattle Genetics, Inc.",2.98%
7,"Moderna, Inc.",2.86%
8,"Alexion Pharmaceuticals, Inc.",2.42%
9,Incyte Corporation,2.25%
10,Horizon Therapeutics Public Limited Company,1.78%
11,"Alnylam Pharmaceuticals, Inc",1.70%
12,BioMarin Pharmaceutical Inc.,1.47%
13,Sanofi Sponsored ADR,1.22%
14,"Sarepta Therapeutics, Inc.",1.19%
15,"Neurocrine Biosciences, Inc.",1.14%
16,"BeiGene, Ltd. Sponsored ADR",1.08%
17,Bio-Techne Corporation,1.07%
18,"Immunomedics, Inc.",1.05%
19,"Guardant Health, Inc.",0.96%
20,Mylan N.V.,0.92%
21,NovoCure Ltd.,0.86%
22,"Ionis Pharmaceuticals, Inc.",0.80%
23,Jazz Pharmaceuticals Plc,0.75%
24,"Exelixis, Inc.",0.75%
25,Ascendis Pharma A/S Sponsored ADR,0.72%
26,"PRA Health Sciences, Inc.",0.71%
27,Mirati Therapeutics Inc.,0.68%
28,CRISPR Therapeutics AG,0.68%
29,argenx SE ADR,0.68%
30,"Syneos Health, Inc. Class A",0.67%
31,"Momenta Pharmaceuticals, Inc.",0.67%
32,ACADIA Pharmaceuticals Inc.,0.66%
33,Acceleron Pharma Inc,0.61%
34,Adaptive Biotechnologies Corp.,0.60%
35,"MyoKardia, Inc.",0.57%
36,"Ultragenyx Pharmaceutical, Inc.",0.57%
37,"Allogene Therapeutics, Inc.",0.55%
38,United Therapeutics Corporation,0.51%
39,"Medpace Holdings, Inc.",0.48%
40,"Arrowhead Pharmaceuticals, Inc.",0.48%
41,Zai Lab Ltd. Sponsored ADR,0.47%
42,"Allakos, Inc.",0.47%
43,Iovance Biotherapeutics Inc,0.45%
44,"China Biologic Products Holdings, Inc.",0.44%
45,Blueprint Medicines Corp.,0.44%
46,Global Blood Therapeutics Inc,0.43%
47,"Halozyme Therapeutics, Inc.",0.42%
48,"bluebird bio, Inc.",0.42%
49,"Arena Pharmaceuticals, Inc.",0.41%
50,"Amicus Therapeutics, Inc.",0.41%
51,"Chemocentryx, Inc.",0.41%
52,"FibroGen, Inc.",0.40%
53,Denali Therapeutics Inc.,0.38%
54,"BridgeBio Pharma, Inc.",0.37%
55,Nektar Therapeutics,0.37%
56,"OPKO Health, Inc.",0.36%
57,"Principia Biopharma, Inc.",0.36%
58,GW Pharmaceuticals PLC Sponsored ADR,0.35%
59,"Fate Therapeutics, Inc.",0.34%
60,"PTC Therapeutics, Inc.",0.33%
61,"Reata Pharmaceuticals, Inc. Class A",0.33%
62,"Axsome Therapeutics, Inc.",0.32%
63,"Turning Point Therapeutics, Inc.",0.32%
64,Alkermes Plc,0.31%
65,Insmed Incorporated,0.31%
66,Twist Bioscience Corp.,0.30%
67,"Agios Pharmaceuticals, Inc.",0.30%
68,"SAGE Therapeutics, Inc.",0.29%
69,"Pacira Biosciences, Inc.",0.28%
70,Amarin Corporation Plc Sponsored ADR,0.27%
71,"Deciphera Pharmaceuticals, Inc.",0.27%
72,"Inovio Pharmaceuticals, Inc.",0.25%
73,"Apellis Pharmaceuticals, Inc.",0.25%
74,"Editas Medicine, Inc.",0.24%
75,"Karuna Therapeutics, Inc.",0.24%
