,Name,Allocation
0,"Lithia Motors, Inc. Class A",1.53%
1,"Wingstop, Inc.",1.29%
2,"NeoGenomics, Inc.",1.17%
3,Fox Factory Holding Corp.,1.16%
4,"Exponent, Inc.",1.13%
5,"Kinsale Capital Group, Inc.",1.11%
6,"Simpson Manufacturing Co., Inc.",1.03%
7,"Brooks Automation, Inc.",1.00%
8,"UFP Industries, Inc.",1.00%
9,"Momenta Pharmaceuticals, Inc.",0.99%
10,"LivePerson, Inc.",0.98%
11,Agree Realty Corporation,0.95%
12,"Saia, Inc.",0.91%
13,"Power Integrations, Inc.",0.90%
14,"Medpace Holdings, Inc.",0.89%
15,"YETI Holdings, Inc.",0.89%
16,Balchem Corporation,0.86%
17,John Bean Technologies Corporation,0.84%
18,LCI Industries,0.82%
19,"Aerojet Rocketdyne Holdings, Inc.",0.81%
20,Viavi Solutions Inc,0.80%
21,UniFirst Corporation,0.77%
22,"Advanced Energy Industries, Inc.",0.77%
23,American States Water Company,0.75%
24,Cogent Communications Holdings Inc,0.74%
25,"SPS Commerce, Inc.",0.73%
26,WD-40 Company,0.72%
27,"Crocs, Inc.",0.69%
28,Innovative Industrial Properties Inc,0.69%
29,"Watts Water Technologies, Inc. Class A",0.68%
30,Fabrinet,0.68%
31,Neogen Corporation,0.68%
32,"LGI Homes, Inc.",0.66%
33,"Alarm.com Holdings, Inc.",0.66%
34,Stamps.com Inc.,0.65%
35,"AAON, Inc.",0.63%
36,CONMED Corporation,0.62%
37,"Itron, Inc.",0.61%
38,ESCO Technologies Inc.,0.61%
39,"Franklin Electric Co., Inc.",0.60%
40,"M.D.C. Holdings, Inc.",0.60%
41,"ExlService Holdings, Inc.",0.59%
42,Plexus Corp.,0.59%
43,"Proto Labs, Inc.",0.58%
44,Rogers Corporation,0.58%
45,"FormFactor, Inc.",0.57%
46,"EVERTEC, Inc.",0.56%
47,Diodes Incorporated,0.55%
48,Meritage Homes Corporation,0.54%
49,"Winnebago Industries, Inc.",0.53%
50,ManTech International Corporation Class A,0.53%
51,J & J Snack Foods Corp.,0.52%
52,Federal Signal Corporation,0.52%
53,"Shake Shack, Inc. Class A",0.51%
54,"Medifast, Inc.",0.51%
55,"SPX Flow, Inc.",0.50%
56,SPX Corporation,0.50%
57,Innospec Inc.,0.49%
58,"Installed Building Products, Inc.",0.49%
59,"Omnicell, Inc.",0.48%
60,"eHealth, Inc.",0.47%
61,"Pacira Biosciences, Inc.",0.47%
62,"Ensign Group, Inc.",0.47%
63,Callaway Golf Company,0.47%
64,PennyMac Mortgage Investment Trust,0.46%
65,"Community Bank System, Inc.",0.46%
66,"Cavco Industries, Inc.",0.46%
67,"8x8, Inc.",0.45%
68,ServisFirst Bancshares Inc,0.45%
69,"Palomar Holdings, Inc.",0.45%
70,Progress Software Corporation,0.44%
71,Glaukos Corp,0.43%
72,Forward Air Corporation,0.43%
73,Brady Corporation Class A,0.42%
74,"Essential Properties Realty Trust, Inc.",0.41%
75,Lexington Realty Trust,0.41%
76,"Walker & Dunlop, Inc.",0.41%
77,"Steven Madden, Ltd.",0.41%
78,Albany International Corp. Class A,0.41%
79,California Water Service Group,0.41%
80,Rent-A-Center Inc,0.41%
81,"Chart Industries, Inc.",0.41%
82,Allegiant Travel Company,0.41%
83,"Gibraltar Industries, Inc.",0.40%
84,NIC Inc.,0.40%
85,Vicor Corporation,0.39%
86,Xperi Holding Corporation,0.39%
87,"Perficient, Inc.",0.39%
88,"CSG Systems International, Inc.",0.38%
89,"BioTelemetry, Inc.",0.38%
90,"South Jersey Industries, Inc.",0.38%
91,Shenandoah Telecommunications Company,0.38%
92,Cleveland-Cliffs Inc,0.38%
93,HMS Holdings Corp.,0.38%
94,H.B. Fuller Company,0.38%
95,Corcept Therapeutics Incorporated.,0.37%
96,"Patrick Industries, Inc.",0.37%
97,American Woodmark Corporation,0.37%
98,"NMI Holdings, Inc. Class A",0.36%
99,"Applied Industrial Technologies, Inc.",0.36%
100,Independent Bank Corp.,0.35%
101,Iridium Communications Inc.,0.35%
102,"Comfort Systems USA, Inc.",0.35%
103,Addus HomeCare Corporation,0.35%
104,Sleep Number Corporation,0.35%
105,"AMN Healthcare Services, Inc.",0.34%
106,Tennant Company,0.34%
107,"Dorman Products, Inc.",0.34%
108,Stepan Company,0.34%
109,"Coca-Cola Consolidated, Inc.",0.33%
110,"OSI Systems, Inc.",0.33%
111,Virtusa Corporation,0.32%
112,Vonage Holdings Corp.,0.32%
113,"Badger Meter, Inc.",0.31%
114,National Storage Affiliates Trust,0.31%
115,"Cardiovascular Systems, Inc.",0.31%
116,"Mueller Industries, Inc.",0.30%
117,Barnes Group Inc.,0.30%
118,Griffon Corporation,0.30%
119,CVB Financial Corp.,0.30%
120,"U.S. Physical Therapy, Inc.",0.29%
121,"Bottomline Technologies (de), Inc.",0.29%
122,Glu Mobile Inc.,0.29%
123,Arconic Corp.,0.29%
124,Select Medical Holdings Corporation,0.29%
125,Alamo Group Inc.,0.28%
126,Pennant Group Inc,0.28%
127,Matador Resources Company,0.28%
128,"Ultra Clean Holdings, Inc.",0.28%
129,"TTEC Holdings, Inc.",0.27%
130,"Asbury Automotive Group, Inc.",0.27%
131,"Four Corners Property Trust, Inc.",0.27%
132,"Insight Enterprises, Inc.",0.27%
133,"Easterly Government Properties, Inc.",0.27%
134,"Virtus Investment Partners, Inc.",0.27%
135,"AeroVironment, Inc.",0.27%
136,"Schweitzer-Mauduit International, Inc.",0.26%
137,"Xencor, Inc.",0.26%
138,"Community Healthcare Trust, Inc.",0.26%
139,"United Community Banks, Inc.",0.26%
140,PRA Group Inc,0.25%
141,"Shutterstock, Inc.",0.25%
142,"Meritor, Inc.",0.25%
143,"REGENXBIO, Inc.",0.25%
144,James River Group Holdings Ltd,0.25%
145,Knowles Corp.,0.24%
146,iRobot Corporation,0.24%
147,"TechTarget, Inc.",0.24%
148,"Cytokinetics, Incorporated",0.24%
149,Washington Real Estate Investment Trust,0.23%
150,"Innoviva, Inc.",0.23%
151,CareTrust REIT Inc,0.23%
152,Monro Inc,0.23%
153,"Raven Industries, Inc.",0.23%
154,"Dine Brands Global, Inc.",0.23%
155,Universal Health Realty Income Trust,0.23%
156,Moog Inc. Class A,0.23%
157,Westamerica Bancorporation,0.23%
158,"Coherus BioSciences, Inc.",0.23%
159,"Onto Innovation, Inc.",0.23%
160,"Axos Financial, Inc.",0.22%
161,Rambus Inc.,0.22%
162,Northwest Natural Holding Co.,0.21%
163,"Enanta Pharmaceuticals, Inc.",0.21%
164,Vector Group Ltd.,0.20%
165,MaxLinear inc,0.20%
166,"LTC Properties, Inc.",0.20%
167,"Inter Parfums, Inc.",0.20%
168,"Kulicke & Soffa Industries, Inc.",0.20%
169,"Methode Electronics, Inc.",0.20%
170,"Simulations Plus, Inc.",0.20%
171,"American Assets Trust, Inc.",0.20%
172,"Bloomin' Brands, Inc.",0.19%
173,"PDC Energy, Inc.",0.19%
174,"John B. Sanfilippo & Son, Inc.",0.19%
175,"First Hawaiian, Inc.",0.19%
176,"Hanger, Inc.",0.19%
177,LaZBoy Incorporated,0.19%
178,"Boot Barn Holdings, Inc.",0.19%
179,Cubic Corporation,0.19%
180,Retail Opportunity Investments Corp.,0.19%
181,CorVel Corporation,0.19%
182,"Flagstar Bancorp, Inc.",0.19%
183,Ameris Bancorp,0.19%
184,Brandywine Realty Trust,0.19%
185,St. Joe Company,0.18%
186,"M/I Homes, Inc.",0.18%
187,Safehold Inc.,0.18%
188,NexPoint Residential Trust Inc,0.18%
189,Gentherm Incorporated,0.18%
190,NBT Bancorp Inc.,0.18%
191,OneSpan Inc.,0.18%
192,"RadNet, Inc.",0.18%
193,"Sykes Enterprises, Incorporated",0.18%
194,"Supernus Pharmaceuticals, Inc.",0.18%
195,Investors Real Estate Trust,0.17%
196,Kaiser Aluminum Corporation,0.17%
197,Materion Corporation,0.17%
198,"PriceSmart, Inc.",0.17%
199,Encore Wire Corporation,0.17%
200,3D Systems Corporation,0.17%
201,"QuinStreet, Inc.",0.17%
202,"Ichor Holdings, Ltd.",0.17%
203,"Independence Realty Trust, Inc.",0.17%
204,MicroStrategy Incorporated Class A,0.17%
205,"Marten Transport, Ltd.",0.17%
206,Diebold Nixdorf Incorporated,0.16%
207,Veeco Instruments Inc.,0.16%
208,"Meta Financial Group, Inc.",0.16%
209,Universal Electronics Inc.,0.16%
210,National Bank Holdings Corporation Class A,0.16%
211,City Holding Company,0.16%
212,GMS Inc.,0.16%
213,"Community Health Systems, Inc.",0.16%
214,"Mesa Laboratories, Inc.",0.16%
215,"AMERISAFE, Inc.",0.16%
216,"Calavo Growers, Inc.",0.16%
217,Harmonic Inc.,0.16%
218,Seacoast Banking Corporation of Florida,0.15%
219,"CIRCOR International, Inc.",0.15%
220,"Helix Energy Solutions Group, Inc.",0.15%
221,Deluxe Corporation,0.15%
222,Acadia Realty Trust,0.15%
223,First Bancorp,0.15%
224,Harsco Corporation,0.15%
225,Carpenter Technology Corporation,0.15%
226,"Extreme Networks, Inc.",0.14%
227,Getty Realty Corp.,0.14%
228,"Anika Therapeutics, Inc.",0.14%
229,Koppers Holdings Inc.,0.14%
230,"Century Communities, Inc.",0.14%
231,"FARO Technologies, Inc.",0.14%
232,Cardtronics plc Class A,0.14%
233,"Agilysys, Inc.",0.14%
234,DMC Global Inc.,0.14%
235,Preferred Bank,0.14%
236,"Safety Insurance Group, Inc.",0.14%
237,Piper Sandler Companies,0.13%
238,"BrightSphere Investment Group, Inc.",0.13%
239,"Retail Properties of America, Inc. Class A",0.13%
240,"CEVA, Inc.",0.13%
241,Enerpac Tool Group Corp Class A,0.13%
242,Lindsay Corporation,0.13%
243,"LeMaitre Vascular, Inc.",0.13%
244,ePlus inc.,0.13%
245,Lantheus Holdings Inc,0.13%
246,Enova International Inc,0.13%
247,"RE/MAX Holdings, Inc.",0.13%
248,"Independent Bank Group, Inc.",0.13%
249,Zumiez Inc.,0.12%
250,Tompkins Financial Corporation,0.12%
251,Heska Corporation,0.12%
252,"US Ecology, Inc.",0.12%
253,Park National Corporation,0.12%
254,"America's Car-Mart, Inc.",0.12%
255,"Heartland Express, Inc.",0.12%
256,Perdoceo Education Corporation,0.12%
257,"Triumph Bancorp, Inc.",0.12%
258,First Commonwealth Financial Corporation,0.12%
259,BancFirst Corporation,0.11%
260,"CryoLife, Inc.",0.11%
261,"Axcelis Technologies, Inc.",0.11%
262,Comtech Telecommunications Corp.,0.11%
263,"Eagle Pharmaceuticals, Inc.",0.11%
264,"Veritex Holdings, Inc.",0.11%
265,Core Laboratories NV,0.11%
266,Digi International Inc.,0.10%
267,Granite Point Mortgage Trust Inc.,0.10%
268,BlackRock Cash Funds Treasury SL Agency Shares,0.10%
269,"Tabula Rasa Healthcare, Inc.",0.10%
270,National Beverage Corp.,0.10%
271,"PDF Solutions, Inc.",0.10%
272,"Tactile Systems Technology, Inc.",0.10%
273,"Ebix, Inc.",0.10%
274,CTS Corporation,0.10%
275,"Benchmark Electronics, Inc.",0.10%
276,"Dave & Buster's Entertainment, Inc.",0.10%
277,"Alexander & Baldwin, Inc.",0.10%
278,"NextGen Healthcare, Inc.",0.10%
279,"HealthStream, Inc.",0.09%
280,Amphastar Pharmaceuticals Inc,0.09%
281,"Triumph Group, Inc.",0.09%
282,Neenah Inc,0.09%
283,Surmodics Inc,0.09%
284,Vanda Pharmaceuticals Inc.,0.09%
285,"Inogen, Inc.",0.09%
