,Name,Allocation
0,Toyota Motor Corp.,2.30%
1,AIA Group Limited,1.85%
2,Sony Corporation,1.71%
3,CSL Limited,1.62%
4,SoftBank Group Corp.,1.53%
5,Commonwealth Bank of Australia,1.41%
6,BHP Group Ltd,1.32%
7,Keyence Corporation,1.29%
8,Takeda Pharmaceutical Co. Ltd.,0.96%
9,"Nintendo Co., Ltd.",0.95%
10,Hong Kong Exchanges & Clearing Ltd.,0.94%
11,KDDI Corporation,0.91%
12,"Daiichi Sankyo Company, Limited",0.83%
13,"Mitsubishi UFJ Financial Group, Inc.",0.81%
14,"Recruit Holdings Co., Ltd.",0.78%
15,"DAIKIN INDUSTRIES, LTD.",0.72%
16,Tokyo Electron Ltd.,0.69%
17,HOYA CORPORATION,0.69%
18,Westpac Banking Corporation,0.68%
19,Shin-Etsu Chemical Co Ltd,0.67%
20,National Australia Bank Limited,0.65%
21,Fanuc Corporation,0.65%
22,"Honda Motor Co., Ltd.",0.63%
23,"NTT DoCoMo, Inc.",0.63%
24,Kao Corp.,0.63%
25,"Sumitomo Mitsui Financial Group, Inc.",0.62%
26,Wesfarmers Limited,0.61%
27,Nidec Corporation,0.60%
28,Woolworths Group Ltd,0.59%
29,Australia and New Zealand Banking Group Limited,0.59%
30,"FAST RETAILING CO., LTD.",0.57%
31,"Hitachi,Ltd.",0.55%
32,"Murata Manufacturing Co., Ltd.",0.54%
33,SMC Corporation,0.54%
34,Nippon Telegraph and Telephone Corporation,0.53%
35,Astellas Pharma Inc.,0.53%
36,"M3, Inc.",0.52%
37,"Mizuho Financial Group, Inc.",0.51%
38,"Chugai Pharmaceutical Co., Ltd.",0.50%
39,"Tokio Marine Holdings, Inc.",0.49%
40,Itochu Corporation,0.49%
41,Fujitsu Limited,0.47%
42,Macquarie Group Limited,0.47%
43,"Oriental Land Co., Ltd.",0.47%
44,"Mitsui & Co.,Ltd",0.45%
45,DBS Group Holdings Ltd,0.44%
46,Terumo Corporation,0.43%
47,Rio Tinto Limited,0.43%
48,Mitsubishi Corporation,0.43%
49,"Seven & I Holdings Co., Ltd.",0.41%
50,Transurban Group Ltd.,0.41%
51,SoftBank Corp.,0.40%
52,Olympus Corp.,0.40%
