,Name,Allocation
0,"Medical Properties Trust, Inc.",1.48%
1,U.S. Dollar,1.22%
2,"Cree, Inc.",1.04%
3,UGI Corporation,0.97%
4,"XPO Logistics, Inc.",0.95%
5,OGE Energy Corp.,0.92%
6,"Thor Industries, Inc.",0.87%
7,Lear Corporation,0.84%
8,AECOM,0.81%
9,Ingredion Incorporated,0.81%
10,"Reinsurance Group of America, Incorporated",0.80%
11,First American Financial Corporation,0.79%
12,"Arrow Electronics, Inc.",0.78%
13,Signature Bank,0.76%
14,Sonoco Products Company,0.72%
15,"Prosperity Bancshares, Inc.(R)",0.72%
16,SYNNEX Corporation,0.71%
17,First Horizon National Corporation,0.71%
18,"BJ's Wholesale Club Holdings, Inc.",0.69%
19,United Therapeutics Corporation,0.68%
20,"East West Bancorp, Inc.",0.68%
21,II-VI Incorporated,0.68%
22,Kemper Corporation,0.67%
23,"Molina Healthcare, Inc.",0.67%
24,Old Republic International Corporation,0.64%
25,Darling Ingredients Inc.,0.64%
26,"Ashland Global Holdings, Inc.",0.63%
27,"Essential Utilities, Inc.",0.63%
28,"First Solar, Inc.",0.63%
29,"American Financial Group, Inc.",0.63%
30,"Flowers Foods, Inc.",0.61%
31,"Penn National Gaming, Inc.",0.61%
32,PTC Inc.,0.59%
33,RPM International Inc.,0.59%
34,"Grand Canyon Education, Inc.",0.58%
35,TCF Financial Corporation,0.58%
36,"Legg Mason, Inc.",0.58%
37,"Cullen/Frost Bankers, Inc.",0.57%
38,"Omega Healthcare Investors, Inc.",0.56%
39,ManpowerGroup Inc.,0.56%
40,"Harley-Davidson, Inc.",0.55%
41,Camden Property Trust,0.55%
42,"Acuity Brands, Inc.",0.55%
43,Equitrans Midstream Corp.,0.55%
44,"Hanover Insurance Group, Inc.",0.54%
45,"Mattel, Inc.",0.54%
46,"Southwest Gas Holdings, Inc.",0.53%
47,"Interactive Brokers Group, Inc. Class A",0.53%
48,"Watsco, Inc.",0.53%
49,Service Corporation International,0.53%
50,Alleghany Corporation,0.52%
51,Regal Beloit Corp,0.52%
52,EQT Corporation,0.52%
53,National Fuel Gas Company,0.51%
54,Jefferies Financial Group Inc.,0.51%
55,Encompass Health Corporation,0.50%
56,Ciena Corporation,0.48%
57,JBG SMITH Properties,0.47%
58,"CyrusOne, Inc.",0.47%
59,"United Bankshares, Inc.",0.47%
60,"Affiliated Managers Group, Inc.",0.45%
61,"Selective Insurance Group, Inc.",0.45%
62,Janus Henderson Group PLC,0.45%
63,"Ceridian HCM Holding, Inc.",0.44%
64,Lennox International Inc.,0.44%
65,Spire Inc.,0.44%
66,"Sprouts Farmers Markets, Inc.",0.43%
67,"Stericycle, Inc.",0.43%
68,"Post Holdings, Inc.",0.43%
69,"ALLETE, Inc.",0.43%
70,Owens Corning,0.43%
71,"Foot Locker, Inc.",0.43%
72,Chemours Co.,0.42%
73,Taylor Morrison Home Corporation,0.42%
74,"Sabra Health Care REIT, Inc.",0.42%
75,"MSC Industrial Direct Co., Inc. Class A",0.42%
76,"CoreLogic, Inc.",0.41%
77,New Jersey Resources Corporation,0.41%
78,"Dick's Sporting Goods, Inc.",0.41%
79,Synovus Financial Corp.,0.41%
80,"Aptargroup, Inc.",0.41%
81,"AutoNation, Inc.",0.41%
82,"Steel Dynamics, Inc.",0.41%
83,Valley National Bancorp,0.41%
84,"Grubhub, Inc.",0.41%
85,"Hill-Rom Holdings, Inc.",0.40%
86,Bank OZK,0.40%
87,EnerSys,0.40%
88,NorthWestern Corporation,0.40%
89,nVent Electric plc,0.39%
90,"Pinnacle Financial Partners, Inc.",0.39%
91,JetBlue Airways Corporation,0.39%
92,Crane Co.,0.39%
93,Tenet Healthcare Corporation,0.39%
94,"National Retail Properties, Inc.",0.38%
95,Brunswick Corporation,0.38%
96,Nektar Therapeutics,0.37%
97,"Hain Celestial Group, Inc.",0.37%
98,"Brighthouse Financial, Inc.",0.37%
99,Jones Lang LaSalle Incorporated,0.37%
100,"Acadia Healthcare Company, Inc.",0.37%
101,"Avnet, Inc.",0.37%
102,"Cracker Barrel Old Country Store, Inc.",0.36%
103,Ollie's Bargain Outlet Holdings Inc,0.36%
104,"IDACORP, Inc.",0.36%
105,"Commerce Bancshares, Inc.",0.36%
106,"TEGNA, Inc.",0.36%
107,"American Campus Communities, Inc.",0.36%
108,"Home BancShares, Inc.",0.35%
109,"TreeHouse Foods, Inc.",0.34%
110,Kilroy Realty Corporation,0.34%
111,Wintrust Financial Corporation,0.34%
112,Commercial Metals Company,0.34%
113,Webster Financial Corporation,0.34%
114,"Univar Solutions, Inc.",0.34%
115,"New York Community Bancorp, Inc.",0.34%
116,MDU Resources Group Inc,0.34%
117,F.N.B. Corporation,0.33%
118,Umpqua Holdings Corporation,0.33%
119,"Nu Skin Enterprises, Inc. Class A",0.32%
120,"Hudson Pacific Properties, Inc.",0.32%
121,"Patterson Companies, Inc.",0.32%
122,New York Times Company Class A,0.32%
123,Kennametal Inc.,0.31%
124,Rayonier Inc.,0.31%
125,Lamar Advertising Company Class A,0.31%
126,Sensient Technologies Corporation,0.31%
127,National Instruments Corporation,0.31%
128,"Toll Brothers, Inc.",0.31%
129,Oshkosh Corp,0.31%
