,Name,Allocation
0,Apple Inc.,6.87%
1,Microsoft Corporation,5.80%
2,"Amazon.com, Inc.",4.92%
3,"Facebook, Inc. Class A",2.30%
4,Alphabet Inc. Class A,1.69%
5,Alphabet Inc. Class C,1.65%
6,Berkshire Hathaway Inc. Class B,1.43%
7,Johnson & Johnson,1.42%
8,Visa Inc. Class A,1.23%
9,Procter & Gamble Company,1.21%
10,"Home Depot, Inc.",1.08%
11,NVIDIA Corporation,1.06%
12,Mastercard Incorporated Class A,1.06%
13,UnitedHealth Group Incorporated,1.06%
14,JPMorgan Chase & Co.,1.06%
15,Verizon Communications Inc.,0.87%
16,PayPal Holdings Inc,0.83%
17,Walt Disney Company,0.82%
18,Adobe Inc.,0.82%
19,"Netflix, Inc.",0.78%
20,Pfizer Inc.,0.77%
21,"Merck & Co., Inc.",0.77%
22,AT&T Inc.,0.75%
23,Intel Corporation,0.74%
24,Comcast Corporation Class A,0.70%
25,Bank of America Corp,0.70%
26,"PepsiCo, Inc.",0.68%
27,"salesforce.com, inc.",0.67%
28,Walmart Inc.,0.66%
29,Coca-Cola Company,0.65%
30,Abbott Laboratories,0.64%
31,"Cisco Systems, Inc.",0.64%
32,Exxon Mobil Corporation,0.62%
33,"AbbVie, Inc.",0.60%
34,Thermo Fisher Scientific Inc.,0.59%
35,Chevron Corporation,0.56%
36,McDonald's Corporation,0.56%
37,Accenture Plc Class A,0.54%
38,Costco Wholesale Corporation,0.54%
39,Bristol-Myers Squibb Company,0.50%
40,Amgen Inc.,0.50%
41,"NextEra Energy, Inc.",0.49%
42,Medtronic Plc,0.48%
43,"NIKE, Inc. Class B",0.48%
44,Broadcom Inc.,0.47%
45,Danaher Corporation,0.46%
46,Union Pacific Corporation,0.46%
47,Linde plc,0.46%
48,Eli Lilly and Company,0.45%
49,Texas Instruments Incorporated,0.45%
50,QUALCOMM Incorporated,0.44%
51,Philip Morris International Inc.,0.43%
52,"Lowe's Companies, Inc.",0.43%
53,Oracle Corporation,0.41%
54,"United Parcel Service, Inc. Class B",0.40%
55,American Tower Corporation,0.39%
56,Honeywell International Inc.,0.39%
57,International Business Machines Corporation,0.39%
58,Citigroup Inc.,0.37%
59,"Advanced Micro Devices, Inc.",0.35%
60,Lockheed Martin Corporation,0.34%
61,3M Company,0.33%
62,"Charter Communications, Inc. Class A",0.33%
63,Boeing Company,0.32%
64,Starbucks Corporation,0.32%
65,"BlackRock, Inc.",0.32%
66,Raytheon Technologies Corporation,0.32%
67,Wells Fargo & Company,0.32%
68,"Fidelity National Information Services, Inc.",0.31%
69,"S&P Global, Inc.",0.31%
70,"ServiceNow, Inc.",0.31%
71,Intuit Inc.,0.30%
72,CVS Health Corporation,0.30%
73,"Gilead Sciences, Inc.",0.30%
74,"Mondelez International, Inc. Class A",0.29%
75,Altria Group Inc,0.29%
76,"Intuitive Surgical, Inc.",0.29%
77,"Becton, Dickinson and Company",0.27%
78,Target Corporation,0.27%
79,"Prologis, Inc.",0.27%
80,"Zoetis, Inc. Class A",0.27%
81,Caterpillar Inc.,0.27%
82,Booking Holdings Inc.,0.26%
83,"Anthem, Inc.",0.25%
84,Vertex Pharmaceuticals Incorporated,0.25%
85,"Equinix, Inc.",0.25%
86,Crown Castle International Corp,0.24%
87,"T-Mobile US, Inc.",0.24%
88,Colgate-Palmolive Company,0.24%
89,MUTUAL FUND (OTHER),0.24%
90,Cigna Corporation,0.23%
91,Dominion Energy Inc,0.23%
92,"Activision Blizzard, Inc.",0.23%
93,American Express Company,0.23%
94,"Air Products and Chemicals, Inc.",0.23%
95,"Goldman Sachs Group, Inc.",0.22%
96,"Regeneron Pharmaceuticals, Inc.",0.22%
97,CME Group Inc. Class A,0.22%
98,TJX Companies Inc,0.22%
99,Morgan Stanley,0.22%
100,Stryker Corporation,0.22%
101,Deere & Company,0.21%
102,"Automatic Data Processing, Inc.",0.21%
103,Duke Energy Corporation,0.21%
104,"Marsh & McLennan Companies, Inc.",0.21%
105,"Applied Materials, Inc.",0.21%
106,"Intercontinental Exchange, Inc.",0.20%
107,CSX Corporation,0.20%
108,Illinois Tool Works Inc.,0.20%
109,Chubb Limited,0.20%
110,Boston Scientific Corporation,0.20%
111,Southern Company,0.20%
112,General Electric Company,0.20%
113,Humana Inc.,0.20%
114,"Autodesk, Inc.",0.20%
115,"Fiserv, Inc.",0.19%
116,Newmont Corporation,0.19%
117,Sherwin-Williams Company,0.19%
118,Kimberly-Clark Corporation,0.19%
119,Progressive Corporation,0.19%
120,Norfolk Southern Corporation,0.19%
121,Northrop Grumman Corporation,0.19%
122,"Illumina, Inc.",0.19%
123,Lam Research Corporation,0.19%
124,Global Payments Inc.,0.18%
125,FedEx Corporation,0.18%
126,Truist Financial Corporation,0.18%
127,Dollar General Corporation,0.18%
128,U.S. Bancorp,0.17%
129,Edwards Lifesciences Corporation,0.17%
130,Ecolab Inc.,0.17%
131,"Micron Technology, Inc.",0.17%
132,Aon Plc Class A,0.16%
133,Moody's Corporation,0.16%
134,"Roper Technologies, Inc.",0.16%
135,Biogen Inc.,0.16%
136,"PNC Financial Services Group, Inc.",0.16%
137,Estee Lauder Companies Inc. Class A,0.16%
138,"Analog Devices, Inc.",0.15%
139,"Waste Management, Inc.",0.15%
140,Baxter International Inc.,0.15%
141,"Digital Realty Trust, Inc.",0.15%
142,ConocoPhillips,0.15%
143,Electronic Arts Inc.,0.15%
144,"DuPont de Nemours, Inc.",0.15%
145,Emerson Electric Co.,0.14%
146,Eaton Corp. Plc,0.14%
147,"DexCom, Inc.",0.14%
148,Charles Schwab Corporation,0.14%
149,"American Electric Power Company, Inc.",0.14%
150,"General Mills, Inc.",0.14%
151,L3Harris Technologies Inc,0.14%
152,eBay Inc.,0.14%
153,Sempra Energy,0.13%
154,General Motors Company,0.13%
155,Xcel Energy Inc.,0.13%
156,Centene Corporation,0.13%
157,Cognizant Technology Solutions Corporation Class A,0.13%
158,Exelon Corporation,0.13%
159,General Dynamics Corporation,0.12%
160,HCA Healthcare Inc,0.12%
161,"O'Reilly Automotive, Inc.",0.12%
162,SBA Communications Corp. Class A,0.12%
163,IHS Markit Ltd.,0.12%
164,"Synopsys, Inc.",0.12%
165,"Dow, Inc.",0.12%
166,"IDEXX Laboratories, Inc.",0.12%
167,KLA Corporation,0.11%
168,Amphenol Corporation Class A,0.11%
169,"Chipotle Mexican Grill, Inc.",0.11%
170,MSCI Inc. Class A,0.11%
