,Name,Allocation
0,Alibaba Group Holding Ltd. Sponsored ADR,2.00%
1,Tencent Holdings Ltd.,1.53%
2,"Taiwan Semiconductor Manufacturing Co., Ltd.",1.43%
3,Nestle S.A.,1.43%
4,Roche Holding AG,0.99%
5,"Samsung Electronics Co., Ltd.",0.90%
6,Novartis AG,0.74%
7,SAP SE,0.67%
8,ASML Holding NV,0.63%
9,AstraZeneca PLC,0.58%
10,Toyota Motor Corp.,0.57%
11,LVMH Moet Hennessy Louis Vuitton SE,0.50%
12,Novo Nordisk A/S Class B,0.47%
13,AIA Group Limited,0.46%
14,Sanofi,0.46%
15,Meituan Dianping Class B,0.45%
16,"Shopify, Inc. Class A",0.43%
17,Royal Bank of Canada,0.42%
18,Siemens AG,0.42%
19,Sony Corporation,0.40%
20,GlaxoSmithKline plc,0.40%
21,CSL Limited,0.38%
22,Total SE,0.38%
23,SoftBank Group Corp.,0.37%
24,Commonwealth Bank of Australia,0.35%
25,Allianz SE,0.35%
26,HSBC Holdings Plc,0.35%
27,Toronto-Dominion Bank,0.34%
28,Unilever NV,0.34%
29,BHP Group Ltd,0.32%
30,L'Oreal SA,0.32%
31,Reliance Industries Limited,0.32%
32,Diageo plc,0.32%
33,Naspers Limited Class N,0.32%
34,Air Liquide SA,0.31%
35,Iberdrola SA,0.31%
36,British American Tobacco p.l.c.,0.30%
37,Canadian National Railway Company,0.30%
38,Keyence Corporation,0.30%
39,Enel SpA,0.30%
40,BP p.l.c.,0.29%
41,China Construction Bank Corporation Class H,0.29%
42,Reckitt Benckiser Group plc,0.28%
43,Schneider Electric SE,0.28%
44,Rio Tinto plc,0.27%
45,Unilever PLC,0.27%
46,Enbridge Inc.,0.27%
47,Bayer AG,0.26%
48,"JD.com, Inc. Sponsored ADR Class A",0.26%
49,"Ping An Insurance (Group) Company of China, Ltd. Class H",0.25%
50,Takeda Pharmaceutical Co. Ltd.,0.24%
51,Royal Dutch Shell Plc Class A,0.24%
52,Deutsche Telekom AG,0.23%
53,adidas AG,0.23%
54,Hong Kong Exchanges & Clearing Ltd.,0.23%
55,"Nintendo Co., Ltd.",0.23%
