,Name,Allocation
0,United States,90.64%
1,Canada,2.84%
2,United Kingdom,0.95%
3,China,0.55%
4,Netherlands,0.52%
5,Germany,0.49%
6,Luxembourg,0.47%
7,Cayman Islands,0.42%
8,Colombia,0.40%
9,Philippines,0.37%
10,Brazil,0.35%
11,Australia,0.26%
12,Mexico,0.25%
13,Japan,0.17%
14,Chile,0.13%
15,South Korea,0.11%
16,Korea Republic Of,0.11%
17,Israel,0.10%
18,Belgium,0.10%
19,France,0.09%
20,Panama,0.09%
21,Italy,0.09%
22,Norway,0.08%
23,Indonesia,0.08%
24,Uruguay,0.07%
25,Venezuela,0.07%
26,Peru,0.05%
27,Cote D'ivoire,0.05%
28,Finland,0.03%
29,Tunisia,0.03%
30,Sweden,0.03%
31,Poland,0.03%
32,Austria,0.03%
33,Hungary,0.03%
34,Ireland,0.02%
