,Name,Allocation
0,"Monolithic Power Systems, Inc.",3.22%
1,Horizon Therapeutics Public Limited Company,3.16%
2,"ABIOMED, Inc.",3.16%
3,Berry Global Group Inc,3.08%
4,Ubiquiti Inc.,2.65%
5,"Entegris, Inc.",2.37%
6,Ciena Corporation,2.33%
7,"Rollins, Inc.",2.30%
8,"Aspen Technology, Inc.",2.18%
9,Quidel Corporation,2.18%
10,Universal Display Corporation,2.16%
11,Paylocity Holding Corp.,1.93%
12,"Penumbra, Inc.",1.91%
13,Chemed Corporation,1.76%
14,"Amedisys, Inc.",1.73%
15,"Ionis Pharmaceuticals, Inc.",1.67%
16,SYNNEX Corporation,1.65%
17,HEICO Corporation,1.64%
18,"Euronet Worldwide, Inc.",1.51%
19,Jazz Pharmaceuticals Plc,1.51%
20,National Beverage Corp.,1.50%
21,"Exelixis, Inc.",1.49%
22,"Alteryx, Inc. Class A",1.49%
23,"PRA Health Sciences, Inc.",1.49%
24,"LHC Group, Inc.",1.49%
25,"Fortune Brands Home & Security, Inc.",1.48%
26,"Syneos Health, Inc. Class A",1.40%
27,Graco Inc.,1.20%
28,"Summit Materials, Inc. Class A",1.11%
29,"Trex Company, Inc.",1.08%
30,"Qualys, Inc.",1.03%
31,"Sirius XM Holdings, Inc.",1.02%
32,II-VI Incorporated,0.97%
33,"Medpace Holdings, Inc.",0.96%
34,"Medifast, Inc.",0.93%
35,Neogen Corporation,0.89%
36,HealthEquity Inc,0.87%
37,"Etsy, Inc.",0.86%
38,"Alarm.com Holdings, Inc.",0.78%
39,AppFolio Inc Class A,0.75%
40,Pool Corporation,0.72%
41,"SPS Commerce, Inc.",0.72%
42,"PulteGroup, Inc.",0.72%
43,Middleby Corporation,0.68%
44,"SiteOne Landscape Supply, Inc.",0.66%
45,Livent Corporation,0.65%
46,"TriNet Group, Inc.",0.59%
47,"Acuity Brands, Inc.",0.58%
48,"Simpson Manufacturing Co., Inc.",0.55%
49,"FTI Consulting, Inc.",0.54%
50,"AMN Healthcare Services, Inc.",0.54%
51,"EMCOR Group, Inc.",0.52%
52,"Calavo Growers, Inc.",0.52%
53,"Allison Transmission Holdings, Inc.",0.50%
54,"UFP Industries, Inc.",0.48%
55,"Vail Resorts, Inc.",0.48%
56,ASGN Inc,0.47%
57,"Warrior Met Coal, Inc.",0.47%
58,"Builders FirstSource, Inc.",0.45%
59,"Saia, Inc.",0.44%
60,Parsons Corporation,0.42%
61,"Floor & Decor Holdings, Inc. Class A",0.41%
62,"Aerojet Rocketdyne Holdings, Inc.",0.41%
63,John Bean Technologies Corporation,0.40%
64,"Avangrid, Inc.",0.40%
65,RBC Bearings Incorporated,0.39%
66,Ollie's Bargain Outlet Holdings Inc,0.38%
67,"BellRing Brands, Inc. Class A",0.38%
68,"Insperity, Inc.",0.36%
69,"Match Group, Inc.",0.34%
70,"Lithia Motors, Inc. Class A",0.34%
71,"Five Below, Inc.",0.34%
72,Corcept Therapeutics Incorporated.,0.31%
73,"BioTelemetry, Inc.",0.31%
74,"Leggett & Platt, Incorporated",0.31%
75,Columbia Sportswear Company,0.31%
76,TopBuild Corp.,0.30%
77,National Research Corporation,0.30%
78,"Choice Hotels International, Inc.",0.30%
79,"Chewy, Inc. Class A",0.29%
80,"Innoviva, Inc.",0.29%
81,"Planet Fitness, Inc. Class A",0.28%
82,Credit Acceptance Corporation,0.28%
83,"Wingstop, Inc.",0.28%
84,"BMC Stock Holdings, Inc.",0.28%
85,"MGP Ingredients, Inc.",0.28%
86,"Wyndham Hotels & Resorts, Inc.",0.27%
87,"Supernus Pharmaceuticals, Inc.",0.25%
88,"Comfort Systems USA, Inc.",0.25%
89,Allegiant Travel Company,0.25%
90,Norwegian Cruise Line Holdings Ltd.,0.24%
91,"Texas Roadhouse, Inc.",0.24%
92,Fox Factory Holding Corp.,0.23%
93,Vornado Realty Trust,0.23%
94,Athene Holding Ltd. Class A,0.23%
95,"Skechers U.S.A., Inc. Class A",0.23%
96,LPL Financial Holdings Inc.,0.22%
97,STORE Capital Corporation,0.21%
98,"Ebix, Inc.",0.21%
99,McGrath RentCorp,0.21%
100,American Woodmark Corporation,0.20%
101,"Vivint Smart Home, Inc. Class A",0.20%
102,"Marten Transport, Ltd.",0.19%
103,"frontdoor, Inc.",0.19%
104,"UFP Technologies, Inc.",0.19%
105,CubeSmart,0.19%
106,"Patrick Industries, Inc.",0.19%
107,"Rexford Industrial Realty, Inc.",0.18%
108,"Herman Miller, Inc.",0.18%
109,Atkore International Group Inc.,0.18%
110,"Castle Biosciences, Inc.",0.18%
111,LCI Industries,0.17%
112,Kadant Inc.,0.17%
113,"LGI Homes, Inc.",0.17%
114,"Primerica, Inc.",0.17%
115,"National Vision Holdings, Inc.",0.17%
116,"M.D.C. Holdings, Inc.",0.16%
117,"Installed Building Products, Inc.",0.16%
118,"STAG Industrial, Inc.",0.15%
119,"Kinsale Capital Group, Inc.",0.15%
120,"PGT Innovations, Inc.",0.15%
121,"Tactile Systems Technology, Inc.",0.15%
122,"Inogen, Inc.",0.15%
123,First Financial Bankshares Inc,0.14%
124,Essent Group Ltd.,0.13%
125,"LendingTree, Inc.",0.13%
126,"PennyMac Financial Services, Inc.",0.13%
127,"LeMaitre Vascular, Inc.",0.13%
128,National General Holdings Corp.,0.13%
129,Vanda Pharmaceuticals Inc.,0.13%
130,"NAPCO Security Technologies, Inc.",0.12%
