,Name,Allocation
0,ProShares UltraPro S&P500,9.93%
1,Direxion Daily S&P 500 Bull 3x Shares,9.92%
2,Apple Inc.,6.18%
3,Microsoft Corporation,5.20%
4,"Amazon.com, Inc.",4.60%
5,"Facebook, Inc. Class A",1.95%
6,Alphabet Inc. Class C,1.40%
7,Alphabet Inc. Class A,1.40%
8,Johnson & Johnson,1.23%
9,Visa Inc. Class A,1.05%
10,Procter & Gamble Company,1.03%
11,"Home Depot, Inc.",0.92%
12,NVIDIA Corporation,0.90%
13,Tesla Inc,0.90%
14,Mastercard Incorporated Class A,0.89%
15,UnitedHealth Group Incorporated,0.89%
16,JPMorgan Chase & Co.,0.89%
17,Berkshire Hathaway Inc. Class B,0.86%
18,Verizon Communications Inc.,0.75%
19,Walt Disney Company,0.72%
20,PayPal Holdings Inc,0.70%
21,Adobe Inc.,0.68%
22,"Netflix, Inc.",0.65%
23,"Merck & Co., Inc.",0.65%
24,Pfizer Inc.,0.65%
25,AT&T Inc.,0.65%
26,Intel Corporation,0.64%
27,Bank of America Corp,0.60%
28,Comcast Corporation Class A,0.60%
29,"PepsiCo, Inc.",0.58%
30,Walmart Inc.,0.56%
31,Coca-Cola Company,0.56%
32,"salesforce.com, inc.",0.54%
33,Abbott Laboratories,0.53%
34,Exxon Mobil Corporation,0.53%
35,"Cisco Systems, Inc.",0.51%
36,Thermo Fisher Scientific Inc.,0.50%
37,"AbbVie, Inc.",0.49%
38,McDonald's Corporation,0.49%
39,Chevron Corporation,0.48%
40,Accenture Plc Class A,0.46%
41,Costco Wholesale Corporation,0.45%
42,Bristol-Myers Squibb Company,0.42%
43,"NextEra Energy, Inc.",0.42%
44,Amgen Inc.,0.42%
45,"NIKE, Inc. Class B",0.41%
46,Medtronic Plc,0.40%
47,Union Pacific Corporation,0.40%
48,Texas Instruments Incorporated,0.39%
49,Broadcom Inc.,0.39%
50,QUALCOMM Incorporated,0.39%
51,Danaher Corporation,0.39%
52,Philip Morris International Inc.,0.38%
53,Eli Lilly and Company,0.38%
54,"Lowe's Companies, Inc.",0.37%
55,Honeywell International Inc.,0.34%
56,Oracle Corporation,0.34%
57,"United Parcel Service, Inc. Class B",0.34%
58,American Tower Corporation,0.33%
59,International Business Machines Corporation,0.33%
60,Citigroup Inc.,0.32%
61,"Charter Communications, Inc. Class A",0.32%
62,"Advanced Micro Devices, Inc.",0.30%
63,3M Company,0.29%
64,Boeing Company,0.28%
65,Wells Fargo & Company,0.28%
66,Raytheon Technologies Corporation,0.28%
67,Lockheed Martin Corporation,0.28%
68,Starbucks Corporation,0.27%
69,"Fidelity National Information Services, Inc.",0.26%
70,U.S. Dollar,0.26%
71,"Gilead Sciences, Inc.",0.26%
72,"S&P Global, Inc.",0.26%
73,Altria Group Inc,0.26%
74,CVS Health Corporation,0.25%
75,"ServiceNow, Inc.",0.25%
76,"Mondelez International, Inc. Class A",0.25%
77,Intuit Inc.,0.24%
78,"Intuitive Surgical, Inc.",0.24%
79,Target Corporation,0.23%
80,Caterpillar Inc.,0.23%
81,"Prologis, Inc.",0.23%
82,"Zoetis, Inc. Class A",0.22%
83,"Anthem, Inc.",0.22%
84,Booking Holdings Inc.,0.21%
85,Vertex Pharmaceuticals Incorporated,0.21%
86,"Becton, Dickinson and Company",0.21%
87,Colgate-Palmolive Company,0.21%
88,Crown Castle International Corp,0.21%
89,"Goldman Sachs Group, Inc.",0.20%
90,"Equinix, Inc.",0.20%
91,Dominion Energy Inc,0.20%
92,Cigna Corporation,0.20%
93,"BlackRock, Inc.",0.19%
94,"Air Products and Chemicals, Inc.",0.19%
95,"Activision Blizzard, Inc.",0.19%
96,Deere & Company,0.19%
97,Morgan Stanley,0.19%
98,CME Group Inc. Class A,0.18%
99,Duke Energy Corporation,0.18%
100,Stryker Corporation,0.18%
101,American Express Company,0.18%
102,CSX Corporation,0.17%
103,TJX Companies Inc,0.17%
104,"Marsh & McLennan Companies, Inc.",0.17%
105,"Applied Materials, Inc.",0.17%
106,"Intercontinental Exchange, Inc.",0.17%
107,"Automatic Data Processing, Inc.",0.17%
108,Sherwin-Williams Company,0.17%
109,EQUITY OTHER,0.17%
110,Illinois Tool Works Inc.,0.17%
111,General Electric Company,0.17%
112,Humana Inc.,0.16%
113,"Autodesk, Inc.",0.16%
114,Norfolk Southern Corporation,0.16%
115,Kimberly-Clark Corporation,0.16%
116,"Fiserv, Inc.",0.16%
117,Boston Scientific Corporation,0.16%
118,"Square, Inc. Class A",0.16%
119,Progressive Corporation,0.16%
120,Newmont Corporation,0.16%
121,"Illumina, Inc.",0.16%
122,Truist Financial Corporation,0.15%
123,Ecolab Inc.,0.15%
124,Dollar General Corporation,0.15%
125,FedEx Corporation,0.15%
126,U.S. Bancorp,0.15%
127,Lam Research Corporation,0.15%
128,Northrop Grumman Corporation,0.15%
129,Global Payments Inc.,0.15%
130,"Waste Management, Inc.",0.14%
131,Chubb Limited,0.14%
132,"Regeneron Pharmaceuticals, Inc.",0.14%
133,Edwards Lifesciences Corporation,0.14%
134,"Micron Technology, Inc.",0.14%
135,Moody's Corporation,0.14%
136,Biogen Inc.,0.14%
137,"T-Mobile US, Inc.",0.14%
138,"Roper Technologies, Inc.",0.13%
139,eBay Inc.,0.13%
140,"PNC Financial Services Group, Inc.",0.13%
141,"Analog Devices, Inc.",0.13%
142,Baxter International Inc.,0.13%
143,Estee Lauder Companies Inc. Class A,0.13%
144,Eaton Corp. Plc,0.13%
145,Charles Schwab Corporation,0.13%
146,Emerson Electric Co.,0.12%
147,ConocoPhillips,0.12%
148,"DuPont de Nemours, Inc.",0.12%
149,Electronic Arts Inc.,0.12%
150,"Digital Realty Trust, Inc.",0.12%
151,"American Electric Power Company, Inc.",0.12%
152,"General Mills, Inc.",0.12%
153,L3Harris Technologies Inc,0.12%
154,General Dynamics Corporation,0.11%
155,Sempra Energy,0.11%
156,"DexCom, Inc.",0.11%
157,Xcel Energy Inc.,0.11%
158,Exelon Corporation,0.11%
159,General Motors Company,0.11%
160,Cognizant Technology Solutions Corporation Class A,0.11%
161,Blackstone Group Inc. Class A,0.11%
162,Veeva Systems Inc Class A,0.11%
163,Centene Corporation,0.11%
164,HCA Healthcare Inc,0.10%
165,"Chipotle Mexican Grill, Inc.",0.10%
166,"Uber Technologies, Inc.",0.10%
167,"O'Reilly Automotive, Inc.",0.10%
168,"Zoom Video Communications, Inc. Class A",0.10%
169,"DocuSign, Inc.",0.10%
170,"Dow, Inc.",0.10%
171,SBA Communications Corp. Class A,0.10%
172,"Workday, Inc. Class A",0.10%
173,"Synopsys, Inc.",0.10%
174,Public Storage,0.09%
175,"IDEXX Laboratories, Inc.",0.09%
176,Johnson Controls International plc,0.09%
177,Amphenol Corporation Class A,0.09%
178,TE Connectivity Ltd.,0.09%
179,KLA Corporation,0.09%
180,Cummins Inc.,0.09%
181,Monster Beverage Corporation,0.09%
182,T. Rowe Price Group,0.09%
183,"Ross Stores, Inc.",0.09%
184,"Twitter, Inc.",0.09%
185,Splunk Inc.,0.09%
186,PACCAR Inc,0.09%
