Date,Fundflow
2009-08-27, 0.02149
2009-08-30, 0.03204
2009-08-31, -0.00424
2009-09-01, -0.042819
2009-09-02, 0.0
2009-09-03, -0.003045
2009-09-07, -0.0051025
2009-09-08, 0.006174
2009-09-09, 0.009414
2009-09-10, -0.001046
2009-09-13, -0.0052625
2009-09-14, -0.0010535
2009-09-15, -0.005375
2009-09-16, 0.116127
2009-09-17, -0.0633555
2009-09-20, -0.02553
2009-09-21, -0.027225
2009-09-22, -0.026448
2009-09-23, 0.063278
2009-09-24, -0.0201495
2009-09-27, -0.014707
2009-09-28, -0.01077
2009-09-29, -0.017208
2009-09-30, 0.01813266
2009-10-01, -0.005155
2009-10-04, -0.019418
2009-10-05, -0.005185
2009-10-06, 0.006324
2009-10-07, -0.0073885
2009-10-08, 0.0
2009-10-11, 0.0
2009-10-12, 0.004306
2009-10-13, -0.003222
2009-10-14, -0.006588
2009-10-15, -0.002184
2009-10-18, 0.0053575
2009-10-19, 0.023683
2009-10-20, -0.0643857111
2009-10-21, -0.052326
2009-10-22, 0.0258
2009-10-25, 0.01053
2009-10-26, 0.0671042097
2009-10-27, 0.151437
2009-10-28, -0.016824
2009-10-29, 0.098302
2009-11-01, 0.026507
2009-11-02, -0.1154025
2009-11-03, -0.038171
2009-11-04, -0.0323235
2009-11-05, -0.0369445
2009-11-08, 0.0
2009-11-09, -0.0092475
2009-11-10, 0.0
2009-11-11, 0.00612
2009-11-12, 0.0
2009-11-15, -0.0191615
2009-11-16, 0.012468
2009-11-17, 0.0136955
2009-11-18, 0.0
2009-11-19, 0.0
2009-11-22, 0.00624
2009-11-23, -0.014854
2009-11-24, -0.002115
2009-11-26, -0.012594
2009-11-29, 0.0
2009-11-30, -0.014693
2009-12-01, -0.0052625
2009-12-02, 0.0010645
2009-12-03, 0.01144
2009-12-06, 0.0
2009-12-07, -0.01062
2009-12-08, -0.002118
2009-12-09, 0.04214
2009-12-10, 0.004204
2009-12-13, 0.0
2009-12-14, -0.001076
2009-12-15, 0.0202255
2009-12-16, -0.0138645
2009-12-17, 0.0031785
2009-12-20, 0.009819
2009-12-21, 0.002212
2009-12-22, 0.013422
2009-12-23, -0.040302
2009-12-27, 0.0
2009-12-28, 0.011295
2009-12-29, 0.0033975
2009-12-30, -0.0033735
2010-01-03, 0.002229
2010-01-04, -0.00567
2010-01-05, -0.039996
2010-01-06, 0.053472
2010-01-07, 0.019618
2010-01-10, 0.0882
2010-01-11, -0.003486
2010-01-12, -0.008078
2010-01-13, -0.0524475
2010-01-14, 0.022819
2010-01-18, -0.011855
2010-01-19, -0.00603
2010-01-20, 0.002414
2010-01-21, 0.157861
2010-01-24, -0.0085085
2010-01-25, -0.009672
2010-01-26, -0.0084175
2010-01-27, 0.036047
2010-01-28, -0.007356
2010-01-31, 0.016884
2010-02-01, 0.0036015
2010-02-02, 0.011935
2010-02-03, -0.055992
2010-02-04, -0.0444015
2010-02-07, -0.01155
2010-02-08, 0.01707
2010-02-09, 0.0
2010-02-10, 0.026795
2010-02-11, 0.0477035
2010-02-15, -0.007011
2010-02-16, 0.007152
2010-02-17, -0.0177825
2010-02-18, -0.0011945
2010-02-21, 0.0060175
2010-02-22, -0.0012255
2010-02-23, -0.0182475
2010-02-24, 0.021148
2010-02-25, 0.0
2010-02-28, 0.0
2010-03-01, -0.0036765
2010-03-02, -0.013519
2010-03-03, 0.031772
2010-03-04, 0.0061225
2010-03-07, 0.010072
2010-03-08, 0.061544
2010-03-09, 0.005018
2010-03-10, 0.01275
2010-03-11, 0.028413
2010-03-14, -0.011574
2010-03-15, 0.005142
2010-03-16, 0.0195525
2010-03-17, 0.009275
2010-03-18, 0.02376
2010-03-21, 0.0
2010-03-22, 0.00535
2010-03-23, 0.008046
2010-03-24, -0.0172835
2010-03-25, -0.037254
2010-03-28, 0.002632
2010-03-29, -0.0511095
2010-03-30, 0.002621
2010-03-31, 0.0
2010-04-04, 0.005262
2010-04-05, -0.005324
2010-04-06, 0.0233325
2010-04-07, -0.009534
2010-04-08, -0.02744
2010-04-11, 0.01377
2010-04-12, -0.03614
