Date,Open,High,Low,Close,Volume
1973-05-03,6.385405140463263e-05,6.452975709681075e-05,6.385405140463263e-05,6.385405140463263e-05,33300.0
1973-05-04,6.385405140463263e-05,6.385405140463263e-05,6.385405140463263e-05,6.385405140463263e-05,0.0
1973-05-07,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,45100.0
1973-05-08,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,45100.0
1973-05-09,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,45100.0
1973-05-10,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,112700.0
1973-05-11,6.452975709681075e-05,6.452975709681075e-05,6.385405140463263e-05,6.385405140463263e-05,123700.0
1973-05-14,6.385404216597465e-05,6.4529747760389e-05,6.385404216597465e-05,6.4529747760389e-05,146500.0
1973-05-15,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,6.4529747760389e-05,0.0
1973-05-16,6.385403806027271e-05,6.385403806027271e-05,6.182692595757544e-05,6.182692595757544e-05,45100.0
1973-05-17,6.081339082631916e-05,6.081339082631916e-05,6.013768506818451e-05,6.013768506818451e-05,33300.0
1973-05-18,5.912411926786115e-05,5.912411926786115e-05,5.743485962739215e-05,5.743485962739214e-05,33300.0
1973-05-21,5.473206692840904e-05,5.473206692840904e-05,5.473206692840904e-05,5.473206692840904e-05,22300.0
1973-05-22,5.473206692840904e-05,5.473206692840904e-05,5.473206692840904e-05,5.473206692840904e-05,0.0
1973-05-23,5.270494148135185e-05,5.270494148135185e-05,5.270494148135185e-05,5.270494148135185e-05,11000.0
1973-05-24,5.270494148135185e-05,5.270494148135185e-05,5.270494148135185e-05,5.270494148135185e-05,0.0
1973-05-25,5.270495251412008e-05,5.371851148083806e-05,5.270495251412008e-05,5.371851148083806e-05,78600.0
1973-05-29,5.371851148083806e-05,5.371851148083806e-05,5.270495251412008e-05,5.371851148083806e-05,45100.0
1973-05-30,5.371851148083806e-05,5.371851148083806e-05,5.371851148083806e-05,5.371851148083806e-05,11000.0
1973-05-31,5.1691367436917234e-05,5.1691367436917234e-05,4.729929028671358e-05,4.8988549679052085e-05,304500.0
1973-06-01,4.8312829558054886e-05,4.8312829558054886e-05,4.729927604785189e-05,4.729927604785189e-05,101300.0
1973-06-04,4.729927604785189e-05,4.729927604785189e-05,4.729927604785189e-05,4.729927604785189e-05,123700.0
1973-06-05,4.729929028671358e-05,4.8988549679052085e-05,4.729929028671358e-05,4.8988549679052085e-05,33300.0
1973-06-06,4.8988549679052085e-05,4.8988549679052085e-05,4.8988549679052085e-05,4.8988549679052085e-05,0.0
1973-06-07,5.0002106784417056e-05,5.1015660574194044e-05,5.0002106784417056e-05,5.1015660574194044e-05,45100.0
1973-06-08,5.169137511984445e-05,5.169137511984445e-05,5.169137511984445e-05,5.169137511984445e-05,33300.0
1973-06-11,5.270495251412008e-05,5.371851148083806e-05,5.270495251412008e-05,5.371851148083806e-05,101300.0
