Date,Open,High,Low,Close,Volume
1980-03-17,0.0,2.838542368212935e-05,2.557498569379971e-05,2.613707329146564e-05,1017600
1980-03-18,0.0,2.6418145353090946e-05,2.4169792557083207e-05,2.641814535309095e-05,1824000
1980-03-19,0.0,2.7823365371659747e-05,2.6699188993006828e-05,2.6980233087670058e-05,678400
1980-03-20,0.0,2.7261277182333288e-05,2.6980233087670058e-05,2.6980233087670058e-05,249600
1980-03-21,0.0,2.6980219531412186e-05,2.6699175577959977e-05,2.6699175577959977e-05,441600
1980-03-24,0.0,2.6980232334984787e-05,2.4169791466757206e-05,2.4450835553579964e-05,819200
1980-03-25,0.0,2.3607685844498604e-05,2.1640378690790385e-05,2.1640378690790385e-05,2105600
1980-03-26,0.0,2.27645532504539e-05,2.1921421648585238e-05,2.1921421648585238e-05,1190400
1980-03-27,0.0,2.0797269283307357e-05,1.6581606590745054e-05,1.882996002677828e-05,4467200
1980-03-28,0.0,2.1921421648585238e-05,2.0516202312137466e-05,2.1921421648585238e-05,2131200
1980-03-31,0.0,2.5574991923349444e-05,2.3607684852322564e-05,2.529394805605989e-05,2489600
1980-04-01,0.0,2.5574994713147798e-05,2.4731863019307762e-05,2.501290691725444e-05,390400
1980-04-02,0.0,2.5574999447351068e-05,2.4450823647467505e-05,2.4731867597438395e-05,582400
1980-04-03,0.0,2.4731876328587533e-05,2.332665608264506e-05,2.3888744181022048e-05,300800
1980-04-07,0.0,2.360769230574256e-05,2.304560439370107e-05,2.304560439370107e-05,851200
1980-04-08,0.0,2.3326648349721814e-05,2.248351648165958e-05,2.304560439370107e-05,793600
1980-04-09,0.0,2.416977622488048e-05,2.332664449610558e-05,2.416977622488048e-05,486400
1980-04-10,0.0,2.5575011900870997e-05,2.4450835553579964e-05,2.4450835553579964e-05,1126400
1980-04-11,0.0,2.5575011900870997e-05,2.4169791466757206e-05,2.4450835553579964e-05,710400
1980-04-14,0.0,2.4169787485291072e-05,2.3607699404237792e-05,2.3607699404237792e-05,294400
1980-04-15,0.0,2.3888736261763304e-05,2.304560439370107e-05,2.304560439370107e-05,486400
1980-04-16,0.0,2.3888738382993324e-05,2.2483518478111364e-05,2.2483518478111364e-05,281600
1980-04-17,0.0,2.2483508462157054e-05,2.1640376894826163e-05,2.220246460638009e-05,723200
1980-04-18,0.0,2.2202466448992734e-05,2.1640378690790385e-05,2.1640378690790385e-05,275200
1980-04-21,0.0,2.192142067679638e-05,2.0516201402642764e-05,2.0516201402642764e-05,403200
1980-04-22,0.0,2.416977622488048e-05,2.079724930978088e-05,2.416977622488048e-05,1164800
1980-04-23,0.0,2.4731876328587533e-05,2.3888744181022048e-05,2.3888744181022048e-05,768000
1980-04-24,0.0,2.4731864044063746e-05,2.332664449610558e-05,2.416977622488048e-05,646400
1980-04-25,0.0,2.445083227939904e-05,2.332665608264506e-05,2.3888744181022048e-05,492800
1980-04-28,0.0,2.4731867597438395e-05,2.3888735747525722e-05,2.4731867597438395e-05,640000
1980-04-29,0.0,2.5293955497380175e-05,2.4450823647467505e-05,2.4731867597438395e-05,377600
1980-04-30,0.0,2.5856050342554227e-05,2.473187424070404e-05,2.5856050342554227e-05,524800
1980-05-01,0.0,2.5856047743997935e-05,2.5575003746780567e-05,2.5575003746780567e-05,281600
1980-05-02,0.0,2.5574999447351068e-05,2.4731867597438395e-05,2.4731867597438395e-05,390400
1980-05-05,0.0,2.529395081520112e-05,2.501290691725444e-05,2.501290691725444e-05,390400
1980-05-06,0.0,2.529396781404824e-05,2.4169791466757206e-05,2.4450835553579964e-05,960000
1980-05-07,0.0,2.5012923727225482e-05,2.4450835553579964e-05,2.4450835553579964e-05,844800
1980-05-08,0.0,2.529394805605989e-05,2.4450816454191227e-05,2.529394805605989e-05,1068800
1980-05-09,0.0,2.5012923727225482e-05,2.388874737993445e-05,2.4450835553579964e-05,371200
1980-05-12,0.0,2.473187478573387e-05,2.3326654627453536e-05,2.3326654627453536e-05,288000
1980-05-13,0.0,2.388872585638806e-05,2.2764550521969795e-05,2.2764550521969795e-05,364800
1980-05-14,0.0,2.4169788230210542e-05,2.332665608264506e-05,2.3888744181022048e-05,460800
1980-05-15,0.0,2.529394805605989e-05,2.3607684852322564e-05,2.529394805605989e-05,729600
1980-05-16,0.0,2.5574994713147798e-05,2.4731863019307762e-05,2.501290691725444e-05,633600
1980-05-19,0.0,2.5575003746780567e-05,2.5012915752345828e-05,2.5575003746780567e-05,633600
1980-05-20,0.0,2.5574994713147798e-05,2.445081912136108e-05,2.501290691725444e-05,473600
1980-05-21,0.0,2.529396781404824e-05,2.3607703293111688e-05,2.4450835553579964e-05,486400
1980-05-22,0.0,2.5293955497380175e-05,2.4731867597438395e-05,2.4731867597438395e-05,422400
1980-05-23,0.0,2.5293955497380175e-05,2.276455994764216e-05,2.4731867597438395e-05,403200
1980-05-27,0.0,2.5575003746780567e-05,2.473187175512846e-05,2.5575003746780567e-05,806400
1980-05-28,0.0,2.782334837431744e-05,2.557499699053421e-05,2.7542304451344535e-05,1292800
1980-05-29,0.0,2.7823336084463422e-05,2.613707329146564e-05,2.613707329146564e-05,1177600
1980-05-30,0.0,2.726126513152849e-05,2.6137089249815973e-05,2.726126513152849e-05,928000
1980-06-02,0.0,2.7261277182333288e-05,2.64181448983436e-05,2.6980233087670058e-05,454400
1980-06-03,0.0,2.6699189452591916e-05,2.613710125358998e-05,2.641814535309095e-05,230400
1980-06-04,0.0,2.7261277182333288e-05,2.585605670901714e-05,2.6980233087670058e-05,678400
1980-06-05,0.0,2.7261270469866954e-05,2.5575006317091678e-05,2.5856050342554227e-05,544000
1980-06-06,0.0,2.7542309101956617e-05,2.5575001308959717e-05,2.726126513152849e-05,1164800
1980-06-09,0.0,2.782334837431744e-05,2.7542304451344535e-05,2.7542304451344535e-05,492800
1980-06-10,0.0,2.7261263484864398e-05,2.6699175577959977e-05,2.6699175577959977e-05,595200
1980-06-11,0.0,3.1195886549539864e-05,2.726127022797628e-05,3.1195886549539864e-05,3398400
1980-06-12,0.0,3.147694181641835e-05,2.8666500582809572e-05,2.8947544706170447e-05,1580800
1980-06-13,0.0,2.922857844040287e-05,2.7261270276144986e-05,2.782335832307581e-05,1337600
1980-06-16,0.0,2.7542321276996518e-05,2.64181448983436e-05,2.6980233087670058e-05,755200
1980-06-17,0.0,2.7261277182333288e-05,2.6699188993006828e-05,2.6980233087670058e-05,364800
1980-06-18,0.0,2.6980233087670058e-05,2.6699188993006828e-05,2.6980233087670058e-05,371200
1980-06-19,0.0,2.7261270469866954e-05,2.5856050342554227e-05,2.5856050342554227e-05,601600
1980-06-20,0.0,2.726126513152849e-05,2.5575001308959717e-05,2.726126513152849e-05,358400
1980-06-23,0.0,2.7261263484864398e-05,2.6418131624507765e-05,2.6699175577959977e-05,492800
1980-06-24,0.0,2.6980233087670058e-05,2.64181448983436e-05,2.6980233087670058e-05,313600
1980-06-25,0.0,2.7542321276996518e-05,2.6699188993006828e-05,2.6980233087670058e-05,384000
1980-06-26,0.0,2.7823365371659747e-05,2.6980233087670058e-05,2.6980233087670058e-05,588800
1980-06-27,0.0,2.6980233552092883e-05,2.6418145353090946e-05,2.641814535309095e-05,313600
1980-06-30,0.0,2.6699160889131566e-05,2.613707329146564e-05,2.613707329146564e-05,326400
1980-07-01,0.0,2.5856050342554227e-05,2.5012918266166587e-05,2.5856050342554227e-05,921600
1980-07-02,0.0,2.6137094368016772e-05,2.5293962291629132e-05,2.5856050342554227e-05,934400
1980-07-03,0.0,2.5856035790638998e-05,2.529394805605989e-05,2.529394805605989e-05,774400
1980-07-07,0.0,2.6418117090298605e-05,2.5012898096133784e-05,2.613707329146564e-05,1184000
1980-07-08,0.0,2.8385453560986207e-05,2.6699188993006828e-05,2.6980233087670058e-05,1241600
1980-07-09,0.0,2.8385441013241005e-05,2.698022116110036e-05,2.726126513152849e-05,857600
1980-07-10,0.0,2.75423144953295e-05,2.5856050342554227e-05,2.5856050342554227e-05,736000
1980-07-11,0.0,2.6418117090298605e-05,2.5856029492632675e-05,2.613707329146564e-05,396800
1980-07-14,0.0,2.6699179735650042e-05,2.5575003746780567e-05,2.5575003746780567e-05,492800
1980-07-15,0.0,2.6137082509041155e-05,2.501290691725444e-05,2.501290691725444e-05,889600
1980-07-16,0.0,2.6418123525218107e-05,2.5012904188770335e-05,2.529394805605989e-05,748800
1980-07-17,0.0,2.5856038611094476e-05,2.501290691725444e-05,2.501290691725444e-05,422400
1980-07-18,0.0,2.557499577283865e-05,2.3888732315288846e-05,2.416977622488048e-05,1228800
1980-07-21,0.0,2.4450820134472113e-05,2.3888732315288846e-05,2.416977622488048e-05,684800
1980-07-22,0.0,2.5293955497380175e-05,2.4450823647467505e-05,2.4731867597438395e-05,1075200
1980-07-23,0.0,2.6699160889131566e-05,2.5012898096133784e-05,2.613707329146564e-05,1094400
1980-07-24,0.0,2.6699179735650042e-05,2.5575003746780567e-05,2.5575003746780567e-05,832000
1980-07-25,0.0,2.6137079657928552e-05,2.473186032148078e-05,2.529394805605989e-05,729600
1980-07-28,0.0,2.5293955497380175e-05,2.4450823647467505e-05,2.4731867597438395e-05,736000
1980-07-29,0.0,2.5293955497380175e-05,2.4450823647467505e-05,2.4731867597438395e-05,364800
1980-07-30,0.0,2.5012923727225482e-05,2.4169791466757206e-05,2.4450835553579964e-05,947200
1980-07-31,0.0,2.416977622488048e-05,2.3888732315288846e-05,2.416977622488048e-05,448000
1980-08-01,0.0,2.5293955497380175e-05,2.4169779697496612e-05,2.4731867597438395e-05,1152000
1980-08-04,0.0,2.5012920377776027e-05,2.3888744181022048e-05,2.3888744181022048e-05,544000
1980-08-05,0.0,2.4450831525817713e-05,2.3607699404237792e-05,2.3607699404237792e-05,441600
1980-08-06,0.0,2.3888744181022048e-05,2.3607700131833554e-05,2.3888744181022048e-05,172800
1980-08-07,0.0,2.416977622488048e-05,2.3607688405697213e-05,2.416977622488048e-05,838400
1980-08-08,0.0,2.4450820134472113e-05,2.3888732315288846e-05,2.416977622488048e-05,582400
1980-08-11,0.0,2.4450820134472113e-05,2.3888732315288846e-05,2.416977622488048e-05,294400
1980-08-12,0.0,2.4169787485291072e-05,2.332665536371115e-05,2.3607699404237792e-05,691200
1980-08-13,0.0,2.416977622488048e-05,2.332664449610558e-05,2.416977622488048e-05,1036800
1980-08-14,0.0,2.5856038611094476e-05,2.3607687427521044e-05,2.501290691725444e-05,1356800
1980-08-15,0.0,2.5856050342554227e-05,2.5293962291629132e-05,2.5856050342554227e-05,1100800
1980-08-18,0.0,2.6137094368016772e-05,2.473187424070404e-05,2.5856050342554227e-05,1088000
1980-08-19,0.0,2.5856035790638998e-05,2.5012904188770335e-05,2.529394805605989e-05,876800
1980-08-20,0.0,2.5293955497380175e-05,2.4731867597438395e-05,2.4731867597438395e-05,812800
1980-08-21,0.0,2.5575003746780567e-05,2.5012915752345828e-05,2.5575003746780567e-05,998400
1980-08-22,0.0,2.7542321276996518e-05,2.585605670901714e-05,2.6980233087670058e-05,2105600
1980-08-25,0.0,2.7261277182333288e-05,2.64181448983436e-05,2.6980233087670058e-05,876800
1980-08-26,0.0,2.7261277182333288e-05,2.6980233087670058e-05,2.6980233087670058e-05,742400
1980-08-27,0.0,2.7542304451344535e-05,2.6699172682425826e-05,2.7542304451344535e-05,819200
1980-08-28,0.0,2.7542321276996518e-05,2.6980233087670058e-05,2.6980233087670058e-05,723200
1980-08-29,0.0,2.6980233552092883e-05,2.613710125358998e-05,2.641814535309095e-05,972800
1980-09-02,0.0,2.6699160889131566e-05,2.5856029492632675e-05,2.613707329146564e-05,544000
1980-09-03,0.0,2.6699182418941863e-05,2.5575006317091678e-05,2.5856050342554227e-05,652800
1980-09-04,0.0,2.6699182418941863e-05,2.5575006317091678e-05,2.5856050342554227e-05,691200
1980-09-05,0.0,2.5856035790638998e-05,2.529394805605989e-05,2.529394805605989e-05,531200
1980-09-08,0.0,2.5575003746780567e-05,2.473187175512846e-05,2.5575003746780567e-05,659200
1980-09-09,0.0,2.613707329146564e-05,2.5012898096133784e-05,2.613707329146564e-05,473600
1980-09-10,0.0,2.7542307438316607e-05,2.6137087671055556e-05,2.6699175577959977e-05,1030400
1980-09-11,0.0,2.7542321276996518e-05,2.6699188993006828e-05,2.6980233087670058e-05,953600
1980-09-12,0.0,2.7542321276996518e-05,2.6980233087670058e-05,2.6980233087670058e-05,422400
1980-09-15,0.0,2.726127765159385e-05,2.5856057154089012e-05,2.641814535309095e-05,595200
1980-09-16,0.0,2.7261263484864398e-05,2.6418131624507765e-05,2.6699175577959977e-05,755200
1980-09-17,0.0,2.7261263484864398e-05,2.6699175577959977e-05,2.6699175577959977e-05,723200
1980-09-18,0.0,2.669917524723463e-05,2.4450823647467505e-05,2.4731867597438395e-05,780800
1980-09-19,0.0,2.529396781404824e-05,2.4450835553579964e-05,2.4450835553579964e-05,704000
1980-09-22,0.0,2.4731867597438395e-05,2.4169779697496612e-05,2.4731867597438395e-05,556800
1980-09-23,0.0,2.6980233552092883e-05,2.4450836656584174e-05,2.641814535309095e-05,1312000
1980-09-24,0.0,2.8385446370006634e-05,2.6137094182283335e-05,2.782335832307581e-05,2169600
1980-09-25,0.0,2.9509606065403204e-05,2.782334286166588e-05,2.8104386728955433e-05,2035200
1980-09-26,0.0,2.7823353072384746e-05,2.6418133220244105e-05,2.726126513152849e-05,908800
1980-09-29,0.0,2.6980211259797215e-05,2.473186032148078e-05,2.529394805605989e-05,691200
1980-09-30,0.0,2.5575003746780567e-05,2.5012915752345828e-05,2.5575003746780567e-05,435200
1980-10-01,0.0,2.7542304451344535e-05,2.5856040913507114e-05,2.7542304451344535e-05,1068800
1980-10-02,0.0,2.7823353072384746e-05,2.698022116110036e-05,2.726126513152849e-05,1100800
1980-10-03,0.0,2.7542321751094817e-05,2.6418145353090946e-05,2.641814535309095e-05,844800
1980-10-06,0.0,2.7261277182333288e-05,2.64181448983436e-05,2.6980233087670058e-05,448000
1980-10-07,0.0,2.7542309101956617e-05,2.698022116110036e-05,2.726126513152849e-05,748800
1980-10-08,0.0,2.810440234654122e-05,2.7542314299610397e-05,2.782335832307581e-05,640000
1980-10-09,0.0,2.8104386728955433e-05,2.726125512708677e-05,2.8104386728955433e-05,710400
1980-10-10,0.0,2.9509632952892205e-05,2.8385456459448693e-05,2.8947544706170447e-05,2624000
1980-10-13,0.0,3.091484467646346e-05,2.8947536378870335e-05,3.063380063395016e-05,2067200
1980-10-14,0.0,3.119590781517962e-05,3.0352775171526117e-05,3.091486360062845e-05,1875200
1980-10-15,0.0,3.119590781517962e-05,3.0352775171526117e-05,3.091486360062845e-05,1408000
1980-10-16,0.0,3.119589138285456e-05,2.9509626983781345e-05,2.9509626983781345e-05,1529600
1980-10-17,0.0,3.0352737667271867e-05,2.8104386728955433e-05,2.8104386728955433e-05,1286400
1980-10-20,0.0,2.979065182301508e-05,2.8104388512278376e-05,2.8666476282523945e-05,1619200
1980-10-21,0.0,2.9509607937892296e-05,2.8385432397401162e-05,2.8666476282523945e-05,1152000
1980-10-22,0.0,2.9509607937892296e-05,2.8385432397401162e-05,2.8666476282523945e-05,563200
1980-10-23,0.0,2.894754470617045e-05,2.8385456459448693e-05,2.8947544706170447e-05,620800
1980-10-24,0.0,2.894754470617045e-05,2.8666500582809572e-05,2.8947544706170447e-05,518400
1980-10-27,0.0,2.979066476445251e-05,2.922857675002888e-05,2.922857675002888e-05,1081600
1980-10-28,0.0,2.9509632952892205e-05,2.894754470617045e-05,2.8947544706170447e-05,480000
1980-10-29,0.0,2.9790677076253084e-05,2.894754470617045e-05,2.8947544706170447e-05,460800
1980-10-30,0.0,2.866648014323615e-05,2.7542304451344535e-05,2.7542304451344535e-05,672000
1980-10-31,0.0,2.7542321276996518e-05,2.6980233087670058e-05,2.6980233087670058e-05,403200
1980-11-03,0.0,3.1476930572508694e-05,3.0071710457664556e-05,3.1195886549539864e-05,4249600
1980-11-05,0.0,3.5411543929233e-05,3.2320059935411074e-05,3.2882147934287786e-05,8428800
1980-11-06,0.0,3.34442359331645e-05,3.2320059935411074e-05,3.2882147934287786e-05,2668800
1980-11-07,0.0,3.3725271350704134e-05,3.203900778316893e-05,3.3725271350704134e-05,1939200
1980-11-10,0.0,3.45684248186597e-05,3.344424840179272e-05,3.344424840179272e-05,2867200
1980-11-11,0.0,3.513049099031681e-05,3.3444227422781596e-05,3.3725271350704134e-05,1478400
1980-11-12,0.0,3.653571383210874e-05,3.40063182591166e-05,3.5973625926999375e-05,3884800
1980-11-13,0.0,3.6816748447913246e-05,3.597361680406791e-05,3.6535704566631466e-05,2784000
1980-11-14,0.0,3.7097837775945663e-05,3.5411572422493585e-05,3.7097837775945663e-05,3923200
1980-11-17,0.0,3.962721757816064e-05,3.513051203737645e-05,3.9065129385562614e-05,4064000
1980-11-18,0.0,3.990823386855641e-05,3.822197046565966e-05,3.850301436614245e-05,4313600
